# "Odd core neighbor" fingerprints by Collatz odd-to-odd stopping distance
#
# `dist`    the number of odd-to-odd Collatz for n steps to reach 1
# `n`       a positive odd integer
# `nl`      the odd core valuation of the even number n-1 to the left of odd n
# `nr`      the odd core valuation of the even number n+1 to the right of odd n
# `base2`   the binary representation of n
# `factors` the prime factors of n

dist,    n,       nl,       nr,       base2, factors
  18,  601,   (75 3),  (301 1),  1001011001, {601}
  18,  637,  (159 2),  (319 1),  1001111101, {7 13}
  19,  379,  (189 1),   (95 2),   101111011, {379}
  19,  393,   (49 3),  (197 1),   110001001, {3 131}
  19,  425,   (53 3),  (213 1),   110101001, {5 17}
  19,  759,  (379 1),   (95 3),  1011110111, {3 11 23}
  19,  767,  (383 1),    (3 8),  1011111111, {13 59}
  19,  779,  (389 1),  (195 2),  1100001011, {19 41}
  19,  787,  (393 1),  (197 2),  1100010011, {787}
  19,  801,   (25 5),  (401 1),  1100100001, {3 89}
  19,  849,   (53 4),  (425 1),  1101010001, {3 283}
  19,  851,  (425 1),  (213 2),  1101010011, {23 37}
  20,  283,  (141 1),   (71 2),   100011011, {283}
  20,  505,   (63 3),  (253 1),   111111001, {5 101}
  20,  511,  (255 1),    (1 9),   111111111, {7 73}
  20,  519,  (259 1),   (65 3),  1000000111, {3 173}
  20,  567,  (283 1),   (71 3),  1000110111, {3 7}
  21,  377,   (47 3),  (189 1),   101111001, {13 29}
  21,  673,   (21 5),  (337 1),  1010100001, {673}
  21,  679,  (339 1),   (85 3),  1010100111, {7 97}
  21,  681,   (85 3),  (341 1),  1010101001, {3 227}
  21,  699,  (349 1),  (175 2),  1010111011, {3 233}
  21,  711,  (355 1),   (89 3),  1011000111, {3 79}
  21,  755,  (377 1),  (189 2),  1011110011, {5 151}
  22,  251,  (125 1),   (63 2),    11111011, {251}
  22,  503,  (251 1),   (63 3),   111110111, {503}
  22,  897,    (7 7),  (449 1),  1110000001, {3 13 23}
  22,  905,  (113 3),  (453 1),  1110001001, {5 181}
  22,  923,  (461 1),  (231 2),  1110011011, {13 71}
  23,  167,   (83 1),   (21 3),    10100111, {167}
  23,  335,  (167 1),   (21 4),   101001111, {5 67}
  23,  603,  (301 1),  (151 2),  1001011011, {3 67}
  23,  615,  (307 1),   (77 3),  1001100111, {3 5 41}
  23,  669,  (167 2),  (335 1),  1010011101, {3 223}
  24,  111,   (55 1),    (7 4),     1101111, {3 37}
  24,  223,  (111 1),    (7 5),    11011111, {223}
  24,  445,  (111 2),  (223 1),   110111101, {5 89}
  24,  799,  (399 1),   (25 5),  1100011111, {17 47}
  24,  807,  (403 1),  (101 3),  1100100111, {3 269}
  24,  893,  (223 2),  (447 1),  1101111101, {19 47}
  25,  297,   (37 3),  (149 1),   100101001, {3 11}
  25,  593,   (37 4),  (297 1),  1001010001, {593}
  25,  595,  (297 1),  (149 2),  1001010011, {5 7 17}
  26,  395,  (197 1),   (99 2),   110001011, {5 79}
  26,  791,  (395 1),   (99 3),  1100010111, {7 113}
  26,  793,   (99 3),  (397 1),  1100011001, {13 61}
  27,  263,  (131 1),   (33 3),   100000111, {263}
  27,  527,  (263 1),   (33 4),  1000001111, {17 31}
  28,  175,   (87 1),   (11 4),    10101111, {5 7}
  28,  351,  (175 1),   (11 5),   101011111, {3 13}
  28,  701,  (175 2),  (351 1),  1010111101, {701}
  29,  233,   (29 3),  (117 1),    11101001, {233}
  29,  467,  (233 1),  (117 2),   111010011, {467}
  29,  839,  (419 1),  (105 3),  1101000111, {839}
  29,  933,  (233 2),  (467 1),  1110100101, {3 311}
  29,  939,  (469 1),  (235 2),  1110101011, {3 313}
  30,  155,   (77 1),   (39 2),    10011011, {5 31}
  30,  311,  (155 1),   (39 3),   100110111, {311}
  30,  559,  (279 1),   (35 4),  1000101111, {13 43}
  30,  621,  (155 2),  (311 1),  1001101101, {3 23}
  31,  103,   (51 1),   (13 3),     1100111, {103}
  31,  207,  (103 1),   (13 4),    11001111, {3 23}
  31,  413,  (103 2),  (207 1),   110011101, {7 59}
  31,  745,   (93 3),  (373 1),  1011101001, {5 149}
  31,  829,  (207 2),  (415 1),  1100111101, {829}
  32,  137,   (17 3),   (69 1),    10001001, {137}
  32,  275,  (137 1),   (69 2),   100010011, {5 11}
  32,  549,  (137 2),  (275 1),  1000100101, {3 61}
  32,  993,   (31 5),  (497 1),  1111100001, {3 331}
  33,   91,   (45 1),   (23 2),     1011011, {7 13}
  33,  183,   (91 1),   (23 3),    10110111, {3 61}
  33,  365,   (91 2),  (183 1),   101101101, {5 73}
  33,  671,  (335 1),   (21 5),  1010011111, {11 61}
  33,  733,  (183 2),  (367 1),  1011011101, {733}
  33,  743,  (371 1),   (93 3),  1011100111, {743}
  34,  121,   (15 3),   (61 1),     1111001, {11}
  34,  243,  (121 1),   (61 2),    11110011, {3}
  34,  447,  (223 1),    (7 6),   110111111, {3 149}
  34,  485,  (121 2),  (243 1),   111100101, {5 97}
  34,  495,  (247 1),   (31 4),   111101111, {3 5 11}
  34,  895,  (447 1),    (7 7),  1101111111, {5 179}
  34,  973,  (243 2),  (487 1),  1111001101, {7 139}
  34,  977,   (61 4),  (489 1),  1111010001, {977}
  34,  991,  (495 1),   (31 5),  1111011111, {991}
  35,  161,    (5 5),   (81 1),    10100001, {7 23}
  35,  323,  (161 1),   (81 2),   101000011, {17 19}
  35,  645,  (161 2),  (323 1),  1010000101, {3 5 43}
  35,  651,  (325 1),  (163 2),  1010001011, {3 7 31}
  36,  107,   (53 1),   (27 2),     1101011, {107}
  36,  215,  (107 1),   (27 3),    11010111, {5 43}
  36,  429,  (107 2),  (215 1),   110101101, {3 11 13}
  36,  795,  (397 1),  (199 2),  1100011011, {3 5 53}
  36,  861,  (215 2),  (431 1),  1101011101, {3 7 41}
  37,   71,   (35 1),    (9 3),     1000111, {71}
  37,  143,   (71 1),    (9 4),    10001111, {11 13}
  37,  285,   (71 2),  (143 1),   100011101, {3 5 19}
  37,  573,  (143 2),  (287 1),  1000111101, {3 191}
  38,   47,   (23 1),    (3 4),      101111, {47}
  38,   95,   (47 1),    (3 5),     1011111, {5 19}
  38,  189,   (47 2),   (95 1),    10111101, {3 7}
  38,  381,   (95 2),  (191 1),   101111101, {3 127}
  38,  757,  (189 2),  (379 1),  1011110101, {757}
