# Odd core residue vectors

This is a list of integers in consecutive order. For every `n`:
- `oc` is the 2-adic "odd core" of the number, after removing all factors of 2. For odd numbers, oc is the number itself.
- `k` is the 2-adic exponent, the number of halvings (n = oc * 2^k). For odd numbers, k is always 0.
- `dist` is the odd-to-odd Collatz stopping distance of the odd core.
- residues of the odd core modulo a set of small primes follows (`m3`, `m5`, etc)

oc,k,dist,m3,m5,m7,m11,m13,m17,m19,m23,m29,m31
13,5,2,1,3,6,2,0,13,13,13,13,13
417,0,48,0,2,4,10,1,9,18,3,11,14
209,1,12,2,4,6,0,1,5,0,2,6,23
419,0,12,2,4,6,1,3,11,1,5,13,16
105,2,12,0,0,0,6,1,3,10,13,18,12
421,0,12,1,1,1,3,5,13,3,7,15,18
211,1,12,1,1,1,2,3,7,2,4,8,25
423,0,9,0,3,3,5,7,15,5,9,17,20
53,3,2,2,3,4,9,1,2,15,7,24,22
425,0,19,2,0,5,7,9,0,7,11,19,22
213,1,2,0,3,3,4,5,9,4,6,10,27
427,0,17,1,2,0,9,11,2,9,13,21,24
107,2,36,2,2,2,8,3,5,12,15,20,14
429,0,36,0,4,2,0,0,4,11,15,23,26
215,1,36,2,0,5,6,7,11,6,8,12,29
431,0,12,2,1,4,2,2,6,13,17,25,28
27,4,41,0,2,6,5,1,10,8,4,27,27
433,0,7,1,3,6,4,4,8,15,19,27,30
217,1,7,1,2,0,8,9,13,8,10,14,0
435,0,7,0,0,1,6,6,10,17,21,0,1
109,2,41,1,4,4,10,5,7,14,17,22,16
437,0,41,2,2,3,8,8,12,0,0,2,3
219,1,17,0,4,2,10,11,15,10,12,16,2
439,0,17,1,4,5,10,10,14,2,2,4,5
55,3,41,1,0,6,0,3,4,17,9,26,24
441,0,7,0,1,0,1,12,16,4,4,6,7
221,1,41,2,1,4,1,0,0,12,14,18,4
443,0,17,2,3,2,3,1,1,6,6,8,9
111,2,24,0,1,6,1,7,9,16,19,24,18
445,0,24,1,0,4,5,3,3,8,8,10,11
223,1,24,1,3,6,3,2,2,14,16,20,6
447,0,34,0,2,6,7,5,5,10,10,12,13
7,6,5,1,2,0,7,7,7,7,7,7,7
449,0,41,2,4,1,9,7,7,12,12,14,15
225,1,17,0,0,1,5,4,4,16,18,22,8
451,0,17,1,1,3,0,9,9,14,14,16,17
113,2,2,2,3,1,3,9,11,18,21,26,20
453,0,2,0,3,5,2,11,11,16,16,18,19
227,1,2,2,2,3,7,6,6,18,20,24,10
455,0,12,2,0,0,4,0,13,18,18,20,21
57,3,10,0,2,1,2,5,6,0,11,28,26
457,0,46,1,2,2,6,2,15,1,20,22,23
229,1,10,1,4,5,9,8,8,1,22,26,12
459,0,46,0,4,4,8,4,0,3,22,24,25
115,2,10,1,0,3,5,11,13,1,0,28,22
461,0,10,2,1,6,10,6,2,5,1,26,27
231,1,46,0,1,0,0,10,10,3,1,28,14
463,0,46,1,3,1,1,8,4,7,3,28,29
29,4,5,2,4,1,7,3,12,10,6,0,29
465,0,10,0,0,3,3,10,6,9,5,1,0
233,1,29,2,3,2,2,12,12,5,3,1,16
467,0,29,2,2,5,5,12,8,11,7,3,2
117,2,5,0,2,5,7,0,15,3,2,1,24
469,0,5,1,4,0,7,1,10,13,9,5,4
235,1,46,1,0,4,4,1,14,7,5,3,18
471,0,46,0,1,2,9,3,12,15,11,7,6
59,3,10,2,4,3,4,7,8,2,13,1,28
473,0,10,2,3,4,0,5,14,17,13,9,8
237,1,10,0,2,6,6,3,16,9,7,5,20
475,0,7,1,0,6,2,7,16,0,15,11,10
119,2,10,2,4,0,9,2,0,5,4,3,26
477,0,10,0,2,1,4,9,1,2,17,13,12
239,1,17,2,4,1,8,5,1,11,9,7,22
479,0,17,2,4,3,6,11,3,4,19,15,14
15,5,5,0,0,1,4,2,15,15,15,15,15
481,0,15,1,1,5,8,0,5,6,21,17,16
241,1,5,1,1,3,10,7,3,13,11,9,24
483,0,5,0,3,0,10,2,7,8,0,19,18
121,2,34,1,1,2,0,4,2,7,6,5,28
485,0,34,2,0,2,1,4,9,10,2,21,20
243,1,34,0,3,5,1,9,5,15,13,11,26
487,0,51,1,2,4,3,6,11,12,4,23,22
61,3,5,1,1,5,6,9,10,4,15,3,30
489,0,15,0,4,6,5,8,13,14,6,25,24
245,1,5,2,0,0,3,11,7,17,15,13,28
491,0,51,2,1,1,7,10,15,16,8,27,26
123,2,15,0,3,4,2,6,4,9,8,7,30
493,0,15,1,3,3,9,12,0,18,10,0,28
247,1,15,1,2,2,5,0,9,0,17,15,30
495,0,34,0,0,5,0,1,2,1,12,2,30
31,4,39,1,1,3,9,5,14,12,8,2,0
497,0,5,2,2,0,2,3,4,3,14,4,1
249,1,15,0,4,4,7,2,11,2,19,17,1
499,0,15,1,4,2,4,5,6,5,16,6,3
125,2,39,2,0,6,4,8,6,11,10,9,1
501,0,39,0,1,4,6,7,8,7,18,8,5
251,1,22,2,1,6,9,4,13,4,21,19,3
503,0,22,2,3,6,8,9,10,9,20,10,7
