# Odd core environment

This is a list of the first 10000 integers in consecutive order. For every `n`:
- `oc` is the 2-adic "odd core" of the number, after removing all factors of 2. For odd numbers, oc is the number itself.
- `k` is the 2-adic exponent, the number of halvings (n = oc * 2^k). For odd numbers, k is always 0.
- `dist` is the odd-to-odd Collatz stopping distance of oc.
- `base3` and `base2` representations of the oc are given.
- residues of oc modulo a set of small primes then follow (`m3`, `m5`, etc)

oc,k,dist,base3,base2,m3,m5,m7,m11,m13,m17,m19,m23,m29
365,0,33,111112,101101101,2,0,1,2,1,8,4,20,17
183,1,33,20210,10110111,0,3,1,7,1,13,12,22,9
367,0,14,111121,101101111,1,2,3,4,3,10,6,22,19
23,4,4,212,10111,2,3,2,1,10,6,4,0,23
369,0,4,111200,101110001,0,4,5,6,5,12,8,1,21
185,1,14,20212,10111001,2,0,3,9,3,15,14,1,11
371,0,14,111202,101110011,2,1,0,8,7,14,10,3,23
93,2,4,10110,1011101,0,3,2,5,2,8,17,1,6
373,0,4,111211,101110101,1,3,2,10,9,16,12,5,25
187,1,14,20221,10111011,1,2,5,0,5,0,16,3,13
375,0,14,111220,101110111,0,0,4,1,11,1,14,7,27
47,3,38,1202,101111,2,2,5,3,8,13,9,1,18
377,0,21,111222,101111001,2,2,6,3,0,3,16,9,0
189,1,38,21000,10111101,0,4,0,2,7,2,18,5,15
379,0,19,112001,101111011,1,4,1,5,2,5,18,11,2
95,2,38,10112,1011111,2,0,4,7,4,10,0,3,8
381,0,38,112010,101111101,0,1,3,7,4,7,1,13,4
191,1,14,21002,10111111,2,1,2,4,9,4,1,7,17
383,0,14,112012,101111111,2,3,5,9,6,9,3,15,6
3,7,2,10,11,0,3,3,3,3,3,3,3,3
385,0,9,112021,110000001,1,0,0,0,8,11,5,17,8
193,1,43,21011,11000001,1,3,4,6,11,6,3,9,19
387,0,43,112100,110000011,0,2,2,2,10,13,7,19,10
97,2,43,10121,1100001,1,2,6,9,6,12,2,5,10
389,0,43,112102,110000101,2,4,4,4,12,15,9,21,12
195,1,43,21020,11000011,0,0,6,8,0,8,5,11,21
391,0,43,112111,110000111,1,1,6,6,1,0,11,0,14
49,3,7,1211,110001,1,4,0,5,10,15,11,3,20
393,0,19,112120,110001001,0,3,1,8,3,2,13,2,16
197,1,7,21022,11000101,2,2,1,10,2,10,7,13,23
395,0,26,112122,110001011,2,0,3,10,5,4,15,4,18
99,2,7,10200,1100011,0,4,1,0,8,14,4,7,12
397,0,7,112201,110001101,1,2,5,1,7,6,17,6,20
199,1,43,21101,11000111,1,4,3,1,4,12,9,15,25
399,0,43,112210,110001111,0,4,0,3,9,8,0,8,22
25,4,7,221,11001,1,0,4,3,12,8,6,2,25
401,0,4,112212,110010001,2,1,2,5,11,10,2,10,24
201,1,4,21110,11001001,0,1,5,3,6,14,11,17,27
403,0,4,112221,110010011,1,3,4,7,0,12,4,12,26
101,2,7,10202,1100101,2,1,3,2,10,16,6,9,14
405,0,7,120000,110010101,0,0,6,9,2,14,6,14,28
203,1,12,21112,11001011,2,3,0,5,8,16,13,19,0
407,0,12,120002,110010111,2,2,1,0,4,16,8,16,1
51,3,7,1220,110011,0,1,2,7,12,0,13,5,22
409,0,12,120011,110011001,1,4,3,2,6,1,10,18,3
205,1,7,21121,11001101,1,0,2,7,10,1,15,21,2
411,0,48,120020,110011011,0,1,5,4,8,3,12,20,5
103,2,31,10211,1100111,1,3,5,4,12,1,8,11,16
413,0,31,120022,110011101,2,3,0,6,10,5,14,22,7
