# "Odd core neighbor" fingerprints by Collatz odd-to-odd stopping distance, for 10000 integers

desc,k,oc,m3,m5,m7,m11,m13,m17,m19,m23,m29,m31
oc(2543-1),1,1271,2,1,4,6,10,13,17,6,24,0
oc(2543+1),4,159,0,4,5,5,3,6,7,21,14,4
oc(2553-1),3,319,1,4,4,0,7,13,15,20,0,9
oc(2553+1),1,1277,2,2,3,1,3,2,4,12,1,6
oc(2601-1),3,325,1,0,3,6,0,2,2,3,6,15
oc(2601+1),1,1301,2,1,6,3,1,9,9,13,25,30
oc(2615-1),1,1307,2,2,5,9,7,15,15,19,2,5
oc(2615+1),3,327,0,2,5,8,2,4,4,5,8,17
oc(4891-1),1,2445,0,0,2,3,1,14,13,7,9,27
oc(4891+1),2,1223,2,3,5,2,1,16,7,4,5,14
oc(4997-1),2,1249,1,4,3,6,1,8,14,7,2,9
oc(4997+1),1,2499,0,4,0,2,3,0,10,15,5,19
oc(5003-1),1,2501,2,1,2,4,5,2,12,17,7,21
oc(5003+1),2,1251,0,1,5,8,3,10,16,9,4,11
oc(5053-1),2,1263,0,3,3,9,2,5,9,21,16,23
oc(5053+1),1,2527,1,2,0,8,5,11,0,20,4,16
oc(5079-1),1,2539,1,4,5,9,4,6,12,9,16,28
oc(5079+1),3,635,2,0,5,8,11,6,8,14,26,15
oc(5087-1),1,2543,2,3,2,2,8,10,16,13,20,1
oc(5087+1),5,159,0,4,5,5,3,6,7,21,14,4
oc(5097-1),3,637,1,2,0,10,0,8,10,16,28,17
oc(5097+1),1,2549,2,4,1,8,1,16,3,19,26,7
oc(5107-1),1,2553,0,3,5,1,5,3,7,0,1,11
oc(5107+1),2,1277,2,2,3,1,3,2,4,12,1,6
oc(5167-1),1,2583,0,3,0,9,9,16,18,7,2,10
oc(5167+1),4,323,2,3,1,4,11,0,0,1,4,13
oc(5203-1),1,2601,0,1,4,5,1,0,17,2,20,28
oc(5203+1),2,1301,2,1,6,3,1,9,9,13,25,30
oc(5229-1),2,1307,2,2,5,9,7,15,15,19,2,5
oc(5229+1),1,2615,2,0,4,8,2,14,12,16,5,11
oc(5257-1),3,657,0,2,6,8,7,11,11,13,19,6
oc(5257+1),1,2629,1,4,4,0,3,11,7,7,19,25
oc(9705-1),3,1213,1,3,2,3,4,6,16,17,24,4
oc(9705+1),1,4853,2,3,2,2,4,8,8,0,10,17
oc(9783-1),1,4891,1,1,5,7,3,12,8,15,19,24
oc(9783+1),3,1223,2,3,5,2,1,16,7,4,5,14
oc(9997-1),2,2499,0,4,0,2,3,0,10,15,5,19
oc(9997+1),1,4999,1,4,1,5,7,1,2,8,11,8

# dist 63:
oc(937-1),3,117,0,2,5,7,0,15,3,2,1,24
oc(937+1),1,469,1,4,0,7,1,10,13,9,5,4
oc(1875-1),1,937,1,2,6,2,1,2,6,17,9,7
oc(1875+1),2,469,1,4,0,7,1,10,13,9,5,4
oc(1895-1),1,947,2,2,2,1,11,12,16,4,19,17
oc(1895+1),3,237,0,2,6,6,3,16,9,7,5,20
oc(1915-1),1,957,0,2,5,0,8,5,7,14,0,27
oc(1915+1),2,479,2,4,3,6,11,3,4,19,15,14
oc(1951-1),1,975,0,0,2,7,0,6,6,9,18,14
oc(1951+1),5,61,1,1,5,6,9,10,4,15,3,30
oc(1961-1),3,245,2,0,0,3,11,7,17,15,13,28
oc(1961+1),1,981,0,1,1,2,6,12,12,15,24,20
oc(3749-1),2,937,1,2,6,2,1,2,6,17,9,7
oc(3749+1),1,1875,0,0,6,5,3,5,13,12,19,15
oc(3791-1),1,1895,2,0,5,3,10,8,14,9,10,4
oc(3791+1),4,237,0,2,6,6,3,16,9,7,5,20
oc(3809-1),5,119,2,4,0,9,2,0,5,4,3,26
oc(3809+1),1,1905,0,0,1,2,7,1,5,19,20,14
oc(3815-1),1,1907,2,2,3,4,9,3,7,21,22,16
oc(3815+1),3,477,0,2,1,4,9,1,2,17,13,12
oc(3823-1),1,1911,0,1,0,8,0,7,11,2,26,20
oc(3823+1),4,239,2,4,1,8,5,1,11,9,7,22
oc(3831-1),1,1915,1,0,4,1,4,11,15,6,1,24
