n      - a positive integer
psym   - the symmetric primes at equal offsets around n

n,     psym
1481,  30 42 72 120 252 330 390 420 432 450 468 498 600 618 660 672 762 828 912 918 960 978 1050 1062 1098 1128 1212 1218 1230 1248 1308 1380 1398 1422 1428 1458 1476
1483,  60 84 180 186 270 390 396 450 516 546 600 606 630 654 660 696 756 810 864 906 984 1020 1074 1110 1134 1176 1200 1206 1284 1320 1374 1404 1470 1480
1487,  6 36 114 120 126 180 210 300 324 336 384 390 426 510 516 540 576 600 624 666 726 786 810 846 870 894 924 930 1044 1056 1104 1134 1170 1176 1206 1224 1254 1290 1314 1350 1356 1374 1416 1440 1470 1476 1482 1484
1489,  42 60 90 108 168 210 252 258 288 372 498 522 732 750 762 780 798 858 882 888 948 1032 1050 1068 1158 1182 1218 1260 1278 1308 1362 1428 1482
1493,  6 60 66 120 126 174 204 216 330 384 396 480 510 546 606 636 720 750 774 816 840 846 900 906 924 930 984 1050 1140 1200 1236 1260 1296 1326 1344 1386 1404 1410 1434 1446 1464 1470 1476
1499,  12 60 72 138 198 210 222 312 348 390 402 408 450 480 528 570 588 612 642 738 798 840 852 858 882 900 912 942 978 1032 1050 1080 1110 1188 1230 1242 1302 1320 1362 1398 1410 1428 1440 1458 1470
1511,  12 60 72 102 210 222 360 402 420 462 492 528 558 570 600 630 702 828 870 912 948 1020 1032 1068 1080 1110 1122 1152 1200 1218 1230 1242 1278 1332 1398 1428 1452 1458 1488 1500 1508
1523,  30 36 84 90 96 114 264 300 426 474 504 540 546 576 684 714 750 870 876 924 936 954 1020 1056 1134 1140 1164 1170 1176 1206 1230 1254 1266 1296 1356 1374 1386 1416 1434 1440 1476 1500 1518
1531,  48 78 132 210 228 252 300 330 402 462 468 480 498 522 612 648 672 708 720 762 780 840 858 990 1008 1152 1158 1182 1200 1218 1260 1302 1320 1422 1470 1488 1518
1543,  54 84 114 120 216 240 246 330 390 450 456 474 510 546 636 660 804 834 924 930 996 1104 1134 1146 1164 1170 1176 1206 1260 1314 1344 1476 1506 1524 1536 1540
1549,  18 60 78 120 150 228 252 312 318 462 480 540 582 612 630 672 690 720 738 762 792 798 822 840 888 918 972 1002 1008 1110 1128 1140 1170 1182 1200 1218 1242 1308 1338 1368 1422 1452 1470 1488 1512 1518 1530
1553,  30 54 60 66 114 144 180 234 270 294 324 336 360 444 450 534 576 600 690 714 744 756 780 870 894 906 990 996 1104 1110 1134 1200 1236 1284 1290 1326 1356 1374 1386 1404 1416 1446 1470 1530 1536
1559,  48 60 78 108 150 252 330 342 372 468 510 528 540 582 648 678 738 750 798 840 858 882 900 918 972 990 1050 1098 1128 1140 1170 1242 1278 1302 1320 1368 1380 1410 1452 1530
1567,  96 186 264 366 444 450 516 546 570 576 684 714 744 780 810 816 906 936 954 990 1026 1080 1104 1110 1146 1200 1230 1236 1284 1290 1386 1404 1470 1494 1500 1554
1571,  12 48 138 162 252 342 378 408 468 510 540 558 642 762 810 828 852 870 888 972 978 1008 1050 1062 1092 1122 1128 1140 1170 1182 1218 1290 1308 1332 1338 1392 1398 1440 1470 1512 1518 1548 1566
1579,  30 48 90 120 180 198 252 282 288 300 408 450 510 558 582 642 660 672 702 768 792 810 888 960 972 978 1038 1080 1092 1140 1170 1212 1272 1308 1338 1422 1440 1470 1482 1500 1542
1583,  24 30 84 150 264 294 306 324 366 390 396 420 480 486 570 630 654 726 756 774 810 840 864 966 996 1026 1074 1080 1104 1116 1194 1236 1314 1320 1326 1344 1356 1386 1416 1500 1536 1554 1580
1597,  30 66 126 144 150 270 276 396 534 546 564 606 690 714 744 774 786 840 870 906 924 954 996 1020 1050 1074 1110 1134 1200 1260 1290 1320 1356 1374 1404 1440 1470 1524 1566 1584 1590 1594
1601,  18 108 120 300 312 372 378 438 498 510 540 552 672 738 780 792 840 858 942 948 1008 1032 1092 1098 1110 1140 1152 1200 1218 1242 1308 1338 1362 1368 1410 1422 1488 1518 1590
1607,  6 114 126 180 240 300 306 324 390 420 456 504 546 630 636 660 666 726 744 750 786 810 834 924 1014 1050 1086 1104 1146 1254 1290 1296 1350 1356 1416 1434 1476 1560 1584 1596 1602
1609,  12 60 138 150 180 378 408 480 522 570 612 642 672 702 732 780 858 948 1008 1038 1062 1068 1110 1122 1188 1242 1278 1410 1428 1452 1458 1470 1500 1512 1572 1578
1613,  6 54 120 174 294 336 384 390 426 450 516 594 600 630 660 684 726 786 804 930 936 966 996 1020 1044 1050 1164 1224 1230 1266 1296 1344 1350 1356 1386 1476 1506 1524 1554 1590 1596 1608
1619,  18 48 168 192 252 258 312 330 360 468 510 522 588 648 678 690 732 738 762 780 792 798 822 858 960 972 1002 1110 1158 1170 1200 1218 1260 1308 1338 1350 1380 1392 1422 1470 1518 1548 1572 1590 1602
1621,  42 72 78 132 138 162 168 240 330 372 390 408 468 492 558 582 600 630 762 768 852 882 930 1050 1098 1182 1212 1350 1380 1398 1428 1440 1458 1542 1548 1560 1608
1627,  30 96 156 174 204 246 306 324 390 426 456 504 510 534 576 594 660 720 744 750 840 876 894 966 1020 1050 1056 1080 1086 1104 1140 1164 1170 1206 1230 1260 1290 1344 1434 1554 1560 1590 1624
