# "Odd core neighbor" fingerprints by Collatz odd-to-odd stopping distance

desc,k,oc,m3,m5,m7,m11,m13,m17,m19,m23,m29
oc(3215-1),1,1607,2,2,4,1,8,9,11,20,12
oc(3215+1),4,201,0,1,5,3,6,14,11,17,27
oc(3231-1),1,1615,1,0,5,9,3,0,0,5,20
oc(3231+1),5,101,2,1,3,2,10,16,6,9,14
oc(3233-1),5,101,2,1,3,2,10,16,6,9,14
oc(3233+1),1,1617,0,2,0,0,5,2,2,7,22
oc(3241-1),3,405,0,0,6,9,2,14,6,14,28
oc(3241+1),1,1621,1,1,4,4,9,6,6,11,26
oc(3311-1),1,1655,2,0,3,5,4,6,2,22,2
oc(3311+1),4,207,0,2,4,9,12,3,17,0,4

# dist 59:
oc(1215-1),1,607,1,2,5,2,9,12,18,9,27
oc(1215+1),6,19,1,4,5,8,6,2,0,19,19
oc(2375-1),1,1187,2,2,4,10,4,14,9,14,27
oc(2375+1),3,297,0,2,3,0,11,8,12,21,7
oc(2401-1),5,75,0,0,5,9,10,7,18,6,17
oc(2401+1),1,1201,1,1,4,2,5,11,4,5,12
oc(2411-1),1,1205,2,0,1,6,9,15,8,9,16
oc(2411+1),2,603,0,3,1,9,5,8,14,5,23
oc(2425-1),3,303,0,3,2,6,4,14,18,4,13
oc(2425+1),1,1213,1,3,2,3,4,6,16,17,24
oc(2431-1),1,1215,0,0,4,5,6,8,18,19,26
oc(2431+1),7,19,1,4,5,8,6,2,0,19,19
oc(4751-1),1,2375,2,0,2,10,9,12,0,6,26
oc(4751+1),4,297,0,2,3,0,11,8,12,21,7
oc(4795-1),1,2397,0,2,3,10,5,0,3,5,19
oc(4795+1),2,1199,2,4,2,0,3,9,2,3,10
oc(4799-1),1,2399,2,4,5,1,7,2,5,7,21
oc(4799+1),6,75,0,0,5,9,10,7,18,6,17
oc(4803-1),1,2401,1,1,0,3,9,4,7,9,23
oc(4803+1),2,1201,1,1,4,2,5,11,4,5,12
oc(4823-1),1,2411,2,1,3,2,6,14,17,19,4
oc(4823+1),3,603,0,3,1,9,5,8,14,5,23
oc(4839-1),1,2419,1,4,4,10,1,5,6,4,12
oc(4839+1),3,605,2,0,3,0,7,10,16,7,25
oc(4843-1),1,2421,0,1,6,1,3,7,8,6,14
oc(4843+1),2,1211,2,1,0,1,2,4,14,15,22
oc(4847-1),1,2423,2,3,1,3,5,9,10,8,16
oc(4847+1),4,303,0,3,2,6,4,14,18,4,13
oc(4851-1),1,2425,1,0,3,5,7,11,12,10,18
oc(4851+1),2,1213,1,3,2,3,4,6,16,17,24
oc(4857-1),3,607,1,2,5,2,9,12,18,9,27
oc(4857+1),1,2429,2,4,0,9,11,15,16,14,22
oc(4861-1),2,1215,0,0,4,5,6,8,18,19,26
oc(4861+1),1,2431,1,1,2,0,0,0,18,16,24
oc(4897-1),5,153,0,3,6,10,10,0,1,15,8
oc(4897+1),1,2449,1,4,6,7,5,1,17,11,13
oc(4905-1),3,613,1,3,4,8,2,1,5,15,4
oc(4905+1),1,2453,2,3,3,0,9,5,2,15,17
oc(4967-1),1,2483,2,3,5,8,0,1,13,22,18
oc(4967+1),3,621,0,1,5,5,10,9,13,0,12
oc(4987-1),1,2493,0,3,1,7,10,11,4,9,28
oc(4987+1),2,1247,2,2,1,4,12,6,12,5,0
oc(4993-1),7,39,0,4,4,6,0,5,1,16,10
oc(4993+1),1,2497,1,2,5,0,1,15,8,13,3

# dist 58:
oc(1801-1),3,225,0,0,1,5,4,4,16,18,22
oc(1801+1),1,901,1,1,5,10,4,0,8,4,2
oc(1819-1),1,909,0,4,6,7,12,8,16,12,10
oc(1819+1),2,455,2,0,0,4,0,13,18,18,20
oc(1823-1),1,911,2,1,1,9,1,10,18,14,12
oc(1823+1),5,57,0,2,1,2,5,6,0,11,28
oc(1839-1),1,919,1,4,2,6,9,1,7,22,20
oc(1839+1),4,115,1,0,3,5,11,13,1,0,28
oc(3563-1),1,1781,2,1,3,10,0,13,14,10,12
oc(3563+1),2,891,0,1,2,0,7,7,17,17,21
