# Odd core "extended family" distance groups

The numbers here are grouped by their odd-to-odd Collatz stopping distance.
Every n is represented by a group of 7 lines that forms a small tree.
The "children" of n are defined as the 2-adic odd cores of the even neighbors, n-1 and n+1.
They have their own children in turn, and for every n this small hierarchy is shown.
When reading the tables, n is the center row in each group of seven lines.

oc,k,dist,base3,base2,m3,m5,m7,m11,m13,m17,m19,m23,m29,m31,m37,m41,m43,m47,m53,m59,m61,m67,m71

# Distance 65:

91,1,33,10101,1011011,1,1,0,3,0,6,15,22,4,29,17,9,5,44,38,32,30,24,20 # oc(oc(731+1)-1)
183,2,33,20210,10110111,0,3,1,7,1,13,12,22,9,28,35,19,11,42,24,6,0,49,41 # oc(731+1)
23,3,4,212,10111,2,3,2,1,10,6,4,0,23,23,23,23,23,23,23,23,23,23,23 # oc(oc(731+1)+1)

11,1,4,102,1011,2,1,4,0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11 # oc(oc(737-1)-1)
23,5,4,212,10111,2,3,2,1,10,6,4,0,23,23,23,23,23,23,23,23,23,23,23 # oc(737-1)
3,3,2,10,11,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3 # oc(oc(737-1)+1)
737,0,50,1000022,1011100001,2,2,2,0,9,6,15,1,12,24,34,40,6,32,48,29,5,0,27 # 737 -> 553
23,4,4,212,10111,2,3,2,1,10,6,4,0,23,23,23,23,23,23,23,23,23,23,23 # oc(oc(737+1)-1)
369,1,4,111200,101110001,0,4,5,6,5,12,8,1,21,28,36,0,25,40,51,15,3,34,14 # oc(737+1)
185,1,14,20212,10111001,2,0,3,9,3,15,14,1,11,30,0,21,13,44,26,8,2,51,43 # oc(oc(737+1)+1)

187,1,14,20221,10111011,1,2,5,0,5,0,16,3,13,1,2,23,15,46,28,10,4,53,45 # oc(oc(751-1)-1)
375,1,14,111220,101110111,0,0,4,1,11,1,14,7,27,3,5,6,31,46,4,21,9,40,20 # oc(751-1)
47,3,38,1202,101111,2,2,5,3,8,13,9,1,18,16,10,6,4,0,47,47,47,47,47 # oc(oc(751-1)+1)
751,0,50,1000211,1011101111,1,1,2,3,10,3,10,15,26,7,11,13,20,46,9,43,19,14,41 # 751 -> 1127
23,1,4,212,10111,2,3,2,1,10,6,4,0,23,23,23,23,23,23,23,23,23,23,23 # oc(oc(751+1)-1)
