# Integer factorization table

n     - a positive integer
fact  - the prime factors of n, indented by distance from the nearest prime
π     - the prime counting function π(n), the number of primes less than or equal to n
π~    - an estimate of the prime counting function π(n), the number of primes less than or equal to n: n / (log n - 1)
R     - the Riemann R function R(n)
Li    - the logarithmic integral Li(n)
θ     - the Chebyshev θ(n) function, the sum of log p for primes p ≤ n
ψ     - the Chebyshev ψ(n) function, the sum of log p for prime powers p^k ≤ n
Λ     - the von Mangoldt function of n, Λ(n)
τ     - the number of divisors of n, τ(n)
σ     - the sum of divisors of n, σ(n)
φ     - the Euler totient of n, φ(n)
λ     - the Carmichael function of n, λ(n)
Dψ    - the Dedekind ψ(n) function
μ     - the Möbius function of n, which is 1 if n is a product of an even number of distinct primes, -1 if odd, and 0 if any prime is repeated
ω     - the number of distinct prime factors of n, ω(n)
Ω     - the total number of prime factors of n, counting multiplicity, Ω(n)
λ     - the Liouville function of n, λ(n) = (-1)^Ω(n)
M     - the Mertens function M(n)
m*    - the prime residues of n modulo a set of primes
psym  - the symmetric primes at equal offsets around n
rad   - the radical of n, the product of its unique prime factors
mask  - the mask of prime factors (radical) of n, as a string

```csv
    n, fact,                        π,       π~,        R,       Li,         θ,         ψ,      Λ,   τ,      σ,     φ,     λ,     Dψ,   μ,  ω,   Ω,   λ,    M, m2, m3, m5, m7, m11, m13, m17, m19, m23, m29, m31, psym,                                 rad, mask
   67, 67,                         19,   20.907,   18.863,   22.652,    57.324,    79.423,  4.205,   2,     68,    66,    66,     68,  -1,  1,   1,  -1,   -2,  1,  1,  2,  4,   1,   2,  16,  10,  21,   9,   5, 6 30 36 60 64,                         67,                   X
   68,  2²⋅17,                     19,   21.121,   19.080,   22.889,    57.324,    76.218,  0.000,   6,    126,    32,    16,    108,   0,  2,   3,  -1,   -2,  0,  2,  3,  5,   2,   3,   0,  11,  22,  10,   6, 15 21 39 45 63,                        34, X     X
   69,   3⋅23,                     19,   21.335,   19.298,   23.126,    57.324,    77.218,  0.000,   4,     96,    44,    22,     96,   1,  2,   2,   1,   -1,  1,  0,  4,  6,   3,   4,   1,  12,   0,  11,   7, 2 10 28 32 38 40 58 62,                69,  X      X
   70,  2⋅5⋅7,                     19,   21.548,   19.514,   23.362,    57.324,    78.218,  0.000,   8,    144,    24,    12,    144,  -1,  3,   3,  -1,   -2,  0,  1,  0,  0,   4,   5,   2,  13,   1,  12,   8, 3 9 27 33 39 57 67,                    70, X XX
   71, 71,                         20,   21.761,   19.730,   23.597,    61.586,    83.481,  4.263,   2,     72,    70,    70,     72,  -1,  1,   1,  -1,   -3,  1,  2,  1,  1,   5,   6,   3,  14,   2,  13,   9, 12 18 30 42 60 66 68,                  71,                    X
   72,  2³⋅3²,                     20,   21.974,   19.945,   23.831,    61.586,    80.218,  0.000,  12,    195,    24,     6,    144,   0,  2,   5,  -1,   -3,  0,  0,  2,  2,   6,   7,   4,  15,   3,  14,  10, 1 11 25 29 31 35 41 55 …,               6, XX
   73, 73,                         21,   22.185,   20.160,   24.064,    65.877,    85.509,  4.290,   2,     74,    72,    72,     74,  -1,  1,   1,  -1,   -4,  1,  1,  3,  3,   7,   8,   5,  16,   4,  15,  11, 6 30 36 54 66,                         73,                     X
   74,  2⋅37,                      21,   22.397,   20.375,   24.297,    65.877,    82.218,  0.000,   4,    114,    36,    36,    113,   1,  2,   2,   1,   -3,  0,  2,  4,  4,   8,   9,   6,  17,   5,  16,  12, 15 27 33 57 63,                        74, X          X
   75,   3⋅5²,                     21,   22.607,   20.588,   24.529,    65.877,    83.218,  0.000,   6,    124,    40,    20,    119,   0,  2,   3,  -1,   -3,  1,  0,  0,  5,   9,  10,   7,  18,   6,  17,  13, 4 8 14 22 28 32 34 38 …,               15,  XX
   76,    2²⋅19,                   21,   22.818,   20.802,   24.760,    65.877,    84.218,  0.000,   6,    140,    36,    18,    120,   0,  2,   3,  -1,   -3,  0,  1,  1,  6,  10,  11,   8,   0,   7,  18,  14, 3 33 63 73,                            38, X      X
   77,   7⋅11,                     21,   23.028,   21.014,   24.991,    65.877,    85.218,  0.000,   4,     96,    60,    30,     95,   1,  2,   2,   1,   -2,  1,  2,  2,  0,   0,  12,   9,   1,   8,  19,  15, 6 24 30 36 54 60 72 74,                77,    XX
   78,  2⋅3⋅13,                    21,   23.237,   21.227,   25.221,    65.877,    86.218,  0.000,   8,    168,    24,    12,    168,  -1,  3,   3,  -1,   -3,  0,  0,  3,  1,   1,   0,  10,   2,   9,  20,  16, 5 11 19 25 31 35 49 59 …,              78, XX   X
   79, 79,                         22,   23.446,   21.438,   25.450,    70.246,    91.588,  4.369,   2,     80,    78,    78,     80,  -1,  1,   1,  -1,   -4,  1,  1,  4,  2,   2,   1,  11,   3,  10,  21,  17, 18 48 60 72,                           79,                      X
   80,  2⁴⋅5,                      22,   23.654,   21.649,   25.679,    70.246,    88.218,  0.000,  10,    186,    32,     4,    144,   0,  2,   5,  -1,   -4,  0,  2,  0,  3,   3,   2,  12,   4,  11,  22,  18, 9 21 27 33 51 57 69 77,                10, X X
