n,k,oc,m3,m5,m7,m11,m13,m17
537,0,537,0,2,5,9,4,10
538,1,269,2,4,3,5,9,14
539,0,539,2,4,0,0,6,12
540,2,135,0,0,2,3,5,16
541,0,541,1,1,2,2,8,14
542,1,271,1,1,5,7,11,16
543,0,543,0,3,4,4,10,16
544,5,17,2,2,3,6,4,0
545,0,545,2,0,6,6,12,1
546,1,273,0,3,0,9,0,1
547,0,547,1,2,1,8,1,3
548,2,137,2,2,4,5,7,1
549,0,549,0,4,3,10,3,5
550,1,275,2,0,2,0,2,3
551,0,551,2,1,5,1,5,7
552,3,69,0,4,6,3,4,1
553,0,553,1,3,0,3,7,9
554,1,277,1,2,4,2,4,5
555,0,555,0,0,2,5,9,11
556,2,139,1,4,6,7,9,3
557,0,557,2,2,4,7,11,13
558,1,279,0,4,6,4,6,7
559,0,559,1,4,6,9,0,15
560,4,35,2,0,0,2,9,1
561,0,561,0,1,1,0,2,0
562,1,281,2,1,1,6,8,9
563,0,563,2,3,3,2,4,2
564,2,141,0,1,1,9,11,5
565,0,565,1,0,5,4,6,4
566,1,283,1,3,3,8,10,11
567,0,567,0,2,0,6,8,6
568,3,71,2,1,1,5,6,3
569,0,569,2,4,2,8,10,8
570,1,285,0,0,5,10,12,13
571,0,571,1,1,4,10,12,10
572,2,143,2,3,3,0,0,7
573,0,573,0,3,6,1,1,12
574,1,287,2,2,0,1,1,15
575,0,575,2,0,1,3,3,14
576,6,9,0,4,2,9,9,9
577,0,577,1,2,3,5,5,16
578,1,289,1,4,2,3,3,0
579,0,579,0,4,5,7,7,1
580,2,145,1,0,5,2,2,9
581,0,581,2,1,0,9,9,3
582,1,291,0,1,4,5,5,2
583,0,583,1,3,2,0,11,5
584,3,73,1,3,3,7,8,5
585,0,585,0,0,4,2,0,7
586,1,293,2,3,6,7,7,4
587,0,587,2,2,6,4,2,9
588,2,147,0,2,0,4,4,11
589,0,589,1,4,1,6,4,11
590,1,295,1,0,1,9,9,6
591,0,591,0,1,3,8,6,13
592,4,37,1,2,2,4,11,3
593,0,593,2,3,5,10,8,15
594,1,297,0,2,3,0,11,8
595,0,595,1,0,0,1,10,0
596,2,149,2,4,2,6,6,13
597,0,597,0,2,2,3,12,2
