# `factorzig` the prime factors of n, indented by distance from the nearest prime
# `primeness` notes if n is a prime, prime power, prime twin, radical, radical power, primorial, or primorial power

factorzig,          primeness
631,                prime
 2³⋅79,             
  3⋅211,            radical
   2⋅317,           radical
    5⋅127,          radical
     2²⋅3⋅53,       
    7²⋅13,          
   2⋅11⋅29,         radical
  3²⋅71,            
 2⁷⋅5,              
641,                prime twin
 2⋅3⋅107,           radical
643,                prime twin
 2²⋅7⋅23,           
  3⋅5⋅43,           radical
 2⋅17⋅19,           radical
647,                prime
 2³⋅3⁴,             
  11⋅59,            radical
   2⋅5²⋅13,         
  3⋅7⋅31,           radical
 2²⋅163,            
653,                prime
 2⋅3⋅109,           radical
  5⋅131,            radical
   2⁴⋅41,           
  3²⋅73,            
 2⋅7⋅47,            radical
659,                prime twin
 2²⋅3⋅5⋅11,         
661,                prime twin
 2⋅331,             radical
  3⋅13⋅17,          radical
   2³⋅83,           
    5⋅7⋅19,         radical
     2⋅3²⋅37,       
      23⋅29,        radical
     2²⋅167,        
    3⋅223,          radical
   2⋅5⋅67,          radical
  11⋅61,            radical
 2⁵⋅3⋅7,            
673,                prime
 2⋅337,             radical
  3³⋅5²,            
 2²⋅13²,            radical power
677,                prime
 2⋅3⋅113,           radical
  7⋅97,             radical
   2³⋅5⋅17,         
  3⋅227,            radical
 2⋅11⋅31,           radical
683,                prime
 2²⋅3²⋅19,          
  5⋅137,            radical
   2⋅7³,            
    3⋅229,          radical
   2⁴⋅43,           
  13⋅53,            radical
 2⋅3⋅5⋅23,          radical
691,                prime
 2²⋅173,            
  3²⋅7⋅11,          
   2⋅347,           radical
    5⋅139,          radical
     2³⋅3⋅29,       
    17⋅41,          radical
   2⋅349,           radical
  3⋅233,            radical
 2²⋅5²⋅7,           
701,                prime
 2⋅3³⋅13,           
  19⋅37,            radical
   2⁶⋅11,           
    3⋅5⋅47,         radical
   2⋅353,           radical
  7⋅101,            radical
 2²⋅3⋅59,           
709,                prime
 2⋅5⋅71,            radical
  3²⋅79,            
   2³⋅89,           
    23⋅31,          radical
     2⋅3⋅7⋅17,      radical
    5⋅11⋅13,        radical
   2²⋅179,          
  3⋅239,            radical
 2⋅359,             radical
719,                prime
 2⁴⋅3²⋅5,           
  7⋅103,            radical
   2⋅19²,           
    3⋅241,          radical
   2²⋅181,          
  5²⋅29,            
 2⋅3⋅11²,           
727,                prime
 2³⋅7⋅13,           
  3⁶,               prime power
   2⋅5⋅73,          radical
  17⋅43,            radical
 2²⋅3⋅61,           
733,                prime
 2⋅367,             radical
  3⋅5⋅7²,           
   2⁵⋅23,           
  11⋅67,            radical
 2⋅3²⋅41,           
739,                prime
 2²⋅5⋅37,           
  3⋅13⋅19,          radical
 2⋅7⋅53,            radical
743,                prime
 2³⋅3⋅31,           
  5⋅149,            radical
   2⋅373,           radical
    3²⋅83,          
   2²⋅11⋅17,        
  7⋅107,            radical
 2⋅3⋅5³,            
751,                prime
 2⁴⋅47,             
  3⋅251,            radical
   2⋅13⋅29,         radical
  5⋅151,            radical
 2²⋅3³⋅7,           
757,                prime
 2⋅379,             radical
  3⋅11⋅23,          radical
 2³⋅5⋅19,           
761,                prime
 2⋅3⋅127,           radical
  7⋅109,            radical
   2²⋅191,          
    3²⋅5⋅17,        
   2⋅383,           radical
  13⋅59,            radical
 2⁸⋅3,              
769,                prime
 2⋅5⋅7⋅11,          radical
  3⋅257,            radical
 2²⋅193,            
773,                prime
 2⋅3²⋅43,           
  5²⋅31,            
   2³⋅97,           
    3⋅7⋅37,         radical
     2⋅389,         radical
      19⋅41,        radical
       2²⋅3⋅5⋅13,   
      11⋅71,        radical
     2⋅17⋅23,       radical
    3³⋅29,          
   2⁴⋅7²,           
  5⋅157,            radical
 2⋅3⋅131,           radical
787,                prime
 2²⋅197,            
  3⋅263,            radical
   2⋅5⋅79,          radical
    7⋅113,          radical
     2³⋅3²⋅11,      
    13⋅61,          radical
   2⋅397,           radical
  3⋅5⋅53,           radical
 2²⋅199,            
797,                prime
 2⋅3⋅7⋅19,          radical
  17⋅47,            radical
   2⁵⋅5²,           
    3²⋅89,          
     2⋅401,         radical
      11⋅73,        radical
     2²⋅3⋅67,       
    5⋅7⋅23,         radical
   2⋅13⋅31,         radical
  3⋅269,            radical
 2³⋅101,            
809,                prime twin
 2⋅3⁴⋅5,            
811,                prime twin
 2²⋅7⋅29,           
  3⋅271,            radical
   2⋅11⋅37,         radical
    5⋅163,          radical
     2⁴⋅3⋅17,       
    19⋅43,          radical
   2⋅409,           radical
  3²⋅7⋅13,          
 2²⋅5⋅41,           
821,                prime twin
 2⋅3⋅137,           radical
823,                prime twin
 2³⋅103,            
  3⋅5²⋅11,          
 2⋅7⋅59,            radical
827,                prime twin
 2²⋅3²⋅23,          
829,                prime twin
 2⋅5⋅83,            radical
  3⋅277,            radical
   2⁶⋅13,           
    7²⋅17,          
     2⋅3⋅139,       radical
    5⋅167,          radical
   2²⋅11⋅19,        
  3³⋅31,            
 2⋅419,             radical
839,                prime
 2³⋅3⋅5⋅7,          
  29²,              prime power
   2⋅421,           radical
    3⋅281,          radical
     2²⋅211,        
      5⋅13²,        
       2⋅3²⋅47,     
      7⋅11²,        
     2⁴⋅53,         
    3⋅283,          radical
   2⋅5²⋅17,         
  23⋅37,            radical
 2²⋅3⋅71,           
853,                prime
 2⋅7⋅61,            radical
  3²⋅5⋅19,          
 2³⋅107,            
857,                prime twin
 2⋅3⋅11⋅13,         radical
859,                prime twin
 2²⋅5⋅43,           
  3⋅7⋅41,           radical
 2⋅431,             radical
863,                prime
 2⁵⋅3³,             
  5⋅173,            radical
   2⋅433,           radical
    3⋅17²,          
     2²⋅7⋅31,       
      11⋅79,        radical
       2⋅3⋅5⋅29,    radical
      13⋅67,        radical
     2³⋅109,        
    3²⋅97,          
   2⋅19⋅23,         radical
  5³⋅7,             
 2²⋅3⋅73,           
877,                prime
 2⋅439,             radical
  3⋅293,            radical
 2⁴⋅5⋅11,           
881,                prime twin
 2⋅3²⋅7²,           
883,                prime twin
 2²⋅13⋅17,          
  3⋅5⋅59,           radical
 2⋅443,             radical
887,                prime
 2³⋅3⋅37,           
  7⋅127,            radical
   2⋅5⋅89,          radical
    3⁴⋅11,          
     2²⋅223,        
      19⋅47,        radical
       2⋅3⋅149,     radical
        5⋅179,      radical
         2⁷⋅7,      
          3⋅13⋅23,  radical
         2⋅449,     radical
        29⋅31,      radical
       2²⋅3²⋅5²,    radical power
      17⋅53,        radical
     2⋅11⋅41,       radical
    3⋅7⋅43,         radical
   2³⋅113,          
  5⋅181,            radical
 2⋅3⋅151,           radical
907,                prime
 2²⋅227,            
  3²⋅101,           
 2⋅5⋅7⋅13,          radical
911,                prime
 2⁴⋅3⋅19,           
  11⋅83,            radical
   2⋅457,           radical
    3⋅5⋅61,         radical
   2²⋅229,          
  7⋅131,            radical
 2⋅3³⋅17,           
919,                prime
 2³⋅5⋅23,           
  3⋅307,            radical
   2⋅461,           radical
    13⋅71,          radical
     2²⋅3⋅7⋅11,     
    5²⋅37,          
   2⋅463,           radical
  3²⋅103,           
 2⁵⋅29,             
929,                prime
 2⋅3⋅5⋅31,          radical
  7²⋅19,            
   2²⋅233,          
    3⋅311,          radical
   2⋅467,           radical
  5⋅11⋅17,          radical
 2³⋅3²⋅13,          
937,                prime
 2⋅7⋅67,            radical
  3⋅313,            radical
 2²⋅5⋅47,           
941,                prime
 2⋅3⋅157,           radical
  23⋅41,            radical
   2⁴⋅59,           
  3³⋅5⋅7,           
 2⋅11⋅43,           radical
947,                prime
 2²⋅3⋅79,           
  13⋅73,            radical
   2⋅5²⋅19,         
  3⋅317,            radical
 2³⋅7⋅17,           
953,                prime
 2⋅3²⋅53,           
  5⋅191,            radical
   2²⋅239,          
    3⋅11⋅29,        radical
     2⋅479,         radical
      7⋅137,        radical
       2⁶⋅3⋅5,      
      31²,          prime power
     2⋅13⋅37,       radical
    3²⋅107,         
   2²⋅241,          
  5⋅193,            radical
 2⋅3⋅7⋅23,          radical
967,                prime
 2³⋅11²,            
  3⋅17⋅19,          radical
 2⋅5⋅97,            radical
971,                prime
 2²⋅3⁵,             
  7⋅139,            radical
   2⋅487,           radical
  3⋅5²⋅13,          
 2⁴⋅61,             
977,                prime
 2⋅3⋅163,           radical
  11⋅89,            radical
   2²⋅5⋅7²,         
  3²⋅109,           
 2⋅491,             radical
983,                prime
 2³⋅3⋅41,           
  5⋅197,            radical
   2⋅17⋅29,         radical
    3⋅7⋅47,         radical
