# `dist`      the number of odd-to-odd Collatz for n steps to reach 1
# `n`         a positive odd integer
# `factors`   the prime factors of n
# `ocldist`   the Collatz odd-to-odd distance of the odd core of n-1
# `nl`        the odd core valuation of the even number n-1 to the left of odd n
# `ofactorsl` the odd prime factors of n-1
# `ocrdist`   the Collatz odd-to-odd distance of the odd core of n+1
# `nr`        the odd core valuation of the even number n+1 to the right of odd n
# `ofactorsr` the odd prime factors of n+1
# `tcn`       the nearest "ternary core", among (0, 1, 2), after dividing out powers of three
# `base2`     the binary representation of n
# `base3`     the ternary representation of n
# `base5`     the base-5 representation of n
# `base7`     the base-7 representation of n
# `m*`        the prime residues of n modulo a set of primes
# `pre_total` the total number of preimages of n under the odd-to-odd Collatz map

dist,     n, factors,       ocldist,        nl, ofactorsl,    ocrdist,        nr, ofactorsr,      tcn,           base2,      base3,   base5,  base7, m3, m5, m7, m11, m13, m17, m19, m23, m29, m31, m37, m41, pre_total
   7,   435, {3 5 29},            7,   (217 1), {7 31},            41,   (109 2), {109},          145,       110110011,     121010,    3220,   1161, 0,  0,  1,  6,   6,   10,  17,  21,  0,   1,   28,  25,          0
   7,   441, {3 7},              41,    (55 3), {5 11},            41,   (221 1), {13 17},         49,       110111001,     121100,    3231,   1200, 0,  1,  0,  1,   12,  16,  4,   4,   6,   7,   34,  31,          0
  34,   447, {3 149},            24,   (223 1), {223},              5,     (7 6), {7},            149,       110111111,     121120,    3242,   1206, 0,  2,  6,  7,   5,   5,   10,  10,  12,  13,  3,   37,          0
   2,   453, {3 151},             2,   (113 2), {113},              2,   (227 1), {227},          151,       111000101,     121210,    3303,   1215, 0,  3,  5,  2,   11,  11,  16,  16,  18,  19,  9,   2,           0
  46,   459, {3 17},             10,   (229 1), {229},             10,   (115 2), {5 23},          17,       111001011,     122000,    3314,   1224, 0,  4,  4,  8,   4,   0,   3,   22,  24,  25,  15,  8,           0
  10,   465, {3 5 31},            5,    (29 4), {29},              29,   (233 1), {233},          155,       111010001,     122020,    3330,   1233, 0,  0,  3,  3,   10,  6,   9,   5,   1,   0,   21,  14,          0
  46,   471, {3 157},            46,   (235 1), {5 47},            10,    (59 3), {59},           157,       111010111,     122110,    3341,   1242, 0,  1,  2,  9,   3,   12,  15,  11,  7,   6,   27,  20,          0
  10,   477, {3 53},             10,   (119 2), {7 17},            17,   (239 1), {239},           53,       111011101,     122200,    3402,   1251, 0,  2,  1,  4,   9,   1,   2,   17,  13,  12,  33,  26,          0
   5,   483, {3 7 23},            5,   (241 1), {241},             34,   (121 2), {11},           161,       111100011,     122220,    3413,   1260, 0,  3,  0,  10,  2,   7,   8,   0,   19,  18,  2,   32,          0
  15,   489, {3 163},             5,    (61 3), {61},               5,   (245 1), {5 7},          163,       111101001,     200010,    3424,   1266, 0,  4,  6,  5,   8,   13,  14,  6,   25,  24,  8,   38,          0
  34,   495, {3 5 11},           15,   (247 1), {13 19},           39,    (31 4), {31},            55,       111101111,     200100,    3440,   1305, 0,  0,  5,  0,   1,   2,   1,   12,  2,   30,  14,  3,           0
  39,   501, {3 167},            39,   (125 2), {5},               22,   (251 1), {251},          167,       111110101,     200120,    4001,   1314, 0,  1,  4,  6,   7,   8,   7,   18,  8,   5,   20,  9,           0
  10,   507, {3 13},             39,   (253 1), {11 23},           15,   (127 2), {127},          169,       111111011,     200210,    4012,   1323, 0,  2,  3,  1,   0,   14,  13,  1,   14,  11,  26,  15,          0
  10,   513, {3 19},              0,     (1 9), {},                44,   (257 1), {257},           19,      1000000001,     201000,    4023,   1332, 0,  3,  2,  7,   6,   3,   0,   7,   20,  17,  32,  21,          0
  20,   519, {3 173},            44,   (259 1), {7 37},             8,    (65 3), {5 13},         173,      1000000111,     201020,    4034,   1341, 0,  4,  1,  2,   12,  9,   6,   13,  26,  23,  1,   27,          0
   8,   525, {3 5 7},             8,   (131 2), {131},             27,   (263 1), {263},          175,      1000001101,     201110,    4100,   1350, 0,  0,  0,  8,   5,   15,  12,  19,  3,   29,  7,   33,          0
  44,   531, {3 59},             44,   (265 1), {5 53},             8,   (133 2), {7 19},          59,      1000010011,     201200,    4111,   1356, 0,  1,  6,  3,   11,  4,   18,  2,   9,   4,   13,  39,          0
   5,   537, {3 179},             8,    (67 3), {67},               8,   (269 1), {269},          179,      1000011001,     201220,    4122,   1365, 0,  2,  5,  9,   4,   10,  5,   8,   15,  10,  19,  4,           0
  49,   543, {3 181},            13,   (271 1), {271},              3,    (17 5), {17},           181,      1000011111,     202010,    4133,   1404, 0,  3,  4,  4,   10,  16,  11,  14,  21,  16,  25,  10,          0
  32,   549, {3 61},             32,   (137 2), {137},             32,   (275 1), {5 11},          61,      1000100101,     202100,    4144,   1413, 0,  4,  3,  10,  3,   5,   17,  20,  27,  22,  31,  16,          0
   8,   555, {3 5 37},            3,   (277 1), {277},             13,   (139 2), {139},          185,      1000101011,     202120,    4210,   1422, 0,  0,  2,  5,   9,   11,  4,   3,   4,   28,  0,   22,          0
  13,   561, {3 11 17},           3,    (35 4), {5 7},             13,   (281 1), {281},          187,      1000110001,     202210,    4221,   1431, 0,  1,  1,  0,   2,   0,   10,  9,   10,  3,   6,   28,          0
  20,   567, {3 7},              20,   (283 1), {283},             37,    (71 3), {71},             7,      1000110111,     210000,    4232,   1440, 0,  2,  0,  6,   8,   6,   16,  15,  16,  9,   12,  34,          0
  37,   573, {3 191},            37,   (143 2), {11 13},           13,   (287 1), {7 41},         191,      1000111101,     210020,    4243,   1446, 0,  3,  6,  1,   1,   12,  3,   21,  22,  15,  18,  40,          0
   8,   579, {3 193},             8,   (289 1), {17},              42,   (145 2), {5 29},         193,      1001000011,     210110,    4304,   1455, 0,  4,  5,  7,   7,   1,   9,   4,   28,  21,  24,  5,           0
  18,   585, {3 5 13},           42,    (73 3), {73},              42,   (293 1), {293},           65,      1001001001,     210200,    4320,   1464, 0,  0,  4,  2,   0,   7,   15,  10,  5,   27,  30,  11,          0
  18,   591, {3 197},            18,   (295 1), {5 59},             6,    (37 4), {37},           197,      1001001111,     210220,    4331,   1503, 0,  1,  3,  8,   6,   13,  2,   16,  11,  2,   36,  17,          0
   6,   597, {3 199},             6,   (149 2), {149},             42,   (299 1), {13 23},        199,      1001010101,     211010,    4342,   1512, 0,  2,  2,  3,   12,  2,   8,   22,  17,  8,   5,   23,          0
  23,   603, {3 67},              3,   (301 1), {7 43},             3,   (151 2), {151},           67,      1001011011,     211100,    4403,   1521, 0,  3,  1,  9,   5,   8,   14,  5,   23,  14,  11,  29,          0
  47,   609, {3 7 29},            6,    (19 5), {19},              11,   (305 1), {5 61},         203,      1001100001,     211120,    4414,   1530, 0,  4,  0,  4,   11,  14,  1,   11,  0,   20,  17,  35,          0
  23,   615, {3 5 41},           11,   (307 1), {307},              6,    (77 3), {7 11},         205,      1001100111,     211210,    4430,   1536, 0,  0,  6,  10,  4,   3,   7,   17,  6,   26,  23,  0,           0
  30,   621, {3 23},             30,   (155 2), {5 31},            30,   (311 1), {311},           23,      1001101101,     212000,    4441,   1545, 0,  1,  5,  5,   10,  9,   13,  0,   12,  1,   29,  6,           0
  47,   627, {3 11 19},          47,   (313 1), {313},             11,   (157 2), {157},          209,      1001110011,     212020,   10002,   1554, 0,  2,  4,  0,   3,   15,  0,   6,   18,  7,   35,  12,          0
   8,   633, {3 211},            11,    (79 3), {79},              11,   (317 1), {317},          211,      1001111001,     212110,   10013,   1563, 0,  3,  3,  6,   9,   4,   6,   12,  24,  13,  4,   18,          0
  47,   639, {3 71},             18,   (319 1), {11 29},            1,     (5 7), {5},             71,      1001111111,     212200,   10024,   1602, 0,  4,  2,  1,   2,   10,  12,  18,  1,   19,  10,  24,          0
  35,   645, {3 5 43},           35,   (161 2), {7 23},            35,   (323 1), {17 19},        215,      1010000101,     212220,   10040,   1611, 0,  0,  1,  7,   8,   16,  18,  1,   7,   25,  16,  30,          0
  35,   651, {3 7 31},            6,   (325 1), {5 13},             6,   (163 2), {163},          217,      1010001011,     220010,   10101,   1620, 0,  1,  0,  2,   1,   5,   5,   7,   13,  0,   22,  36,          0
