# Natural order of prime factor sets

This is a list of the first 1000 integers in consecutive order. For every integer n:
- `oc` is the 2-adic "odd core" of the number, after removing all factors of 2. For odd numbers, oc is the number itself.
- `k` is the 2-adic exponent, the number of halvings (n = oc * 2^k). For odd numbers, k is always 0.
- `dist` is the odd-to-odd Collatz stopping distance of oc.
- ternary and binary representations of the oc are given.
- `factors` is a mask of the odd prime factor set of oc, where each bit represents a prime (3, 5, 7, etc)

The pattern of prime factors in integers is a cycle modulo the product of primes as you increment n. Call this the "natural" permutation, the one you get by simply adding 1. This transform is the only thing +1 knows how to do.

(The factor sets of the odd cores are shown for the even numbers below, but note that since they only differ by a power of 2, their odd prime factor mask is unchanged).

Successive numbers share no factors, which amounts to an information-preserving mechanism. The +1 operation is an invertible permutation over all prime factor rings of integers at once, which is a very complicated mapping, but it's also a cycle modulo the product of any subset of those rings, which makes things simple again if you don't care about the specific *order* of the permutation.

And we don't.

oc,k,dist,base3,base2,factors
411,0,48,120020,110011011,10000000000000000000000000000001
103,2,31,10211,1100111,00000000000000000000000001
413,0,31,120022,110011101,0010000000000001
207,1,31,21200,11001111,10000001
415,0,48,120101,110011111,0100000000000000000001
13,5,2,111,1101,00001
417,0,48,120110,110100001,100000000000000000000000000000001
209,1,12,21202,11010001,0001001
419,0,12,120112,110100011,00000000000000000000000000000000000000000000000000000000000000000000000000000001
105,2,12,10220,1101001,111
421,0,12,120121,110100101,000000000000000000000000000000000000000000000000000000000000000000000000000000001
211,1,12,21211,11010011,0000000000000000000000000000000000000000000001
423,0,9,120200,110100111,10000000000001
53,3,2,1222,110101,000000000000001
425,0,19,120202,110101001,010001
213,1,2,21220,11010101,1000000000000000001
427,0,17,120211,110101011,00100000000000001
107,2,36,10222,1101011,000000000000000000000000001
429,0,36,120220,110101101,10011
215,1,36,21222,11010111,0100000000001
431,0,12,120222,110101111,0000000000000000000000000000000000000000000000000000000000000000000000000000000001
27,4,41,1000,11011,1
433,0,7,121001,110110001,00000000000000000000000000000000000000000000000000000000000000000000000000000000001
217,1,7,22001,11011001,0010000001
435,0,7,121010,110110011,110000001
109,2,41,11001,1101101,0000000000000000000000000001
437,0,41,121012,110110101,00000011
219,1,17,22010,11011011,10000000000000000001
439,0,17,121021,110110111,000000000000000000000000000000000000000000000000000000000000000000000000000000000001
55,3,41,2001,110111,0101
441,0,7,121100,110111001,101
221,1,41,22012,11011101,000011
443,0,17,121102,110111011,0000000000000000000000000000000000000000000000000000000000000000000000000000000000001
111,2,24,11010,1101111,10000000001
445,0,24,121111,110111101,01000000000000000000001
223,1,24,22021,11011111,00000000000000000000000000000000000000000000001
447,0,34,121120,110111111,1000000000000000000000000000000001
7,6,5,21,111,001
449,0,41,121122,111000001,00000000000000000000000000000000000000000000000000000000000000000000000000000000000001
225,1,17,22100,11100001,11
451,0,17,121201,111000011,000100000001
113,2,2,11012,1110001,00000000000000000000000000001
453,0,2,121210,111000101,10000000000000000000000000000000001
227,1,2,22102,11100011,000000000000000000000000000000000000000000000001
455,0,12,121212,111000111,01101
57,3,10,2010,111001,1000001
457,0,46,121221,111001001,000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
229,1,10,22111,11100101,0000000000000000000000000000000000000000000000001
459,0,46,122000,111001011,100001
115,2,10,11021,1110011,01000001
461,0,10,122002,111001101,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
231,1,46,22120,11100111,1011
463,0,46,122011,111001111,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
29,4,5,1002,11101,000000001
