# `factorzig` the prime factors of n, indented by distance from the nearest prime
# `psym`      the symmetric primes at equal offsets around n

factorzig,          psym
  3⋅7⋅19,           [2 10 20 32 40 50 62 68]
 2⁴⋅5²,             [21 33 63 87]
401,                [18 42 48 90]
 2⋅3⋅67,            [19 29 55 65 85 89]
  13⋅31,            [6 30 36 54 96]
   2²⋅101,          [15 45 57 87]
    3⁴⋅5,           [4 16 26 38 52 56 58 74]
   2⋅7⋅29,          [27 33 57 93]
  11⋅37,            [24 54 60 96]
 2³⋅3⋅17,           [11 25 35 41 49 55 59 71]
409,                [12 30 78]
 2⋅5⋅41,            [9 21 51 57 93 99]
  3⋅137,            [10 22 28 32 38 52 80 98]
   2²⋅103,          [45 75]
    7⋅59,           [30 54 66 96]
     2⋅3²⋅23,       [5 17 25 35 47 65 77]
    5⋅83,           [6 18 42 48 84]
   2⁵⋅13,           [15 27 33 63]
  3⋅139,            [16 44 50 70 86]
 2⋅11⋅19,           [21 39 45 69 81]
419,                [30 60 72]
 2²⋅3⋅5⋅7,          [1 11 19 23 37 41 47 67]
421,                [12 42]
 2⋅211,             [21 39 69]
  3²⋅47,            [26 34 40 44 56 64 76 86]
   2³⋅53,           [15 75]
    5²⋅17,          [6 24 36 42 66 78]
     2⋅3⋅71,        [5 7 17 37 53 73 77 95]
    7⋅61,           [6 30 60 96]
   2²⋅107,          [39 75 81]
  3⋅11⋅13,          [10 20 28 32 50 62 70 80]
 2⋅5⋅43,            [9 33 57 93]
431,                [12 30 48 72 78]
 2⁴⋅3³,             [1 11 31 35 59]
433,                [24 54 66]
 2⋅7⋅31,            [15 33 45 75 87]
  3⋅5⋅29,           [4 14 26 52 56 68 86 88]
   2²⋅109,          [3 27 63 87]
  19⋅23,            [6 54 84]
 2⋅3⋅73,            [5 19 29 41 49 65 71 85]
439,                [18 60]
 2³⋅5⋅11,           [9 21 39 51 81]
  3²⋅7²,            [2 8 20 22 58 62 68 82]
 2⋅13⋅17,           [21 45]
443,                [24 60]
 2²⋅3⋅37,           [5 13 23 35 43 47 55 65]
  5⋅89,             [12 78 96]
   2⋅223,           [3 15 45 57 63]
  3⋅149,            [14 16 74 94 100]
 2⁶⋅7,              [9 15 39 51 75 99]
449,                [18 30 60]
 2⋅3²⋅5²,           [7 11 17 29 41 49 53 71]
  11⋅41,            [12 72]
   2²⋅113,          [9 51 69]
    3⋅151,          [4 10 14 34 56 70 94]
   2⋅227,           [33 45 87]
  5⋅7⋅13,           [6 12 24 36 54 66]
 2³⋅3⋅19,           [7 23 35 47 67]
457,                [84 90]
