# Root path traces

Here are some examples of the path taken by always following the odd core of the even neighbor with the lowest k value to the root of the tree (1).
The numbers in parentheses indicate the branch *not* taken at every step.
Some of these direct paths merge immediately, others after one or more steps.
That indicates any stopping time differentiation on the direct path has to be near the seed, as the end of the path is widely shared.

oc,k,dist,base3,base2,m3,m5,m7,m11,m13,m17,m19,m23,m29,m31,m37,m41,m43,m47,m53,m59,m61,m67,m71,m73,m79,m83,m89,m97,m101,m103,m107,m109,m113,m127

# Root path 31 -> 15(1) -> 7(1) -> 3(1) -> 1(1) -> 1

3,1,2,10,11,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3 # oc(5+1)

1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1 # oc(3-1)
3,,2,10,11,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3 # 3 (Collatz next is 5)
1,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1 # oc(3+1)

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 # oc(1-1)
1,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1 # 1
1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1 # oc(1+1)


# Root path 97 -> 49(3) -> 25(3) -> 13(3) -> 7(3) -> 3(1) -> 1(1) -> 1

3,5,2,10,11,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3 # oc(97-1)
97,,43,10121,1100001,1,2,6,9,6,12,2,5,10,4,23,15,11,3,44,38,36,30,26,24,18,14,8,0,97,97,97,97,97,97 # 97 (Collatz next is 73)
49,1,7,1211,110001,1,4,0,5,10,15,11,3,20,18,12,8,6,2,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49 # oc(97+1)

3,4,2,10,11,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3 # oc(49-1)
49,,7,1211,110001,1,4,0,5,10,15,11,3,20,18,12,8,6,2,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49 # 49 (Collatz next is 37)
25,1,7,221,11001,1,0,4,3,12,8,6,2,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25 # oc(49+1)

3,3,2,10,11,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3 # oc(25-1)
25,,7,221,11001,1,0,4,3,12,8,6,2,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25 # 25 (Collatz next is 19)
13,1,2,111,1101,1,3,6,2,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13 # oc(25+1)

3,2,2,10,11,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3 # oc(13-1)
13,,2,111,1101,1,3,6,2,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13 # 13 (Collatz next is 5)
