# `n`             a positive integer
# `factorization` the prime factorization of n, including exponents
# `m*`            the prime residues of n modulo a set of primes
# `primeness`     notes if n is a prime, prime power, radical, radical power, or primorial

    n, factorization, m3, m5, m7, m11, m13, m17, m19, m23, m29, m31, primeness
  328, 2³ 41,         1,  3,  6,  9,   3,   5,   5,   6,   9,   18,  
  329, 7 47,          2,  4,  0,  10,  4,   6,   6,   7,   10,  19,  radical
  330, 2 3 5 11,      0,  0,  1,  0,   5,   7,   7,   8,   11,  20,  radical
  331, 331,           1,  1,  2,  1,   6,   8,   8,   9,   12,  21,  prime
  332, 2² 83,         2,  2,  3,  2,   7,   9,   9,   10,  13,  22,  
  333, 3² 37,         0,  3,  4,  3,   8,   10,  10,  11,  14,  23,  
  334, 2 167,         1,  4,  5,  4,   9,   11,  11,  12,  15,  24,  radical
  335, 5 67,          2,  0,  6,  5,   10,  12,  12,  13,  16,  25,  radical
  336, 2⁴ 3 7,        0,  1,  0,  6,   11,  13,  13,  14,  17,  26,  
  337, 337,           1,  2,  1,  7,   12,  14,  14,  15,  18,  27,  prime
  338, 2 13²,         2,  3,  2,  8,   0,   15,  15,  16,  19,  28,  
  339, 3 113,         0,  4,  3,  9,   1,   16,  16,  17,  20,  29,  radical
  340, 2² 5 17,       1,  0,  4,  10,  2,   0,   17,  18,  21,  30,  
  341, 11 31,         2,  1,  5,  0,   3,   1,   18,  19,  22,  0,   radical
  342, 2 3² 19,       0,  2,  6,  1,   4,   2,   0,   20,  23,  1,   
  343, 7³,            1,  3,  0,  2,   5,   3,   1,   21,  24,  2,   prime power
  344, 2³ 43,         2,  4,  1,  3,   6,   4,   2,   22,  25,  3,   
  345, 3 5 23,        0,  0,  2,  4,   7,   5,   3,   0,   26,  4,   radical
  346, 2 173,         1,  1,  3,  5,   8,   6,   4,   1,   27,  5,   radical
  347, 347,           2,  2,  4,  6,   9,   7,   5,   2,   28,  6,   prime
  348, 2² 3 29,       0,  3,  5,  7,   10,  8,   6,   3,   0,   7,   
  349, 349,           1,  4,  6,  8,   11,  9,   7,   4,   1,   8,   prime
  350, 2 5² 7,        2,  0,  0,  9,   12,  10,  8,   5,   2,   9,   
  351, 3³ 13,         0,  1,  1,  10,  0,   11,  9,   6,   3,   10,  
  352, 2⁵ 11,         1,  2,  2,  0,   1,   12,  10,  7,   4,   11,  
  353, 353,           2,  3,  3,  1,   2,   13,  11,  8,   5,   12,  prime
  354, 2 3 59,        0,  4,  4,  2,   3,   14,  12,  9,   6,   13,  radical
  355, 5 71,          1,  0,  5,  3,   4,   15,  13,  10,  7,   14,  radical
  356, 2² 89,         2,  1,  6,  4,   5,   16,  14,  11,  8,   15,  
  357, 3 7 17,        0,  2,  0,  5,   6,   0,   15,  12,  9,   16,  radical
  358, 2 179,         1,  3,  1,  6,   7,   1,   16,  13,  10,  17,  radical
  359, 359,           2,  4,  2,  7,   8,   2,   17,  14,  11,  18,  prime
  360, 2³ 3² 5,       0,  0,  3,  8,   9,   3,   18,  15,  12,  19,  
  361, 19²,           1,  1,  4,  9,   10,  4,   0,   16,  13,  20,  prime power
  362, 2 181,         2,  2,  5,  10,  11,  5,   1,   17,  14,  21,  radical
  363, 3 11²,         0,  3,  6,  0,   12,  6,   2,   18,  15,  22,  
  364, 2² 7 13,       1,  4,  0,  1,   0,   7,   3,   19,  16,  23,  
  365, 5 73,          2,  0,  1,  2,   1,   8,   4,   20,  17,  24,  radical
  366, 2 3 61,        0,  1,  2,  3,   2,   9,   5,   21,  18,  25,  radical
  367, 367,           1,  2,  3,  4,   3,   10,  6,   22,  19,  26,  prime
  368, 2⁴ 23,         2,  3,  4,  5,   4,   11,  7,   0,   20,  27,  
  369, 3² 41,         0,  4,  5,  6,   5,   12,  8,   1,   21,  28,  
  370, 2 5 37,        1,  0,  6,  7,   6,   13,  9,   2,   22,  29,  radical
  371, 7 53,          2,  1,  0,  8,   7,   14,  10,  3,   23,  30,  radical
  372, 2² 3 31,       0,  2,  1,  9,   8,   15,  11,  4,   24,  0,   
  373, 373,           1,  3,  2,  10,  9,   16,  12,  5,   25,  1,   prime
  374, 2 11 17,       2,  4,  3,  0,   10,  0,   13,  6,   26,  2,   radical
  375, 3 5³,          0,  0,  4,  1,   11,  1,   14,  7,   27,  3,   
  376, 2³ 47,         1,  1,  5,  2,   12,  2,   15,  8,   28,  4,   
  377, 13 29,         2,  2,  6,  3,   0,   3,   16,  9,   0,   5,   radical
  378, 2 3³ 7,        0,  3,  0,  4,   1,   4,   17,  10,  1,   6,   
  379, 379,           1,  4,  1,  5,   2,   5,   18,  11,  2,   7,   prime
  380, 2² 5 19,       2,  0,  2,  6,   3,   6,   0,   12,  3,   8,   
  381, 3 127,         0,  1,  3,  7,   4,   7,   1,   13,  4,   9,   radical
  382, 2 191,         1,  2,  4,  8,   5,   8,   2,   14,  5,   10,  radical
  383, 383,           2,  3,  5,  9,   6,   9,   3,   15,  6,   11,  prime
  384, 2⁷ 3,          0,  4,  6,  10,  7,   10,  4,   16,  7,   12,  
  385, 5 7 11,        1,  0,  0,  0,   8,   11,  5,   17,  8,   13,  radical
  386, 2 193,         2,  1,  1,  1,   9,   12,  6,   18,  9,   14,  radical
  387, 3² 43,         0,  2,  2,  2,   10,  13,  7,   19,  10,  15,  
  388, 2² 97,         1,  3,  3,  3,   11,  14,  8,   20,  11,  16,  
  389, 389,           2,  4,  4,  4,   12,  15,  9,   21,  12,  17,  prime
  390, 2 3 5 13,      0,  0,  5,  5,   0,   16,  10,  22,  13,  18,  radical
  391, 17 23,         1,  1,  6,  6,   1,   0,   11,  0,   14,  19,  radical
  392, 2³ 7²,         2,  2,  0,  7,   2,   1,   12,  1,   15,  20,  
  393, 3 131,         0,  3,  1,  8,   3,   2,   13,  2,   16,  21,  radical
  394, 2 197,         1,  4,  2,  9,   4,   3,   14,  3,   17,  22,  radical
  395, 5 79,          2,  0,  3,  10,  5,   4,   15,  4,   18,  23,  radical
  396, 2² 3² 11,      0,  1,  4,  0,   6,   5,   16,  5,   19,  24,  
  397, 397,           1,  2,  5,  1,   7,   6,   17,  6,   20,  25,  prime
  398, 2 199,         2,  3,  6,  2,   8,   7,   18,  7,   21,  26,  radical
  399, 3 7 19,        0,  4,  0,  3,   9,   8,   0,   8,   22,  27,  radical
  400, 2⁴ 5²,         1,  0,  1,  4,   10,  9,   1,   9,   23,  28,  
  401, 401,           2,  1,  2,  5,   11,  10,  2,   10,  24,  29,  prime
  402, 2 3 67,        0,  2,  3,  6,   12,  11,  3,   11,  25,  30,  radical
  403, 13 31,         1,  3,  4,  7,   0,   12,  4,   12,  26,  0,   radical
  404, 2² 101,        2,  4,  5,  8,   1,   13,  5,   13,  27,  1,   
  405, 3⁴ 5,          0,  0,  6,  9,   2,   14,  6,   14,  28,  2,   
  406, 2 7 29,        1,  1,  0,  10,  3,   15,  7,   15,  0,   3,   radical
  407, 11 37,         2,  2,  1,  0,   4,   16,  8,   16,  1,   4,   radical
  408, 2³ 3 17,       0,  3,  2,  1,   5,   0,   9,   17,  2,   5,   
  409, 409,           1,  4,  3,  2,   6,   1,   10,  18,  3,   6,   prime
  410, 2 5 41,        2,  0,  4,  3,   7,   2,   11,  19,  4,   7,   radical
  411, 3 137,         0,  1,  5,  4,   8,   3,   12,  20,  5,   8,   radical
  412, 2² 103,        1,  2,  6,  5,   9,   4,   13,  21,  6,   9,   
  413, 7 59,          2,  3,  0,  6,   10,  5,   14,  22,  7,   10,  radical
  414, 2 3² 23,       0,  4,  1,  7,   11,  6,   15,  0,   8,   11,  
  415, 5 83,          1,  0,  2,  8,   12,  7,   16,  1,   9,   12,  radical
  416, 2⁵ 13,         2,  1,  3,  9,   0,   8,   17,  2,   10,  13,  
  417, 3 139,         0,  2,  4,  10,  1,   9,   18,  3,   11,  14,  radical
  418, 2 11 19,       1,  3,  5,  0,   2,   10,  0,   4,   12,  15,  radical
  419, 419,           2,  4,  6,  1,   3,   11,  1,   5,   13,  16,  prime
  420, 2² 3 5 7,      0,  0,  0,  2,   4,   12,  2,   6,   14,  17,  
  421, 421,           1,  1,  1,  3,   5,   13,  3,   7,   15,  18,  prime
  422, 2 211,         2,  2,  2,  4,   6,   14,  4,   8,   16,  19,  radical
  423, 3² 47,         0,  3,  3,  5,   7,   15,  5,   9,   17,  20,  
  424, 2³ 53,         1,  4,  4,  6,   8,   16,  6,   10,  18,  21,  
  425, 5² 17,         2,  0,  5,  7,   9,   0,   7,   11,  19,  22,  
  426, 2 3 71,        0,  1,  6,  8,   10,  1,   8,   12,  20,  23,  radical
  427, 7 61,          1,  2,  0,  9,   11,  2,   9,   13,  21,  24,  radical
  428, 2² 107,        2,  3,  1,  10,  12,  3,   10,  14,  22,  25,  
  429, 3 11 13,       0,  4,  2,  0,   0,   4,   11,  15,  23,  26,  radical
  430, 2 5 43,        1,  0,  3,  1,   1,   5,   12,  16,  24,  27,  radical
  431, 431,           2,  1,  4,  2,   2,   6,   13,  17,  25,  28,  prime
  432, 2⁴ 3³,         0,  2,  5,  3,   3,   7,   14,  18,  26,  29,  
  433, 433,           1,  3,  6,  4,   4,   8,   15,  19,  27,  30,  prime
  434, 2 7 31,        2,  4,  0,  5,   5,   9,   16,  20,  28,  0,   radical
  435, 3 5 29,        0,  0,  1,  6,   6,   10,  17,  21,  0,   1,   radical
  436, 2² 109,        1,  1,  2,  7,   7,   11,  18,  22,  1,   2,   
  437, 19 23,         2,  2,  3,  8,   8,   12,  0,   0,   2,   3,   radical
  438, 2 3 73,        0,  3,  4,  9,   9,   13,  1,   1,   3,   4,   radical
  439, 439,           1,  4,  5,  10,  10,  14,  2,   2,   4,   5,   prime
  440, 2³ 5 11,       2,  0,  6,  0,   11,  15,  3,   3,   5,   6,   
  441, 3² 7²,         0,  1,  0,  1,   12,  16,  4,   4,   6,   7,   radical power
  442, 2 13 17,       1,  2,  1,  2,   0,   0,   5,   5,   7,   8,   radical
  443, 443,           2,  3,  2,  3,   1,   1,   6,   6,   8,   9,   prime
  444, 2² 3 37,       0,  4,  3,  4,   2,   2,   7,   7,   9,   10,  
  445, 5 89,          1,  0,  4,  5,   3,   3,   8,   8,   10,  11,  radical
  446, 2 223,         2,  1,  5,  6,   4,   4,   9,   9,   11,  12,  radical
  447, 3 149,         0,  2,  6,  7,   5,   5,   10,  10,  12,  13,  radical
  448, 2⁶ 7,          1,  3,  0,  8,   6,   6,   11,  11,  13,  14,  
  449, 449,           2,  4,  1,  9,   7,   7,   12,  12,  14,  15,  prime
  450, 2 3² 5²,       0,  0,  2,  10,  8,   8,   13,  13,  15,  16,  
  451, 11 41,         1,  1,  3,  0,   9,   9,   14,  14,  16,  17,  radical
  452, 2² 113,        2,  2,  4,  1,   10,  10,  15,  15,  17,  18,  
  453, 3 151,         0,  3,  5,  2,   11,  11,  16,  16,  18,  19,  radical
  454, 2 227,         1,  4,  6,  3,   12,  12,  17,  17,  19,  20,  radical
  455, 5 7 13,        2,  0,  0,  4,   0,   13,  18,  18,  20,  21,  radical
  456, 2³ 3 19,       0,  1,  1,  5,   1,   14,  0,   19,  21,  22,  
  457, 457,           1,  2,  2,  6,   2,   15,  1,   20,  22,  23,  prime
  458, 2 229,         2,  3,  3,  7,   3,   16,  2,   21,  23,  24,  radical
  459, 3³ 17,         0,  4,  4,  8,   4,   0,   3,   22,  24,  25,  
  460, 2² 5 23,       1,  0,  5,  9,   5,   1,   4,   0,   25,  26,  
  461, 461,           2,  1,  6,  10,  6,   2,   5,   1,   26,  27,  prime
  462, 2 3 7 11,      0,  2,  0,  0,   7,   3,   6,   2,   27,  28,  radical
  463, 463,           1,  3,  1,  1,   8,   4,   7,   3,   28,  29,  prime
  464, 2⁴ 29,         2,  4,  2,  2,   9,   5,   8,   4,   0,   30,  
  465, 3 5 31,        0,  0,  3,  3,   10,  6,   9,   5,   1,   0,   radical
  466, 2 233,         1,  1,  4,  4,   11,  7,   10,  6,   2,   1,   radical
  467, 467,           2,  2,  5,  5,   12,  8,   11,  7,   3,   2,   prime
  468, 2² 3² 13,      0,  3,  6,  6,   0,   9,   12,  8,   4,   3,   
  469, 7 67,          1,  4,  0,  7,   1,   10,  13,  9,   5,   4,   radical
  470, 2 5 47,        2,  0,  1,  8,   2,   11,  14,  10,  6,   5,   radical
  471, 3 157,         0,  1,  2,  9,   3,   12,  15,  11,  7,   6,   radical
  472, 2³ 59,         1,  2,  3,  10,  4,   13,  16,  12,  8,   7,   
  473, 11 43,         2,  3,  4,  0,   5,   14,  17,  13,  9,   8,   radical
  474, 2 3 79,        0,  4,  5,  1,   6,   15,  18,  14,  10,  9,   radical
  475, 5² 19,         1,  0,  6,  2,   7,   16,  0,   15,  11,  10,  
  476, 2² 7 17,       2,  1,  0,  3,   8,   0,   1,   16,  12,  11,  
  477, 3² 53,         0,  2,  1,  4,   9,   1,   2,   17,  13,  12,  
  478, 2 239,         1,  3,  2,  5,   10,  2,   3,   18,  14,  13,  radical
  479, 479,           2,  4,  3,  6,   11,  3,   4,   19,  15,  14,  prime
  480, 2⁵ 3 5,        0,  0,  4,  7,   12,  4,   5,   20,  16,  15,  
  481, 13 37,         1,  1,  5,  8,   0,   5,   6,   21,  17,  16,  radical
  482, 2 241,         2,  2,  6,  9,   1,   6,   7,   22,  18,  17,  radical
  483, 3 7 23,        0,  3,  0,  10,  2,   7,   8,   0,   19,  18,  radical
  484, 2² 11²,        1,  4,  1,  0,   3,   8,   9,   1,   20,  19,  radical power
  485, 5 97,          2,  0,  2,  1,   4,   9,   10,  2,   21,  20,  radical
  486, 2 3⁵,          0,  1,  3,  2,   5,   10,  11,  3,   22,  21,  
  487, 487,           1,  2,  4,  3,   6,   11,  12,  4,   23,  22,  prime
  488, 2³ 61,         2,  3,  5,  4,   7,   12,  13,  5,   24,  23,  
  489, 3 163,         0,  4,  6,  5,   8,   13,  14,  6,   25,  24,  radical
  490, 2 5 7²,        1,  0,  0,  6,   9,   14,  15,  7,   26,  25,  
  491, 491,           2,  1,  1,  7,   10,  15,  16,  8,   27,  26,  prime
  492, 2² 3 41,       0,  2,  2,  8,   11,  16,  17,  9,   28,  27,  
  493, 17 29,         1,  3,  3,  9,   12,  0,   18,  10,  0,   28,  radical
  494, 2 13 19,       2,  4,  4,  10,  0,   1,   0,   11,  1,   29,  radical
  495, 3² 5 11,       0,  0,  5,  0,   1,   2,   1,   12,  2,   30,  
  496, 2⁴ 31,         1,  1,  6,  1,   2,   3,   2,   13,  3,   0,   
  497, 7 71,          2,  2,  0,  2,   3,   4,   3,   14,  4,   1,   radical
  498, 2 3 83,        0,  3,  1,  3,   4,   5,   4,   15,  5,   2,   radical
  499, 499,           1,  4,  2,  4,   5,   6,   5,   16,  6,   3,   prime
  500, 2² 5³,         2,  0,  3,  5,   6,   7,   6,   17,  7,   4,   
  501, 3 167,         0,  1,  4,  6,   7,   8,   7,   18,  8,   5,   radical
  502, 2 251,         1,  2,  5,  7,   8,   9,   8,   19,  9,   6,   radical
  503, 503,           2,  3,  6,  8,   9,   10,  9,   20,  10,  7,   prime
  504, 2³ 3² 7,       0,  4,  0,  9,   10,  11,  10,  21,  11,  8,   
  505, 5 101,         1,  0,  1,  10,  11,  12,  11,  22,  12,  9,   radical
  506, 2 11 23,       2,  1,  2,  0,   12,  13,  12,  0,   13,  10,  radical
  507, 3 13²,         0,  2,  3,  1,   0,   14,  13,  1,   14,  11,  
  508, 2² 127,        1,  3,  4,  2,   1,   15,  14,  2,   15,  12,  
  509, 509,           2,  4,  5,  3,   2,   16,  15,  3,   16,  13,  prime
  510, 2 3 5 17,      0,  0,  6,  4,   3,   0,   16,  4,   17,  14,  radical
  511, 7 73,          1,  1,  0,  5,   4,   1,   17,  5,   18,  15,  radical
  512, 2⁹,            2,  2,  1,  6,   5,   2,   18,  6,   19,  16,  prime power
  513, 3³ 19,         0,  3,  2,  7,   6,   3,   0,   7,   20,  17,  
  514, 2 257,         1,  4,  3,  8,   7,   4,   1,   8,   21,  18,  radical
  515, 5 103,         2,  0,  4,  9,   8,   5,   2,   9,   22,  19,  radical
  516, 2² 3 43,       0,  1,  5,  10,  9,   6,   3,   10,  23,  20,  
  517, 11 47,         1,  2,  6,  0,   10,  7,   4,   11,  24,  21,  radical
  518, 2 7 37,        2,  3,  0,  1,   11,  8,   5,   12,  25,  22,  radical
  519, 3 173,         0,  4,  1,  2,   12,  9,   6,   13,  26,  23,  radical
  520, 2³ 5 13,       1,  0,  2,  3,   0,   10,  7,   14,  27,  24,  
  521, 521,           2,  1,  3,  4,   1,   11,  8,   15,  28,  25,  prime
  522, 2 3² 29,       0,  2,  4,  5,   2,   12,  9,   16,  0,   26,  
  523, 523,           1,  3,  5,  6,   3,   13,  10,  17,  1,   27,  prime
  524, 2² 131,        2,  4,  6,  7,   4,   14,  11,  18,  2,   28,  
  525, 3 5² 7,        0,  0,  0,  8,   5,   15,  12,  19,  3,   29,  
  526, 2 263,         1,  1,  1,  9,   6,   16,  13,  20,  4,   30,  radical
  527, 17 31,         2,  2,  2,  10,  7,   0,   14,  21,  5,   0,   radical
  528, 2⁴ 3 11,       0,  3,  3,  0,   8,   1,   15,  22,  6,   1,   
  529, 23²,           1,  4,  4,  1,   9,   2,   16,  0,   7,   2,   prime power
  530, 2 5 53,        2,  0,  5,  2,   10,  3,   17,  1,   8,   3,   radical
  531, 3² 59,         0,  1,  6,  3,   11,  4,   18,  2,   9,   4,   
  532, 2² 7 19,       1,  2,  0,  4,   12,  5,   0,   3,   10,  5,   
  533, 13 41,         2,  3,  1,  5,   0,   6,   1,   4,   11,  6,   radical
  534, 2 3 89,        0,  4,  2,  6,   1,   7,   2,   5,   12,  7,   radical
  535, 5 107,         1,  0,  3,  7,   2,   8,   3,   6,   13,  8,   radical
  536, 2³ 67,         2,  1,  4,  8,   3,   9,   4,   7,   14,  9,   
  537, 3 179,         0,  2,  5,  9,   4,   10,  5,   8,   15,  10,  radical
  538, 2 269,         1,  3,  6,  10,  5,   11,  6,   9,   16,  11,  radical
  539, 7² 11,         2,  4,  0,  0,   6,   12,  7,   10,  17,  12,  
  540, 2² 3³ 5,       0,  0,  1,  1,   7,   13,  8,   11,  18,  13,  
  541, 541,           1,  1,  2,  2,   8,   14,  9,   12,  19,  14,  prime
  542, 2 271,         2,  2,  3,  3,   9,   15,  10,  13,  20,  15,  radical
  543, 3 181,         0,  3,  4,  4,   10,  16,  11,  14,  21,  16,  radical
  544, 2⁵ 17,         1,  4,  5,  5,   11,  0,   12,  15,  22,  17,  
  545, 5 109,         2,  0,  6,  6,   12,  1,   13,  16,  23,  18,  radical
  546, 2 3 7 13,      0,  1,  0,  7,   0,   2,   14,  17,  24,  19,  radical
  547, 547,           1,  2,  1,  8,   1,   3,   15,  18,  25,  20,  prime
  548, 2² 137,        2,  3,  2,  9,   2,   4,   16,  19,  26,  21,  
  549, 3² 61,         0,  4,  3,  10,  3,   5,   17,  20,  27,  22,  
  550, 2 5² 11,       1,  0,  4,  0,   4,   6,   18,  21,  28,  23,  
  551, 19 29,         2,  1,  5,  1,   5,   7,   0,   22,  0,   24,  radical
  552, 2³ 3 23,       0,  2,  6,  2,   6,   8,   1,   0,   1,   25,  
  553, 7 79,          1,  3,  0,  3,   7,   9,   2,   1,   2,   26,  radical
  554, 2 277,         2,  4,  1,  4,   8,   10,  3,   2,   3,   27,  radical
  555, 3 5 37,        0,  0,  2,  5,   9,   11,  4,   3,   4,   28,  radical
  556, 2² 139,        1,  1,  3,  6,   10,  12,  5,   4,   5,   29,  
  557, 557,           2,  2,  4,  7,   11,  13,  6,   5,   6,   30,  prime
  558, 2 3² 31,       0,  3,  5,  8,   12,  14,  7,   6,   7,   0,   
  559, 13 43,         1,  4,  6,  9,   0,   15,  8,   7,   8,   1,   radical
  560, 2⁴ 5 7,        2,  0,  0,  10,  1,   16,  9,   8,   9,   2,   
  561, 3 11 17,       0,  1,  1,  0,   2,   0,   10,  9,   10,  3,   radical
  562, 2 281,         1,  2,  2,  1,   3,   1,   11,  10,  11,  4,   radical
  563, 563,           2,  3,  3,  2,   4,   2,   12,  11,  12,  5,   prime
  564, 2² 3 47,       0,  4,  4,  3,   5,   3,   13,  12,  13,  6,   
  565, 5 113,         1,  0,  5,  4,   6,   4,   14,  13,  14,  7,   radical
  566, 2 283,         2,  1,  6,  5,   7,   5,   15,  14,  15,  8,   radical
  567, 3⁴ 7,          0,  2,  0,  6,   8,   6,   16,  15,  16,  9,   
  568, 2³ 71,         1,  3,  1,  7,   9,   7,   17,  16,  17,  10,  
  569, 569,           2,  4,  2,  8,   10,  8,   18,  17,  18,  11,  prime
  570, 2 3 5 19,      0,  0,  3,  9,   11,  9,   0,   18,  19,  12,  radical
  571, 571,           1,  1,  4,  10,  12,  10,  1,   19,  20,  13,  prime
  572, 2² 11 13,      2,  2,  5,  0,   0,   11,  2,   20,  21,  14,  
  573, 3 191,         0,  3,  6,  1,   1,   12,  3,   21,  22,  15,  radical
  574, 2 7 41,        1,  4,  0,  2,   2,   13,  4,   22,  23,  16,  radical
  575, 5² 23,         2,  0,  1,  3,   3,   14,  5,   0,   24,  17,  
  576, 2⁶ 3²,         0,  1,  2,  4,   4,   15,  6,   1,   25,  18,  
  577, 577,           1,  2,  3,  5,   5,   16,  7,   2,   26,  19,  prime
  578, 2 17²,         2,  3,  4,  6,   6,   0,   8,   3,   27,  20,  
  579, 3 193,         0,  4,  5,  7,   7,   1,   9,   4,   28,  21,  radical
  580, 2² 5 29,       1,  0,  6,  8,   8,   2,   10,  5,   0,   22,  
  581, 7 83,          2,  1,  0,  9,   9,   3,   11,  6,   1,   23,  radical
  582, 2 3 97,        0,  2,  1,  10,  10,  4,   12,  7,   2,   24,  radical
  583, 11 53,         1,  3,  2,  0,   11,  5,   13,  8,   3,   25,  radical
  584, 2³ 73,         2,  4,  3,  1,   12,  6,   14,  9,   4,   26,  
  585, 3² 5 13,       0,  0,  4,  2,   0,   7,   15,  10,  5,   27,  
  586, 2 293,         1,  1,  5,  3,   1,   8,   16,  11,  6,   28,  radical
  587, 587,           2,  2,  6,  4,   2,   9,   17,  12,  7,   29,  prime
  588, 2² 3 7²,       0,  3,  0,  5,   3,   10,  18,  13,  8,   30,  
  589, 19 31,         1,  4,  1,  6,   4,   11,  0,   14,  9,   0,   radical
  590, 2 5 59,        2,  0,  2,  7,   5,   12,  1,   15,  10,  1,   radical
  591, 3 197,         0,  1,  3,  8,   6,   13,  2,   16,  11,  2,   radical
  592, 2⁴ 37,         1,  2,  4,  9,   7,   14,  3,   17,  12,  3,   
  593, 593,           2,  3,  5,  10,  8,   15,  4,   18,  13,  4,   prime
  594, 2 3³ 11,       0,  4,  6,  0,   9,   16,  5,   19,  14,  5,   
  595, 5 7 17,        1,  0,  0,  1,   10,  0,   6,   20,  15,  6,   radical
  596, 2² 149,        2,  1,  1,  2,   11,  1,   7,   21,  16,  7,   
  597, 3 199,         0,  2,  2,  3,   12,  2,   8,   22,  17,  8,   radical
  598, 2 13 23,       1,  3,  3,  4,   0,   3,   9,   0,   18,  9,   radical
  599, 599,           2,  4,  4,  5,   1,   4,   10,  1,   19,  10,  prime
  600, 2³ 3 5²,       0,  0,  5,  6,   2,   5,   11,  2,   20,  11,  
  601, 601,           1,  1,  6,  7,   3,   6,   12,  3,   21,  12,  prime
  602, 2 7 43,        2,  2,  0,  8,   4,   7,   13,  4,   22,  13,  radical
  603, 3² 67,         0,  3,  1,  9,   5,   8,   14,  5,   23,  14,  
  604, 2² 151,        1,  4,  2,  10,  6,   9,   15,  6,   24,  15,  
  605, 5 11²,         2,  0,  3,  0,   7,   10,  16,  7,   25,  16,  
  606, 2 3 101,       0,  1,  4,  1,   8,   11,  17,  8,   26,  17,  radical
  607, 607,           1,  2,  5,  2,   9,   12,  18,  9,   27,  18,  prime
  608, 2⁵ 19,         2,  3,  6,  3,   10,  13,  0,   10,  28,  19,  
  609, 3 7 29,        0,  4,  0,  4,   11,  14,  1,   11,  0,   20,  radical
  610, 2 5 61,        1,  0,  1,  5,   12,  15,  2,   12,  1,   21,  radical
  611, 13 47,         2,  1,  2,  6,   0,   16,  3,   13,  2,   22,  radical
  612, 2² 3² 17,      0,  2,  3,  7,   1,   0,   4,   14,  3,   23,  
  613, 613,           1,  3,  4,  8,   2,   1,   5,   15,  4,   24,  prime
  614, 2 307,         2,  4,  5,  9,   3,   2,   6,   16,  5,   25,  radical
  615, 3 5 41,        0,  0,  6,  10,  4,   3,   7,   17,  6,   26,  radical
  616, 2³ 7 11,       1,  1,  0,  0,   5,   4,   8,   18,  7,   27,  
  617, 617,           2,  2,  1,  1,   6,   5,   9,   19,  8,   28,  prime
  618, 2 3 103,       0,  3,  2,  2,   7,   6,   10,  20,  9,   29,  radical
  619, 619,           1,  4,  3,  3,   8,   7,   11,  21,  10,  30,  prime
  620, 2² 5 31,       2,  0,  4,  4,   9,   8,   12,  22,  11,  0,   
  621, 3³ 23,         0,  1,  5,  5,   10,  9,   13,  0,   12,  1,   
  622, 2 311,         1,  2,  6,  6,   11,  10,  14,  1,   13,  2,   radical
  623, 7 89,          2,  3,  0,  7,   12,  11,  15,  2,   14,  3,   radical
  624, 2⁴ 3 13,       0,  4,  1,  8,   0,   12,  16,  3,   15,  4,   
  625, 5⁴,            1,  0,  2,  9,   1,   13,  17,  4,   16,  5,   prime power
  626, 2 313,         2,  1,  3,  10,  2,   14,  18,  5,   17,  6,   radical
  627, 3 11 19,       0,  2,  4,  0,   3,   15,  0,   6,   18,  7,   radical
  628, 2² 157,        1,  3,  5,  1,   4,   16,  1,   7,   19,  8,   
  629, 17 37,         2,  4,  6,  2,   5,   0,   2,   8,   20,  9,   radical
  630, 2 3² 5 7,      0,  0,  0,  3,   6,   1,   3,   9,   21,  10,  
  631, 631,           1,  1,  1,  4,   7,   2,   4,   10,  22,  11,  prime
  632, 2³ 79,         2,  2,  2,  5,   8,   3,   5,   11,  23,  12,  
  633, 3 211,         0,  3,  3,  6,   9,   4,   6,   12,  24,  13,  radical
  634, 2 317,         1,  4,  4,  7,   10,  5,   7,   13,  25,  14,  radical
  635, 5 127,         2,  0,  5,  8,   11,  6,   8,   14,  26,  15,  radical
  636, 2² 3 53,       0,  1,  6,  9,   12,  7,   9,   15,  27,  16,  
  637, 7² 13,         1,  2,  0,  10,  0,   8,   10,  16,  28,  17,  
  638, 2 11 29,       2,  3,  1,  0,   1,   9,   11,  17,  0,   18,  radical
  639, 3² 71,         0,  4,  2,  1,   2,   10,  12,  18,  1,   19,  
  640, 2⁷ 5,          1,  0,  3,  2,   3,   11,  13,  19,  2,   20,  
  641, 641,           2,  1,  4,  3,   4,   12,  14,  20,  3,   21,  prime
  642, 2 3 107,       0,  2,  5,  4,   5,   13,  15,  21,  4,   22,  radical
  643, 643,           1,  3,  6,  5,   6,   14,  16,  22,  5,   23,  prime
  644, 2² 7 23,       2,  4,  0,  6,   7,   15,  17,  0,   6,   24,  
  645, 3 5 43,        0,  0,  1,  7,   8,   16,  18,  1,   7,   25,  radical
  646, 2 17 19,       1,  1,  2,  8,   9,   0,   0,   2,   8,   26,  radical
  647, 647,           2,  2,  3,  9,   10,  1,   1,   3,   9,   27,  prime
  648, 2³ 3⁴,         0,  3,  4,  10,  11,  2,   2,   4,   10,  28,  
  649, 11 59,         1,  4,  5,  0,   12,  3,   3,   5,   11,  29,  radical
  650, 2 5² 13,       2,  0,  6,  1,   0,   4,   4,   6,   12,  30,  
  651, 3 7 31,        0,  1,  0,  2,   1,   5,   5,   7,   13,  0,   radical
  652, 2² 163,        1,  2,  1,  3,   2,   6,   6,   8,   14,  1,   
  653, 653,           2,  3,  2,  4,   3,   7,   7,   9,   15,  2,   prime
  654, 2 3 109,       0,  4,  3,  5,   4,   8,   8,   10,  16,  3,   radical
