# Orbit traces of odd numbers under 1000

Here is the same table printed 3 times:
- in order of ascending n 
- sorted by stopping distance, to group numbers with similar fates 
- sorted by orbit (backwards), to show where they merge

Many adjacent odd numbers have the same stopping time, but diverge for (usually 3 or 6) steps before joining. The intermediate steps are often strongly correlated (part of a chain of almost-doublings).

# `n`          a positive odd integer
# `base2`      the binary representation of n
# `base3`      the ternary representation of n
# `factors`    the prime factors of n
# `dist`       the number of odd-to-odd Collatz for n steps to reach 1
# `nl`         the odd core valuation of the even number to the left of odd n
# `ocldist`    the Collatz odd-to-odd distance of the odd core of n-1
# `nr`         the odd core valuation of the even number to the right of odd n
# `ocrdist`    the Collatz odd-to-odd distance of the odd core of n+1
# `orbit_back` the remaining orbit of n under the odd-to-odd Collatz map, bacwards from 1

n,   base2,      base3,   factors,   dist, nl,      ocldist, nr,      ocrdist, orbit_back
107, 1101011,    10222,   {107},     36,   (53 1),  2,       (27 2),  41,      1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 283<- 377<- 251<- 167<- 445<- 593<- 395<- 263<- 175<- 233<- 155<- 103<- 137<- 91<- 121<- 161<- 107
109, 1101101,    11001,   {109},     41,   (27 2),  41,      (55 1),  41,      1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 283<- 377<- 251<- 167<- 445<- 593<- 395<- 263<- 175<- 233<- 155<- 103<- 137<- 91<- 121<- 161<- 107<- 71<- 47<- 31<- 41<- 109
111, 1101111,    11010,   {3 37},    24,   (55 1),  41,      (7 4),   5,       1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 283<- 377<- 251<- 167<- 111
113, 1110001,    11012,   {113},     2,    (7 4),   5,       (57 1),  10,      1<- 85<- 113
115, 1110011,    11021,   {5 23},    10,   (57 1),  10,      (29 2),  5,       1<- 5<- 13<- 17<- 11<- 7<- 37<- 49<- 65<- 173<- 115
117, 1110101,    11100,   {3 13},    5,    (29 2),  5,       (59 1),  10,      1<- 5<- 13<- 17<- 11<- 117
119, 1110111,    11102,   {7 17},    10,   (59 1),  10,      (15 3),  5,       1<- 5<- 13<- 17<- 11<- 29<- 19<- 101<- 269<- 179<- 119
121, 1111001,    11111,   {11},      34,   (15 3),  5,       (61 1),  5,       1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 283<- 377<- 251<- 167<- 445<- 593<- 395<- 263<- 175<- 233<- 155<- 103<- 137<- 91<- 121
123, 1111011,    11120,   {3 41},    15,   (61 1),  5,       (31 2),  39,      1<- 5<- 13<- 17<- 11<- 29<- 19<- 101<- 67<- 89<- 59<- 157<- 209<- 139<- 185<- 123
125, 1111101,    11122,   {5},       39,   (31 2),  39,      (63 1),  39,      1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 283<- 377<- 251<- 167<- 445<- 593<- 395<- 263<- 175<- 233<- 155<- 103<- 137<- 91<- 121<- 161<- 107<- 71<- 47<- 125
