n,k,oc,m3,m5,m7,m11,m13,m17,m19,m23,m29,m31,m37,m41,m43,m47,m53,m59,m61,m67,m71,m73
161,0,161,2,1,0,7,5,8,9,0,16,6,13,38,32,20,2,43,39,27,19,15
162,1,81,0,1,4,4,3,13,5,12,23,19,7,40,38,34,28,22,20,14,10,8
163,0,163,1,3,2,9,7,10,11,2,18,8,15,40,34,22,4,45,41,29,21,17
164,2,41,2,1,6,8,2,7,3,18,12,10,4,0,41,41,41,41,41,41,41,41
165,0,165,0,0,4,0,9,12,13,4,20,10,17,1,36,24,6,47,43,31,23,19
166,1,83,2,3,6,6,5,15,7,14,25,21,9,1,40,36,30,24,22,16,12,10
167,0,167,2,2,6,2,11,14,15,6,22,12,19,3,38,26,8,49,45,33,25,21
168,3,21,0,1,0,10,8,4,2,21,21,21,21,21,21,21,21,21,21,21,21,21
169,0,169,1,4,1,4,0,16,17,8,24,14,21,5,40,28,10,51,47,35,27,23
170,1,85,1,0,1,8,7,0,9,16,27,23,11,3,42,38,32,26,24,18,14,12
171,0,171,0,1,3,6,2,1,0,10,26,16,23,7,42,30,12,53,49,37,29,25
172,2,43,1,3,1,10,4,9,5,20,14,12,6,2,0,43,43,43,43,43,43,43
173,0,173,2,3,5,8,4,3,2,12,28,18,25,9,1,32,14,55,51,39,31,27
174,1,87,0,2,3,10,9,2,11,18,0,25,13,5,1,40,34,28,26,20,16,14
175,0,175,1,0,0,10,6,5,4,14,1,20,27,11,3,34,16,57,53,41,33,29
176,4,11,2,1,4,0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
177,0,177,0,2,2,1,8,7,6,16,3,22,29,13,5,36,18,0,55,43,35,31
178,1,89,2,4,5,1,11,4,13,20,2,27,15,7,3,42,36,30,28,22,18,16
179,0,179,2,4,4,3,10,9,8,18,5,24,31,15,7,38,20,2,57,45,37,33
180,2,45,0,0,3,1,6,11,7,22,16,14,8,4,2,45,45,45,45,45,45,45
181,0,181,1,1,6,5,12,11,10,20,7,26,33,17,9,40,22,4,59,47,39,35
182,1,91,1,1,0,3,0,6,15,22,4,29,17,9,5,44,38,32,30,24,20,18
183,0,183,0,3,1,7,1,13,12,22,9,28,35,19,11,42,24,6,0,49,41,37
184,3,23,2,3,2,1,10,6,4,0,23,23,23,23,23,23,23,23,23,23,23,23
185,0,185,2,0,3,9,3,15,14,1,11,30,0,21,13,44,26,8,2,51,43,39
186,1,93,0,3,2,5,2,8,17,1,6,0,19,11,7,46,40,34,32,26,22,20
187,0,187,1,2,5,0,5,0,16,3,13,1,2,23,15,46,28,10,4,53,45,41
188,2,47,2,2,5,3,8,13,9,1,18,16,10,6,4,0,47,47,47,47,47,47
189,0,189,0,4,0,2,7,2,18,5,15,3,4,25,17,1,30,12,6,55,47,43
190,1,95,2,0,4,7,4,10,0,3,8,2,21,13,9,1,42,36,34,28,24,22
