# Twin prime centers up to 10000

# `n`       a positive even integer sitting between two prime numbers
# `base3`   the ternary representation of n
# `symbol3` symbolic representation of the ternary encoding of n (1 = "░", 2 = "▒", 3 = "█")
# `base2`   the binary representation of n
# `symbol2` symbolic representation of the binary encoding of n (1 = "░", 2 = "█")
# `factors` the prime factors of n

    n,      base3,    symbol3,           base2,         symbol2, factors
 6570,  100000100,  ▒░░░░░▒░░,   1100110101010,   ██░░██░█░█░█░, {2 3 5 73}
 6660,  100010200,  ▒░░░▒░█░░,   1101000000100,   ██░█░░░░░░█░░, {2 3 5 37}
 6690,  100011210,  ▒░░░▒▒█▒░,   1101000100010,   ██░█░░░█░░░█░, {2 3 5 223}
 6702,  100012020,  ▒░░░▒█░█░,   1101000101110,   ██░█░░░█░███░, {2 3 1117}
 6762,  100021110,  ▒░░░█▒▒▒░,   1101001101010,   ██░█░░██░█░█░, {2 3 7 23}
 6780,  100022010,  ▒░░░██░▒░,   1101001111100,   ██░█░░█████░░, {2 3 5 113}
 6792,  100022120,  ▒░░░██▒█░,   1101010001000,   ██░█░█░░░█░░░, {2 3 283}
 6828,  100100220,  ▒░░▒░░██░,   1101010101100,   ██░█░█░█░██░░, {2 3 569}
 6870,  100102110,  ▒░░▒░█▒▒░,   1101011010110,   ██░█░██░█░██░, {2 3 5 229}
 6948,  100112100,  ▒░░▒▒█▒░░,   1101100100100,   ██░██░░█░░█░░, {2 3 193}
 6960,  100112210,  ▒░░▒▒██▒░,   1101100110000,   ██░██░░██░░░░, {2 3 5 29}
 7128,  100210000,  ▒░░█▒░░░░,   1101111011000,   ██░████░██░░░, {2 3 11}
 7212,  100220010,  ▒░░██░░▒░,   1110000101100,   ███░░░░█░██░░, {2 3 601}
 7308,  101000200,  ▒░▒░░░█░░,   1110010001100,   ███░░█░░░██░░, {2 3 7 29}
 7332,  101001120,  ▒░▒░░▒▒█░,   1110010100100,   ███░░█░█░░█░░, {2 3 13 47}
 7350,  101002020,  ▒░▒░░█░█░,   1110010110110,   ███░░█░██░██░, {2 3 5 7}
 7458,  101020020,  ▒░▒░█░░█░,   1110100100010,   ███░█░░█░░░█░, {2 3 11 113}
 7488,  101021100,  ▒░▒░█▒▒░░,   1110101000000,   ███░█░█░░░░░░, {2 3 13}
 7548,  101100120,  ▒░▒▒░░▒█░,   1110101111100,   ███░█░█████░░, {2 3 17 37}
 7560,  101101000,  ▒░▒▒░▒░░░,   1110110001000,   ███░██░░░█░░░, {2 3 5 7}
 7590,  101102010,  ▒░▒▒░█░▒░,   1110110100110,   ███░██░█░░██░, {2 3 5 11 23}
