# `factorzig` the prime factors of n, indented by distance from the nearest prime
# `psym`      the symmetric primes at equal offsets around n

factorzig,                     psym
   2⋅4021,                     []
    3⋅7⋅383,                   [26 50 80]
     2²⋅2011,                  []
      5⋅1609,                  [36]
       2⋅3³⋅149,               [7 35]
      13⋅619,                  [54]
     2⁴⋅503,                   [39 99]
    3⋅2683,                    [10 32 38 40 98]
   2⋅5²⋅7⋅23,                  [39]
  83⋅97,                       [42]
 2²⋅3⋅11⋅61,                   [35 41 59]
8053,                          [36]
 2⋅4027,                       [15]
  3²⋅5⋅179,                    [38 46 62 92]
   2³⋅19⋅53,                   [3 45]
  7⋅1151,                      []
 2⋅3⋅17⋅79,                    [65]
8059,                          [42]
 2²⋅5⋅13⋅31,                   [21 51]
  3⋅2687,                      [8 50]
   2⋅29⋅139,                   [99]
    11⋅733,                    [24 54]
     2⁷⋅3²⋅7,                  [5 25 47 53]
    5⋅1613,                    []
   2⋅37⋅109,                   [27 57]
  3⋅2689,                      [14 50 56]
 2²⋅2017,                      []
8069,                          []
 2⋅3⋅5⋅269,                    [11 17 31 53 77]
  7⋅1153,                      [18]
   2³⋅1009,                    []
    3³⋅13⋅23,                  [14 20]
     2⋅11⋅367,                 [15]
      5²⋅17⋅19,                [6 36]
     2²⋅3⋅673,                 [17]
    41⋅197,                    [24 84]
   2⋅7⋅577,                    [9 39 69]
  3⋅2693,                      [10 68]
 2⁴⋅5⋅101,                     [21 87]
8081,                          [12 42]
 2⋅3²⋅449,                     [29 65 89]
  59⋅137,                      []
   2²⋅43⋅47,                   [3]
  3⋅5⋅7²⋅11,                   [4 16 26 32 76]
 2⋅13⋅311,                     [75 93]
8087,                          [6]
 2³⋅3⋅337,                     [1 29 35 79]
8089,                          [72 78]
 2⋅5⋅809,                      [3 21 81]
  3²⋅29⋅31,                    [2 10 32 80]
 2²⋅7⋅17²,                     [75 99]
8093,                          [24 54]
 2⋅3⋅19⋅71,                    [7 77 85]
  5⋅1619,                      [6 84]
   2⁵⋅11⋅23,                   [15 27]
    3⋅2699,                    [4]
   2⋅4049,                     [81]
  7⋅13⋅89,                     [12 18]
 2²⋅3⁴⋅5²,                     [11 47 61 91]
8101,                          [90]
 2⋅4051,                       [9 15 21]
  3⋅37⋅73,                     [14 44 64]
   2³⋅1013,                    [87]
    5⋅1621,                    [12 18 66]
     2⋅3⋅7⋅193,                [5 17]
    11²⋅67,                    [54]
   2²⋅2027,                    [15 39]
  3²⋅17⋅53,                    [8 70 100]
 2⋅5⋅811,                      [51 57 99]
8111,                          []
 2⁴⋅3⋅13²,                     [11 59]
  7⋅19⋅61,                     [54 96]
   2⋅4057,                     [3 33]
  3⋅5⋅541,                     [46 56 76]
 2²⋅2029,                      [63]
8117,                          [6 30]
 2⋅3²⋅11⋅41,                   [29 49]
  23⋅353,                      [60]
   2³⋅5⋅7⋅29,                  [3 27 51]
  3⋅2707,                      [40]
 2⋅31⋅131,                     [69]
8123,                          []
 2²⋅3⋅677,                     [23 37 43 55 85]
  5⁴⋅13,                       [36 66]
   2⋅17⋅239,                   [45]
    3³⋅7⋅43,                   [34 40]
     2⁶⋅127,                   [39]
      11⋅739,                  [18 42 90]
       2⋅3⋅5⋅271,              [37 41 49 61 91]
        47⋅173,                [30 78]
         2²⋅19⋅107,            [15 39]
          3⋅2711,              [46]
           2⋅7²⋅83,            [33 45 75]
            5⋅1627,            [12 96]
           2³⋅3²⋅113,          [25 35 43 55 83 97]
          79⋅103,              [84]
         2⋅13⋅313,             [99]
        3⋅2713,                [22 28 52 70 80]
       2²⋅5⋅11⋅37,             [39 51 81]
      7⋅1163,                  [30]
     2⋅3⋅23⋅59,                [19 25 49 89]
    17⋅479,                    [90]
   2⁴⋅509,                     [27 75]
  3²⋅5⋅181,                    [22 34 64 76 86 92]
 2⋅4073,                       [45 87]
8147,                          [24]
 2²⋅3⋅7⋅97,                    [31 61 89 95]
  29⋅281,                      [60]
   2⋅5²⋅163,                   [69 81]
    3⋅11⋅13⋅19,                [28 40 58 70 82 92]
     2³⋅1019,                  []
      31⋅263,                  [66 84]
       2⋅3³⋅151,               [7 37 65 67]
      5⋅7⋅233,                 [54 66]
     2²⋅2039,                  [63 75 87]
    3⋅2719,                    [10 34 64 76]
   2⋅4079,                     []
  41⋅199,                      [12 72 78]
 2⁵⋅3⋅5⋅17,                    [49 59 71 73]
8161,                          [60 72]
 2⋅7⋅11⋅53,                    [69 75 81]
  3²⋅907,                      [16 46 70 74]
   2²⋅13⋅157,                  [3]
  5⋅23⋅71,                     [54 72 78]
 2⋅3⋅1361,                     [5 43 55 65 77 97]
8167,                          [66]
 2³⋅1021,                      [51 75]
  3⋅7⋅389,                     [2 22 52 68 100]
 2⋅5⋅19⋅43,                    [9]
8171,                          [48 60]
 2²⋅3²⋅227,                    [49 61 71 91]
  11⋅743,                      [6]
   2⋅61⋅67,                    [57 63]
    3⋅5²⋅109,                  [4 58 88 94]
   2⁴⋅7⋅73,                    [15 87]
  13⋅17⋅37,                    [54 60 66 96]
 2⋅3⋅29⋅47,                    [31 55 85 91]
8179,                          [12 90]
 2²⋅5⋅409,                     [57 63 93]
  3⁴⋅101,                      [10 88 92]
   2⋅4091,                     [81]
    7²⋅167,                    [36 60 90]
     2³⋅3⋅11⋅31,               [37]
      5⋅1637,                  [6 24 84]
     2⋅4093,                   []
    3⋅2729,                    [76 86 100]
   2²⋅23⋅89,                   [21 99]
  19⋅431,                      [42]
 2⋅3²⋅5⋅7⋅13,                  [19 29 43 73 79 97]
8191,                          [30]
 2¹³,                          [45 81 99]
  3⋅2731,                      [26 70 76 100]
   2⋅17⋅241,                   [15 27 93]
    5⋅11⋅149,                  [24 48 78]
     2²⋅3⋅683,                 [25 35 73 95]
      7⋅1171,                  [36 96]
       2⋅4099,                 [75]
        3²⋅911,                [20 32 38 88 98]
         2³⋅5²⋅41,             [9 21 33]
        59⋅139,                [30 90]
       2⋅3⋅1367,               [31 35 41 85 91]
      13⋅631,                  []
     2²⋅7⋅293,                 [33 87 93]
    3⋅5⋅547,                   [14 26 38 58 82 88]
   2⋅11⋅373,                   [15 27]
  29⋅283,                      [36 84 90]
 2⁴⋅3³⋅19,                     [29 61 85]
8209,                          []
 2⋅5⋅821,                      [63 87]
  3⋅7⋅17⋅23,                   [20 32 100]
   2²⋅2053,                    [21 51]
    43⋅191,                    []
     2⋅3⋅37²,                  [5 23 97]
    5⋅31⋅53,                   [6 48 54]
   2³⋅13⋅79,                   []
  3²⋅11⋅83,                    [26 46 56 70 94 100]
 2⋅7⋅587,                      [51]
8219,                          [72]
 2²⋅3⋅5⋅137,                   [1 11 49 53 73 97]
8221,                          [12 42]
 2⋅4111,                       [51 75]
  3⋅2741,                      [14]
   2⁵⋅257,                     [45 63]
    5²⋅7⋅47,                   [6]
     2⋅3²⋅457,                 [5 7 17 47 65]
    19⋅433,                    [6 36 60 66]
   2²⋅11²⋅17,                  [9]
  3⋅13⋅211,                    [8 58 62 68 82]
 2⋅5⋅823,                      [39 63]
8231,                          [12 60]
 2³⋅3⋅7³,                      [1 11 41 61 65 85]
8233,                          [54]
 2⋅23⋅179,                     [3 63]
  3³⋅5⋅61,                     [2 56]
 2²⋅29⋅71,                     [27 57 75]
8237,                          [6]
 2⋅3⋅1373,                     [5 59 91]
  7⋅11⋅107,                    [30 48 72 78]
   2⁴⋅5⋅103,                   [3]
  3⋅41⋅67,                     [22 32 50 70]
 2⋅13⋅317,                     [21 51 75]
8243,                          []
 2²⋅3²⋅229,                    [25 53 73]
  5⋅17⋅97,                     [24 66 84]
   2⋅7⋅19⋅31,                  [27]
    3⋅2749,                    [16 26]
     2³⋅1031,                  [15 39 69 81]
      73⋅113,                  []
       2⋅3⋅5³⋅11,              [13 19 41 79]
        37⋅223,                [18 42 60]
         2²⋅2063,              [21]
          3²⋅7⋅131,            [10 16 20 34 44]
         2⋅4127,               [33 63 75]
        5⋅13⋅127,              [18 36]
       2⁶⋅3⋅43,                [13 35 37]
      23⋅359,                  [36 96]
     2⋅4129,                   [15 39]
    3⋅2753,                    [28 38]
   2²⋅5⋅7⋅59,                  [27 51 69 93]
  11⋅751,                      [30]
 2⋅3⁵⋅17,                      [25 29 31 91]
8263,                          [30 54]
 2³⋅1033,                      [27 33]
  3⋅5⋅19⋅29,                   [22 28 32 46 98]
   2⋅4133,                     [3 45 87]
  7⋅1181,                      [24 30 96]
 2²⋅3⋅13⋅53,                   [5 25 49]
8269,                          [48 60]
 2⋅5⋅827,                      [27 99]
  3²⋅919,                      [2 40 92]
 2⁴⋅11⋅47,                     [39 81]
8273,                          []
 2⋅3⋅7⋅197,                    [37 43 55 95]
  5²⋅331,                      [12 42 54]
   2²⋅2069,                    []
    3⋅31⋅89,                   [14 34 40 86]
     2⋅4139,                   [9 15 99]
      17⋅487,                  []
       2³⋅3²⋅5⋅23,             [7 11 17 37 49 89]
      7²⋅13²,                  [12 48 72]
     2⋅41⋅101,                 [9]
    3⋅11⋅251,                  [10 14 46]
   2²⋅19⋅109,                  [93]
  5⋅1657,                      [12]
 2⋅3⋅1381,                     [43 67 77]
8287,                          [24 66]
 2⁵⋅7⋅37,                      []
  3³⋅307,                      [2 80 98]
 2⋅5⋅829,                      [3 21 27 99]
8291,                          [72]
 2²⋅3⋅691,                     [1 5 19 61 71]
8293,                          [24 60 84]
 2⋅11⋅13⋅29,                   [3 75]
  3⋅5⋅7⋅79,                    [2 22 58 74]
 2³⋅17⋅61,                     [33]
8297,                          [66]
 2⋅3²⋅461,                     [55 65 79 89]
  43⋅193,                      [12 30 78 90]
   2²⋅5²⋅83,                   [63 69]
    3⋅2767,                    [10 28 68]
     2⋅7⋅593,                  [9 15]
      19²⋅23,                  [60 66 84]
       2⁴⋅3⋅173,               [7 13 73 83 85]
      5⋅11⋅151,                [12 72 84]
     2⋅4153,                   [63]
    3²⋅13⋅71,                  [10 70]
   2²⋅31⋅67,                   [21 45]
  7⋅1187,                      [78]
 2⋅3⋅5⋅277,                    [19 67 77 79]
8311,                          [18 42 78]
 2³⋅1039,                      [75]
  3⋅17⋅163,                    [16 40 50 76]
   2⋅4157,                     [3]
  5⋅1663,                      [72]
 2²⋅3³⋅7⋅11,                   [47 53 73]
8317,                          []
 2⋅4159,                       [45]
  3⋅47⋅59,                     [50 100]
   2⁷⋅5⋅13,                    [9 33 57 99]
    53⋅157,                    [48]
     2⋅3⋅19⋅73,                [31]
      7⋅29⋅41,                 [6 30 54]
     2²⋅2081,                  []
    3²⋅5²⋅37,                  [28 38 52 62 94]
   2⋅23⋅181,                   [63 93]
  11⋅757,                      [36 96]
 2³⋅3⋅347,                     [35 41 59 91 95]
8329,                          [60]
 2⋅5⋅7²⋅17,                    [33 39 57 93 99]
  3⋅2777,                      [38 58 88 98 100]
   2²⋅2083,                    [21 45 99]
    13⋅641,                    [36 90 96]
     2⋅3²⋅463,                 [43 97]
      5⋅1667,                  [18 42]
       2⁴⋅521,                 [93]
        3⋅7⋅397,               [26 40 50 94]
         2⋅11⋅379,             [51]
          31⋅269,              [48]
           2²⋅3⋅5⋅139,         [23 29 47 49]
            19⋅439,            [12 48 78]
           2⋅43⋅97,            [45]
          3⁴⋅103,              [26 46 80 100]
         2³⋅7⋅149,             [33 75]
        5⋅1669,                []
       2⋅3⋅13⋅107,             [17 73 77 83]
      17⋅491,                  [30 84]
     2²⋅2087,                  [75]
    3⋅11²⋅23,                  [20 38 80]
   2⋅5²⋅167,                   [39 81]
  7⋅1193,                      [78]
 2⁵⋅3²⋅29,                     [35 79]
8353,                          [24 36 66 90]
 2⋅4177,                       []
  3⋅5⋅557,                     [64 68 92]
   2²⋅2089,                    [63 87]
    61⋅137,                    [66]
     2⋅3⋅7⋅199,                [5 29 61 65 71 85 89]
    13⋅643,                    [30 72]
   2³⋅5⋅11⋅19,                 [63 69 87]
  3²⋅929,                      [8 68 70]
 2⋅37⋅113,                     [69 99]
8363,                          [66]
 2²⋅3⋅17⋅41,                   [67]
  5⋅7⋅239,                     [12 54 78 96]
   2⋅47⋅89,                    [3]
  3⋅2789,                      [56 76 80 94]
 2⁴⋅523,                       [51 75 99]
8369,                          [78]
 2⋅3³⋅5⋅31,                    [7 17 53 59 73 77 97]
  11⋅761,                      [18 60]
   2²⋅7⋅13⋅23,                 [75]
    3⋅2791,                    [4 56]
   2⋅53⋅79,                    [45 57 87]
  5³⋅67,                       [12]
 2³⋅3⋅349,                     [13 47 85]
8377,                          [66 84 90]
 2⋅59⋅71,                      [9]
  3²⋅7²⋅19,                    [10 50 68 82 88]
   2²⋅5⋅419,                   [51 63 87]
    17²⋅29,                    []
     2⋅3⋅11⋅127,               [5 65 85]
    83⋅101,                    [6]
   2⁶⋅131,                     []
  3⋅5⋅13⋅43,                   []
 2⋅7⋅599,                      [33 57 75]
8387,                          []
 2²⋅3²⋅233,                    [1 35 59]
8389,                          [72 78]
 2⋅5⋅839,                      []
  3⋅2797,                      [28 38]
   2³⋅1049,                    [39 75]
    7⋅11⋅109,                  [30]
     2⋅3⋅1399,                 [25]
      5⋅23⋅73,                 [66]
       2²⋅2099,                [27 33]
        3³⋅311,                [34]
         2⋅13⋅17⋅19,           [21 45 69]
          37⋅227,              [30]
           2⁴⋅3⋅5²⋅7,          [23 31 47]
            31⋅271,            []
             2⋅4201,           []
              3⋅2801,          [16 26 40]
               2²⋅11⋅191,      [15 27]
              5⋅41²,           [18 42]
             2⋅3²⋅467,         [17 37 95]
            7⋅1201,            [54]
           2³⋅1051,            [21 39]
          3⋅2803,              [20 22 92]
         2⋅5⋅29²,              [21 33 57]
        13⋅647,                []
       2²⋅3⋅701,               [35 49]
      47⋅179,                  []
     2⋅7⋅601,                  []
    3²⋅5⋅11⋅17,                [28 46 52 86 98]
   2⁵⋅263,                     [27]
  19⋅443,                      [30]
 2⋅3⋅23⋅61,                    [29 49]
8419,                          [42]
 2²⋅5⋅421,                     []
  3⋅7⋅401,                     [2 92]
 2⋅4211,                       [45]
8423,                          []
 2³⋅3⁴⋅13,                     [5 37]
  5²⋅337,                      [6 36 96]
   2⋅11⋅383,                   [3]
  3⋅53²,                       [4 40 74]
 2²⋅7²⋅43,                     [39 99]
8429,                          []
 2⋅3⋅5⋅281,                    [1]
8431,                          [12]
 2⁴⋅17⋅31,                     [69]
  3²⋅937,                      [10 14 80]
   2⋅4217,                     []
    5⋅7⋅241,                   [12 66]
     2²⋅3⋅19⋅37,               [7]
      11⋅13⋅59,                [6 84]
     2⋅4219,                   [9 75]
    3⋅29⋅97,                   [8 62]
   2³⋅5⋅211,                   [21 87]
  23⋅367,                      [72]
 2⋅3²⋅7⋅67,                    [19 79]
8443,                          [24]
 2²⋅2111,                      [57]
  3⋅5⋅563,                     [2 16 22 56 68 76 82 92]
 2⋅41⋅103,                     [15 93]
8447,                          []
 2⁸⋅3⋅11,                      [19 79 95]
  7⋅17⋅71,                     [18 72]
   2⋅5²⋅13²,                   [63 87]
    3³⋅313,                    [62 88]
     2²⋅2113,                  [9 75]
      79⋅107,                  [84 90]
       2⋅3⋅1409,               [7 67 85]
      5⋅19⋅89,                 [12 66]
     2³⋅7⋅151,                 [87]
    3⋅2819,                    [10 70 80]
   2⋅4229,                     [69 81]
  11⋅769,                      []
 2²⋅3²⋅5⋅47,                   [41 83]
8461,                          []
 2⋅4231,                       [39 75]
  3⋅7⋅13⋅31,                   [74 76 100]
   2⁴⋅23²,                     [3 75]
  5⋅1693,                      [36 78]
 2⋅3⋅17⋅83,                    [35 47 77 97]
8467,                          []
 2²⋅29⋅73,                     [45]
  3²⋅941,                      []
   2⋅5⋅7⋅11²,                  [51 93]
    43⋅197,                    [42]
     2³⋅3⋅353,                 [29 41 49]
      37⋅229,                  [54]
       2⋅19⋅223,               [27]
        3⋅5²⋅113,              [46 52 88 98]
         2²⋅13⋅163,            [45 87]
          7²⋅173,              []
           2⋅3³⋅157,           [35 49 59]
            61⋅139,            [48 60]
             2⁵⋅5⋅53,          [33 57 93]
              3⋅11⋅257,        [20 58 62 92]
               2⋅4241,         [39]
                17⋅499,        [54 60]
                 2²⋅3⋅7⋅101,   [17 37 53 55 97]
                5⋅1697,        [42 54 96]
               2⋅4243,         [57]
              3²⋅23⋅41,        [26 40 56]
             2³⋅1061,          []
            13⋅653,            []
           2⋅3⋅5⋅283,          [23 47]
          7⋅1213,              [30 48 72]
         2²⋅11⋅193,            [45]
        3⋅19⋅149,              [46 50 70]
       2⋅31⋅137,               [27 33]
      5⋅1699,                  [48]
     2⁴⋅3²⋅59,                 [67 77]
    29⋅293,                    [30 66]
   2⋅7⋅607,                    [75]
  3⋅2833,                      [38]
 2²⋅5³⋅17,                     [39 81]
8501,                          [72]
 2⋅3⋅13⋅109,                   [35 41 71 79]
  11⋅773,                      [36 60]
   2³⋅1063,                    []
    3⁵⋅5⋅7,                    [38 58 76]
     2⋅4253,                   [75]
      47⋅181,                  [6]
     2²⋅3⋅709,                 [65 89]
    67⋅127,                    [90]
   2⋅5⋅23⋅37,                  [63 87]
  3⋅2837,                      [10 88]
 2⁶⋅7⋅19,                      [51 69]
8513,                          [84]
 2⋅3²⋅11⋅43,                   [13 67 83 85 95]
  5⋅13⋅131,                    [48 84]
   2²⋅2129,                    [93]
    3⋅17⋅167,                  [4 56]
   2⋅4259,                     []
  7⋅1217,                      [18 90]
 2³⋅3⋅5⋅71,                    [7 19 53 77 89]
8521,                          [60 78]
 2⋅4261,                       [21 75]
  3²⋅947,                      [76 100]
   2²⋅2131,                    [3 57]
  5²⋅11⋅31,                    [12]
 2⋅3⋅7²⋅29,                    [13 83 97]
8527,                          [96]
 2⁴⋅13⋅41,                     [15 81 99]
  3⋅2843,                      [8 68 98 100]
   2⋅5⋅853,                    [9 69 99]
    19⋅449,                    []
     2²⋅3³⋅79,                 [5 11 31 65]
    7⋅23⋅53,                   [6 66 90]
   2⋅17⋅251,                   []
  3⋅5⋅569,                     [8 74 88 92]
 2³⋅11⋅97,                     [93]
8537,                          [36 90]
 2⋅3⋅1423,                     [1 25 71 91]
8539,                          []
 2²⋅5⋅7⋅61,                    [3]
  3²⋅13⋅73,                    [2 40]
 2⋅4271,                       [21 81 99]
8543,                          [30]
 2⁵⋅3⋅89,                      [83 97]
  5⋅1709,                      [18 78 84]
   2⋅4273,                     []
    3⋅7⋅11⋅37,                 [26 34 80 100]
     2²⋅2137,                  [81]
      83⋅103,                  [48]
       2⋅3²⋅5²⋅19,             [13 23 49]
        17⋅503,                [12 30 90]
         2³⋅1069,              []
          3⋅2851,              [10]
         2⋅7⋅13⋅47,            [27 87 93]
        5⋅29⋅59,               [18 42 54]
       2²⋅3⋅23⋅31,             [17 43]
      43⋅199,                  [90]
     2⋅11⋅389,                 [15]
    3³⋅317,                    [22 38]
   2⁴⋅5⋅107,                   [21 39]
  7⋅1223,                      [48]
 2⋅3⋅1427,                     [19 35 61]
8563,                          [36]
 2²⋅2141,                      [63]
  3⋅5⋅571,                     [44 64 98]
   2⋅4283,                     []
    13⋅659,                    [30]
     2³⋅3²⋅7⋅17,               [5 29 31 41 55]
    11⋅19⋅41,                  [30]
   2⋅5⋅857,                    [27 57]
  3⋅2857,                      [28 58 70]
 2²⋅2143,                      [9 51]
8573,                          [36]
 2⋅3⋅1429,                     [35 53 73]
  5²⋅7³,                       [48 54]
   2⁷⋅67,                      [33]
    3²⋅953,                    [4 50 64]
   2⋅4289,                     [51]
  23⋅373,                      []
 2²⋅3⋅5⋅11⋅13,                 [17 43 67]
8581,                          [18 42 60]
 2⋅7⋅613,                      [45 81]
  3⋅2861,                      [40 44 46]
   2³⋅29⋅37,                   [45 57 63]
    5⋅17⋅101,                  [12 42 84]
     2⋅3⁴⋅53,                  [13 23 43]
      31⋅277,                  [60]
       2²⋅19⋅113,              [75]
        3⋅7⋅409,               [8 52 88]
       2⋅5⋅859,                [9 51]
      11²⋅71,                  [18 78 90]
     2⁴⋅3⋅179,                 [49 55 71]
    13⋅661,                    [30 54]
   2⋅4297,                     []
  3²⋅5⋅191,                    [14 32 52 68 74 82 94]
 2²⋅7⋅307,                     [33]
8597,                          [84 96]
 2⋅3⋅1433,                     [1 25 71]
8599,                          [78]
 2³⋅5²⋅43,                     [27 63 99]
  3⋅47⋅61,                     [28 62 80 88]
   2⋅11⋅17⋅23,                 [21 39 75]
    7⋅1229,                    [6 60 66 90]
     2²⋅3²⋅239,                [5 23 65 77]
    5⋅1721,                    [24 42 84]
   2⋅13⋅331,                   [63 93]
  3⋅19⋅151,                    [34 70 86]
 2⁵⋅269,                       [69 81]
8609,                          [72]
 2⋅3⋅5⋅7⋅41,                   [13 37 67 71 83 89 97]
  79⋅109,                      [12 30]
   2²⋅2153,                    [15 69]
    3³⋅11⋅29,                  [14 16 50 76 86 100]
     2⋅59⋅73,                  [15 33 75 93]
      5⋅1723,                  [78]
       2³⋅3⋅359,               [7 53 73 77]
      7⋅1231,                  [90 96]
     2⋅31⋅139,                 [9 45 75 81]
    3⋅13²⋅17,                  [10 22 80]
   2²⋅5⋅431,                   [21 57 93 99]
  37⋅233,                      [48 78]
 2⋅3²⋅479,                     [25 41 59 85]
8623,                          [24 84 96]
 2⁴⋅7²⋅11,                     []
  3⋅5³⋅23,                     [2 16 44 52 82 88]
 2⋅19⋅227,                     [3 63 87]
8627,                          [54]
 2²⋅3⋅719,                     [1 19 65 85 91]
8629,                          [48 90]
 2⋅5⋅863,                      [33]
  3²⋅7⋅137,                    [32 50 58 68 88]
   2³⋅13⋅83,                   [9]
    89⋅97,                     [36 60]
     2⋅3⋅1439,                 [7 35 97]
      5⋅11⋅157,                [6 12 54 72 96]
     2²⋅17⋅127,                [27 63]
    3⋅2879,                    [10 40 56 94 100]
   2⋅7⋅617,                    [9 39 75 99]
  53⋅163,                      [30 42]
 2⁶⋅3³⋅5,                      [41 59 67 97]
8641,                          [78]
 2⋅29⋅149,                     [99]
  3⋅43⋅67,                     [20 34 46 70]
   2²⋅2161,                    [3 45 63]
  5⋅7⋅13⋅19,                   [18 36 48]
 2⋅3⋅11⋅131,                   [17 23 47 73]
8647,                          [66 84]
 2³⋅23⋅47,                     [21 51]
  3²⋅31²,                      [20 40 50]
   2⋅5²⋅173,                   [27 69 87]
    41⋅211,                    [42]
     2²⋅3⋅7⋅103,               [11 25 29 55 79 89]
      17⋅509,                  [24 54]
       2⋅4327,                 [27 45]
        3⋅5⋅577,               [8 14 26 58 82 92]
       2⁴⋅541,                 [33 57 75]
      11⋅787,                  [84]
     2⋅3²⋅13⋅37,               [11 31 35 49 61 95]
    7⋅1237,                    [18 30 60 78]
   2²⋅5⋅433,                   [33 87]
  3⋅2887,                      [20 32 38 52 80]
 2⋅61⋅71,                      [15 99]
8663,                          [36 90]
 2³⋅3⋅19²,                     [17 35 55 67 83]
  5⋅1733,                      [24 42 66]
   2⋅7⋅619,                    [3]
  3⁴⋅107,                      [26 40 70 86 94]
 2²⋅11⋅197,                    [21 39 45 69]
8669,                          [72]
 2⋅3⋅5⋅17²,                    [7 23 29 43 61 71]
  13⋅23⋅29,                    [42 48 90]
   2⁵⋅271,                     [9 75]
    3⋅7²⋅59,                   [4 26 46 64 74]
   2⋅4337,                     [33 45]
  5²⋅347,                      [6 66 78]
 2²⋅3²⋅241,                    [13 77]
8677,                          [30 36 54]
 2⋅4339,                       [15 69]
  3⋅11⋅263,                    [2 10 52 82]
 2³⋅5⋅7⋅31,                    [33 39 51 57 81 99]
8681,                          [12 18 72]
 2⋅3⋅1447,                     [55 59]
  19⋅457,                      [6 36 54]
   2²⋅13⋅167,                  [15 57]
    3²⋅5⋅193,                  [4 8 22 56 62 76]
   2⋅43⋅101,                   [45]
  7⋅17⋅73,                     [6 60]
 2⁴⋅3⋅181,                     [11 19 25 59 65 91]
8689,                          [42 48 90]
 2⋅5⋅11⋅79,                    [9 63 93]
  3⋅2897,                      [2 22 28 50 62 92]
 2²⋅41⋅53,                     [15 45 69]
8693,                          []
 2⋅3³⋅7⋅23,                    [5 13 25 47 53 67 85]
  5⋅37⋅47,                     [18 66]
   2³⋅1087,                    [3 87]
  3⋅13⋅223,                    [16 34 50 56]
 2⋅4349,                       [9 21]
8699,                          []
 2²⋅3⋅5²⋅29,                   [7 19 31 37 53]
  7⋅11⋅113,                    [12 60 78]
   2⋅19⋅229,                   [39]
    3²⋅967,                    [4 10 34 76 80]
   2⁹⋅17,                      [15 27 57 75]
  5⋅1741,                      [36 42 78]
 2⋅3⋅1451,                     [7 13 25 77 97]
8707,                          [30]
 2²⋅7⋅311,                     [39 45 99]
  3⋅2903,                      [10 28 32]
   2⋅5⋅13⋅67,                  [3 21 69]
  31⋅281,                      [30 42]
 2³⋅3²⋅11²,                    [19 35 49 71]
8713,                          [6 24 66 90]
 2⋅4357,                       [33]
  3⋅5⋅7⋅83,                    [16 22 26 38 46 68 88 92]
   2²⋅2179,                    [3 87]
  23⋅379,                      [24 36 90]
 2⋅3⋅1453,                     [19 29 89]
8719,                          [12 42]
 2⁴⋅5⋅109,                     [21 27]
  3³⋅17⋅19,                    [32 40 58 98]
   2⋅7²⋅89,                    [9 15 81 99]
    11⋅13⋅61,                  [24 30 60 96]
     2²⋅3⋅727,                 [17 55 83 95 97]
      5²⋅349,                  [6 12 36 78 96]
     2⋅4363,                   [27 57]
    3⋅2909,                    [14 20 34 80]
   2³⋅1091,                    [9 51]
  7⋅29⋅43,                     []
 2⋅3²⋅5⋅97,                    [11 17 23 31 49 53 89]
8731,                          [90]
 2²⋅37⋅59,                     [51]
  3⋅41⋅71,                     [14 20 70 86]
   2⋅11⋅397,                   [3 27 45 87]
  5⋅1747,                      [72]
 2⁵⋅3⋅7⋅13,                    [5 17 43 47 67 95]
8737,                          [24]
 2⋅17⋅257,                     [45 69]
  3²⋅971,                      [2 8 40 92 98]
 2²⋅5⋅19⋅23,                   [21 63 99]
8741,                          [42 78]
 2⋅3⋅31⋅47,                    [5 11 61 65 79 95]
  7⋅1249,                      [36 96]
   2³⋅1093,                    [3 63 75]
  3⋅5⋅11⋅53,                   [8 38 76]
 2⋅4373,                       [15 33 57]
8747,                          [6 84]
 2²⋅3⁷,                        [35 55 59 71]
  13⋅673,                      [12 30 72]
   2⋅5⁴⋅7,                     [3 57 69 81 87]
  3⋅2917,                      [10 32 52 70 88]
 2⁴⋅547,                       []
8753,                          [54 84]
 2⋅3⋅1459,                     [7 65 77 85]
  5⋅17⋅103,                    [24 48 66]
   2²⋅11⋅199,                  [63 75 93]
    3²⋅7⋅139,                  [4 26 50 64 80]
   2⋅29⋅151,                   [21 45 81]
  19⋅461,                      [60 78 90]
 2³⋅3⋅5⋅73,                    [19 23 47 61 71 79]
8761,                          [42]
 2⋅13⋅337,                     [21 69 99]
  3⋅23⋅127,                    [16 44 56 74 86 100]
   2²⋅7⋅313,                   [57 75]
    5⋅1753,                    [18 66 72 84 96]
     2⋅3²⋅487,                 [13 53 73 97]
      11⋅797,                  [36 54]
       2⁶⋅137,                 [15 69 99]
        3⋅37⋅79,               [38 50 62 70 80 92]
         2⋅5⋅877,              [9 33 51 93]
        7²⋅179,                [78 90]
       2²⋅3⋅17⋅43,             [11 31 35 59 65 91 95]
      31⋅283,                  [66]
     2⋅41⋅107,                 [33 75 93]
    3³⋅5²⋅13,                  [28 44 56 62 86]
   2³⋅1097,                    [45 63 87]
  67⋅131,                      [30 84]
 2⋅3⋅7⋅11⋅19,                  [25 41 59 71 85 89]
8779,                          [42 60]
 2²⋅5⋅439,                     [27 39 81 87]
  3⋅2927,                      [2 40 50 68 82]
 2⋅4391,                       [21]
8783,                          [36 84]
 2⁴⋅3²⋅61,                     [23 37 47 53 65 77]
  5⋅7⋅251,                     [54 78]
   2⋅23⋅191,                   [33 45]
    3⋅29⋅101,                  [34 50 74 80]
     2²⋅13³,                   [51 75 99]
