# `n`             a positive integer
# `factorization` the prime factorization of n, including exponents
# `primeness`     notes if n is a prime, prime power, radical, radical power, or primorial
# `m*`            the prime residues of n modulo a set of primes

    n, factorization, primeness,      m3, m5, m7, m11, m13, m17, m19, m23, m29, m31, m37, m41, m43, m47, m53, m59, m61, m67, m71, m73
   46, 2 23,          radical,        1,  1,  4,  2,   7,   12,  8,   0,   17,  15,  9,   5,   3,   46,  46,  46,  46,  46,  46,  46
   47, 47,            prime,          2,  2,  5,  3,   8,   13,  9,   1,   18,  16,  10,  6,   4,   0,   47,  47,  47,  47,  47,  47
   48, 2⁴ 3,          ,               0,  3,  6,  4,   9,   14,  10,  2,   19,  17,  11,  7,   5,   1,   48,  48,  48,  48,  48,  48
   49, 7²,            prime power,    1,  4,  0,  5,   10,  15,  11,  3,   20,  18,  12,  8,   6,   2,   49,  49,  49,  49,  49,  49
   50, 2 5²,          ,               2,  0,  1,  6,   11,  16,  12,  4,   21,  19,  13,  9,   7,   3,   50,  50,  50,  50,  50,  50
   51, 3 17,          radical,        0,  1,  2,  7,   12,  0,   13,  5,   22,  20,  14,  10,  8,   4,   51,  51,  51,  51,  51,  51
   52, 2² 13,         ,               1,  2,  3,  8,   0,   1,   14,  6,   23,  21,  15,  11,  9,   5,   52,  52,  52,  52,  52,  52
   53, 53,            prime,          2,  3,  4,  9,   1,   2,   15,  7,   24,  22,  16,  12,  10,  6,   0,   53,  53,  53,  53,  53
   54, 2 3³,          ,               0,  4,  5,  10,  2,   3,   16,  8,   25,  23,  17,  13,  11,  7,   1,   54,  54,  54,  54,  54
   55, 5 11,          radical,        1,  0,  6,  0,   3,   4,   17,  9,   26,  24,  18,  14,  12,  8,   2,   55,  55,  55,  55,  55
   56, 2³ 7,          ,               2,  1,  0,  1,   4,   5,   18,  10,  27,  25,  19,  15,  13,  9,   3,   56,  56,  56,  56,  56
   57, 3 19,          radical,        0,  2,  1,  2,   5,   6,   0,   11,  28,  26,  20,  16,  14,  10,  4,   57,  57,  57,  57,  57
   58, 2 29,          radical,        1,  3,  2,  3,   6,   7,   1,   12,  0,   27,  21,  17,  15,  11,  5,   58,  58,  58,  58,  58
