# `n`             a positive integer
# `factorization` the prime factorization of n, including exponents
# `primeness`     notes if n is a prime, prime power, radical, radical power, or primorial
# `m*`            the prime residues of n modulo a set of primes

    n, factorization, primeness,      m3, m5, m7, m11, m13, m17, m19, m23, m29, m31, m37, m41, m43, m47, m53, m59, m61, m67, m71, m73
  555, 3 5 37,        radical,        0,  0,  2,  5,   9,   11,  4,   3,   4,   28,  0,   22,  39,  38,  25,  24,  6,   19,  58,  44
  556, 2² 139,        ,               1,  1,  3,  6,   10,  12,  5,   4,   5,   29,  1,   23,  40,  39,  26,  25,  7,   20,  59,  45
  557, 557,           prime,          2,  2,  4,  7,   11,  13,  6,   5,   6,   30,  2,   24,  41,  40,  27,  26,  8,   21,  60,  46
  558, 2 3² 31,       ,               0,  3,  5,  8,   12,  14,  7,   6,   7,   0,   3,   25,  42,  41,  28,  27,  9,   22,  61,  47
  559, 13 43,         radical,        1,  4,  6,  9,   0,   15,  8,   7,   8,   1,   4,   26,  0,   42,  29,  28,  10,  23,  62,  48
  560, 2⁴ 5 7,        ,               2,  0,  0,  10,  1,   16,  9,   8,   9,   2,   5,   27,  1,   43,  30,  29,  11,  24,  63,  49
  561, 3 11 17,       radical,        0,  1,  1,  0,   2,   0,   10,  9,   10,  3,   6,   28,  2,   44,  31,  30,  12,  25,  64,  50
  562, 2 281,         radical,        1,  2,  2,  1,   3,   1,   11,  10,  11,  4,   7,   29,  3,   45,  32,  31,  13,  26,  65,  51
  563, 563,           prime,          2,  3,  3,  2,   4,   2,   12,  11,  12,  5,   8,   30,  4,   46,  33,  32,  14,  27,  66,  52
  564, 2² 3 47,       ,               0,  4,  4,  3,   5,   3,   13,  12,  13,  6,   9,   31,  5,   0,   34,  33,  15,  28,  67,  53
  565, 5 113,         radical,        1,  0,  5,  4,   6,   4,   14,  13,  14,  7,   10,  32,  6,   1,   35,  34,  16,  29,  68,  54
  566, 2 283,         radical,        2,  1,  6,  5,   7,   5,   15,  14,  15,  8,   11,  33,  7,   2,   36,  35,  17,  30,  69,  55
  567, 3⁴ 7,          ,               0,  2,  0,  6,   8,   6,   16,  15,  16,  9,   12,  34,  8,   3,   37,  36,  18,  31,  70,  56
  568, 2³ 71,         ,               1,  3,  1,  7,   9,   7,   17,  16,  17,  10,  13,  35,  9,   4,   38,  37,  19,  32,  0,   57
  569, 569,           prime,          2,  4,  2,  8,   10,  8,   18,  17,  18,  11,  14,  36,  10,  5,   39,  38,  20,  33,  1,   58
  570, 2 3 5 19,      radical,        0,  0,  3,  9,   11,  9,   0,   18,  19,  12,  15,  37,  11,  6,   40,  39,  21,  34,  2,   59
  571, 571,           prime,          1,  1,  4,  10,  12,  10,  1,   19,  20,  13,  16,  38,  12,  7,   41,  40,  22,  35,  3,   60
  572, 2² 11 13,      ,               2,  2,  5,  0,   0,   11,  2,   20,  21,  14,  17,  39,  13,  8,   42,  41,  23,  36,  4,   61
  573, 3 191,         radical,        0,  3,  6,  1,   1,   12,  3,   21,  22,  15,  18,  40,  14,  9,   43,  42,  24,  37,  5,   62
  574, 2 7 41,        radical,        1,  4,  0,  2,   2,   13,  4,   22,  23,  16,  19,  0,   15,  10,  44,  43,  25,  38,  6,   63
  575, 5² 23,         ,               2,  0,  1,  3,   3,   14,  5,   0,   24,  17,  20,  1,   16,  11,  45,  44,  26,  39,  7,   64
  576, 2⁶ 3²,         ,               0,  1,  2,  4,   4,   15,  6,   1,   25,  18,  21,  2,   17,  12,  46,  45,  27,  40,  8,   65
  577, 577,           prime,          1,  2,  3,  5,   5,   16,  7,   2,   26,  19,  22,  3,   18,  13,  47,  46,  28,  41,  9,   66
  578, 2 17²,         ,               2,  3,  4,  6,   6,   0,   8,   3,   27,  20,  23,  4,   19,  14,  48,  47,  29,  42,  10,  67
  579, 3 193,         radical,        0,  4,  5,  7,   7,   1,   9,   4,   28,  21,  24,  5,   20,  15,  49,  48,  30,  43,  11,  68
  580, 2² 5 29,       ,               1,  0,  6,  8,   8,   2,   10,  5,   0,   22,  25,  6,   21,  16,  50,  49,  31,  44,  12,  69
  581, 7 83,          radical,        2,  1,  0,  9,   9,   3,   11,  6,   1,   23,  26,  7,   22,  17,  51,  50,  32,  45,  13,  70
  582, 2 3 97,        radical,        0,  2,  1,  10,  10,  4,   12,  7,   2,   24,  27,  8,   23,  18,  52,  51,  33,  46,  14,  71
  583, 11 53,         radical,        1,  3,  2,  0,   11,  5,   13,  8,   3,   25,  28,  9,   24,  19,  0,   52,  34,  47,  15,  72
  584, 2³ 73,         ,               2,  4,  3,  1,   12,  6,   14,  9,   4,   26,  29,  10,  25,  20,  1,   53,  35,  48,  16,  0
  585, 3² 5 13,       ,               0,  0,  4,  2,   0,   7,   15,  10,  5,   27,  30,  11,  26,  21,  2,   54,  36,  49,  17,  1
  586, 2 293,         radical,        1,  1,  5,  3,   1,   8,   16,  11,  6,   28,  31,  12,  27,  22,  3,   55,  37,  50,  18,  2
  587, 587,           prime,          2,  2,  6,  4,   2,   9,   17,  12,  7,   29,  32,  13,  28,  23,  4,   56,  38,  51,  19,  3
  588, 2² 3 7²,       ,               0,  3,  0,  5,   3,   10,  18,  13,  8,   30,  33,  14,  29,  24,  5,   57,  39,  52,  20,  4
  589, 19 31,         radical,        1,  4,  1,  6,   4,   11,  0,   14,  9,   0,   34,  15,  30,  25,  6,   58,  40,  53,  21,  5
  590, 2 5 59,        radical,        2,  0,  2,  7,   5,   12,  1,   15,  10,  1,   35,  16,  31,  26,  7,   0,   41,  54,  22,  6
  591, 3 197,         radical,        0,  1,  3,  8,   6,   13,  2,   16,  11,  2,   36,  17,  32,  27,  8,   1,   42,  55,  23,  7
  592, 2⁴ 37,         ,               1,  2,  4,  9,   7,   14,  3,   17,  12,  3,   0,   18,  33,  28,  9,   2,   43,  56,  24,  8
  593, 593,           prime,          2,  3,  5,  10,  8,   15,  4,   18,  13,  4,   1,   19,  34,  29,  10,  3,   44,  57,  25,  9
  594, 2 3³ 11,       ,               0,  4,  6,  0,   9,   16,  5,   19,  14,  5,   2,   20,  35,  30,  11,  4,   45,  58,  26,  10
  595, 5 7 17,        radical,        1,  0,  0,  1,   10,  0,   6,   20,  15,  6,   3,   21,  36,  31,  12,  5,   46,  59,  27,  11
  596, 2² 149,        ,               2,  1,  1,  2,   11,  1,   7,   21,  16,  7,   4,   22,  37,  32,  13,  6,   47,  60,  28,  12
  597, 3 199,         radical,        0,  2,  2,  3,   12,  2,   8,   22,  17,  8,   5,   23,  38,  33,  14,  7,   48,  61,  29,  13
  598, 2 13 23,       radical,        1,  3,  3,  4,   0,   3,   9,   0,   18,  9,   6,   24,  39,  34,  15,  8,   49,  62,  30,  14
  599, 599,           prime,          2,  4,  4,  5,   1,   4,   10,  1,   19,  10,  7,   25,  40,  35,  16,  9,   50,  63,  31,  15
  600, 2³ 3 5²,       ,               0,  0,  5,  6,   2,   5,   11,  2,   20,  11,  8,   26,  41,  36,  17,  10,  51,  64,  32,  16
  601, 601,           prime,          1,  1,  6,  7,   3,   6,   12,  3,   21,  12,  9,   27,  42,  37,  18,  11,  52,  65,  33,  17
  602, 2 7 43,        radical,        2,  2,  0,  8,   4,   7,   13,  4,   22,  13,  10,  28,  0,   38,  19,  12,  53,  66,  34,  18
  603, 3² 67,         ,               0,  3,  1,  9,   5,   8,   14,  5,   23,  14,  11,  29,  1,   39,  20,  13,  54,  0,   35,  19
  604, 2² 151,        ,               1,  4,  2,  10,  6,   9,   15,  6,   24,  15,  12,  30,  2,   40,  21,  14,  55,  1,   36,  20
  605, 5 11²,         ,               2,  0,  3,  0,   7,   10,  16,  7,   25,  16,  13,  31,  3,   41,  22,  15,  56,  2,   37,  21
  606, 2 3 101,       radical,        0,  1,  4,  1,   8,   11,  17,  8,   26,  17,  14,  32,  4,   42,  23,  16,  57,  3,   38,  22
  607, 607,           prime,          1,  2,  5,  2,   9,   12,  18,  9,   27,  18,  15,  33,  5,   43,  24,  17,  58,  4,   39,  23
  608, 2⁵ 19,         ,               2,  3,  6,  3,   10,  13,  0,   10,  28,  19,  16,  34,  6,   44,  25,  18,  59,  5,   40,  24
  609, 3 7 29,        radical,        0,  4,  0,  4,   11,  14,  1,   11,  0,   20,  17,  35,  7,   45,  26,  19,  60,  6,   41,  25
  610, 2 5 61,        radical,        1,  0,  1,  5,   12,  15,  2,   12,  1,   21,  18,  36,  8,   46,  27,  20,  0,   7,   42,  26
  611, 13 47,         radical,        2,  1,  2,  6,   0,   16,  3,   13,  2,   22,  19,  37,  9,   0,   28,  21,  1,   8,   43,  27
  612, 2² 3² 17,      ,               0,  2,  3,  7,   1,   0,   4,   14,  3,   23,  20,  38,  10,  1,   29,  22,  2,   9,   44,  28
  613, 613,           prime,          1,  3,  4,  8,   2,   1,   5,   15,  4,   24,  21,  39,  11,  2,   30,  23,  3,   10,  45,  29
  614, 2 307,         radical,        2,  4,  5,  9,   3,   2,   6,   16,  5,   25,  22,  40,  12,  3,   31,  24,  4,   11,  46,  30
  615, 3 5 41,        radical,        0,  0,  6,  10,  4,   3,   7,   17,  6,   26,  23,  0,   13,  4,   32,  25,  5,   12,  47,  31
  616, 2³ 7 11,       ,               1,  1,  0,  0,   5,   4,   8,   18,  7,   27,  24,  1,   14,  5,   33,  26,  6,   13,  48,  32
  617, 617,           prime,          2,  2,  1,  1,   6,   5,   9,   19,  8,   28,  25,  2,   15,  6,   34,  27,  7,   14,  49,  33
  618, 2 3 103,       radical,        0,  3,  2,  2,   7,   6,   10,  20,  9,   29,  26,  3,   16,  7,   35,  28,  8,   15,  50,  34
  619, 619,           prime,          1,  4,  3,  3,   8,   7,   11,  21,  10,  30,  27,  4,   17,  8,   36,  29,  9,   16,  51,  35
  620, 2² 5 31,       ,               2,  0,  4,  4,   9,   8,   12,  22,  11,  0,   28,  5,   18,  9,   37,  30,  10,  17,  52,  36
  621, 3³ 23,         ,               0,  1,  5,  5,   10,  9,   13,  0,   12,  1,   29,  6,   19,  10,  38,  31,  11,  18,  53,  37
  622, 2 311,         radical,        1,  2,  6,  6,   11,  10,  14,  1,   13,  2,   30,  7,   20,  11,  39,  32,  12,  19,  54,  38
  623, 7 89,          radical,        2,  3,  0,  7,   12,  11,  15,  2,   14,  3,   31,  8,   21,  12,  40,  33,  13,  20,  55,  39
  624, 2⁴ 3 13,       ,               0,  4,  1,  8,   0,   12,  16,  3,   15,  4,   32,  9,   22,  13,  41,  34,  14,  21,  56,  40
  625, 5⁴,            prime power,    1,  0,  2,  9,   1,   13,  17,  4,   16,  5,   33,  10,  23,  14,  42,  35,  15,  22,  57,  41
  626, 2 313,         radical,        2,  1,  3,  10,  2,   14,  18,  5,   17,  6,   34,  11,  24,  15,  43,  36,  16,  23,  58,  42
  627, 3 11 19,       radical,        0,  2,  4,  0,   3,   15,  0,   6,   18,  7,   35,  12,  25,  16,  44,  37,  17,  24,  59,  43
  628, 2² 157,        ,               1,  3,  5,  1,   4,   16,  1,   7,   19,  8,   36,  13,  26,  17,  45,  38,  18,  25,  60,  44
  629, 17 37,         radical,        2,  4,  6,  2,   5,   0,   2,   8,   20,  9,   0,   14,  27,  18,  46,  39,  19,  26,  61,  45
  630, 2 3² 5 7,      ,               0,  0,  0,  3,   6,   1,   3,   9,   21,  10,  1,   15,  28,  19,  47,  40,  20,  27,  62,  46
  631, 631,           prime,          1,  1,  1,  4,   7,   2,   4,   10,  22,  11,  2,   16,  29,  20,  48,  41,  21,  28,  63,  47
  632, 2³ 79,         ,               2,  2,  2,  5,   8,   3,   5,   11,  23,  12,  3,   17,  30,  21,  49,  42,  22,  29,  64,  48
  633, 3 211,         radical,        0,  3,  3,  6,   9,   4,   6,   12,  24,  13,  4,   18,  31,  22,  50,  43,  23,  30,  65,  49
  634, 2 317,         radical,        1,  4,  4,  7,   10,  5,   7,   13,  25,  14,  5,   19,  32,  23,  51,  44,  24,  31,  66,  50
  635, 5 127,         radical,        2,  0,  5,  8,   11,  6,   8,   14,  26,  15,  6,   20,  33,  24,  52,  45,  25,  32,  67,  51
  636, 2² 3 53,       ,               0,  1,  6,  9,   12,  7,   9,   15,  27,  16,  7,   21,  34,  25,  0,   46,  26,  33,  68,  52
  637, 7² 13,         ,               1,  2,  0,  10,  0,   8,   10,  16,  28,  17,  8,   22,  35,  26,  1,   47,  27,  34,  69,  53
  638, 2 11 29,       radical,        2,  3,  1,  0,   1,   9,   11,  17,  0,   18,  9,   23,  36,  27,  2,   48,  28,  35,  70,  54
  639, 3² 71,         ,               0,  4,  2,  1,   2,   10,  12,  18,  1,   19,  10,  24,  37,  28,  3,   49,  29,  36,  0,   55
  640, 2⁷ 5,          ,               1,  0,  3,  2,   3,   11,  13,  19,  2,   20,  11,  25,  38,  29,  4,   50,  30,  37,  1,   56
  641, 641,           prime,          2,  1,  4,  3,   4,   12,  14,  20,  3,   21,  12,  26,  39,  30,  5,   51,  31,  38,  2,   57
  642, 2 3 107,       radical,        0,  2,  5,  4,   5,   13,  15,  21,  4,   22,  13,  27,  40,  31,  6,   52,  32,  39,  3,   58
  643, 643,           prime,          1,  3,  6,  5,   6,   14,  16,  22,  5,   23,  14,  28,  41,  32,  7,   53,  33,  40,  4,   59
  644, 2² 7 23,       ,               2,  4,  0,  6,   7,   15,  17,  0,   6,   24,  15,  29,  42,  33,  8,   54,  34,  41,  5,   60
  645, 3 5 43,        radical,        0,  0,  1,  7,   8,   16,  18,  1,   7,   25,  16,  30,  0,   34,  9,   55,  35,  42,  6,   61
  646, 2 17 19,       radical,        1,  1,  2,  8,   9,   0,   0,   2,   8,   26,  17,  31,  1,   35,  10,  56,  36,  43,  7,   62
  647, 647,           prime,          2,  2,  3,  9,   10,  1,   1,   3,   9,   27,  18,  32,  2,   36,  11,  57,  37,  44,  8,   63
  648, 2³ 3⁴,         ,               0,  3,  4,  10,  11,  2,   2,   4,   10,  28,  19,  33,  3,   37,  12,  58,  38,  45,  9,   64
  649, 11 59,         radical,        1,  4,  5,  0,   12,  3,   3,   5,   11,  29,  20,  34,  4,   38,  13,  0,   39,  46,  10,  65
  650, 2 5² 13,       ,               2,  0,  6,  1,   0,   4,   4,   6,   12,  30,  21,  35,  5,   39,  14,  1,   40,  47,  11,  66
  651, 3 7 31,        radical,        0,  1,  0,  2,   1,   5,   5,   7,   13,  0,   22,  36,  6,   40,  15,  2,   41,  48,  12,  67
  652, 2² 163,        ,               1,  2,  1,  3,   2,   6,   6,   8,   14,  1,   23,  37,  7,   41,  16,  3,   42,  49,  13,  68
  653, 653,           prime,          2,  3,  2,  4,   3,   7,   7,   9,   15,  2,   24,  38,  8,   42,  17,  4,   43,  50,  14,  69
  654, 2 3 109,       radical,        0,  4,  3,  5,   4,   8,   8,   10,  16,  3,   25,  39,  9,   43,  18,  5,   44,  51,  15,  70
  655, 5 131,         radical,        1,  0,  4,  6,   5,   9,   9,   11,  17,  4,   26,  40,  10,  44,  19,  6,   45,  52,  16,  71
  656, 2⁴ 41,         ,               2,  1,  5,  7,   6,   10,  10,  12,  18,  5,   27,  0,   11,  45,  20,  7,   46,  53,  17,  72
  657, 3² 73,         ,               0,  2,  6,  8,   7,   11,  11,  13,  19,  6,   28,  1,   12,  46,  21,  8,   47,  54,  18,  0
  658, 2 7 47,        radical,        1,  3,  0,  9,   8,   12,  12,  14,  20,  7,   29,  2,   13,  0,   22,  9,   48,  55,  19,  1
  659, 659,           prime,          2,  4,  1,  10,  9,   13,  13,  15,  21,  8,   30,  3,   14,  1,   23,  10,  49,  56,  20,  2
  660, 2² 3 5 11,     ,               0,  0,  2,  0,   10,  14,  14,  16,  22,  9,   31,  4,   15,  2,   24,  11,  50,  57,  21,  3
  661, 661,           prime,          1,  1,  3,  1,   11,  15,  15,  17,  23,  10,  32,  5,   16,  3,   25,  12,  51,  58,  22,  4
  662, 2 331,         radical,        2,  2,  4,  2,   12,  16,  16,  18,  24,  11,  33,  6,   17,  4,   26,  13,  52,  59,  23,  5
  663, 3 13 17,       radical,        0,  3,  5,  3,   0,   0,   17,  19,  25,  12,  34,  7,   18,  5,   27,  14,  53,  60,  24,  6
  664, 2³ 83,         ,               1,  4,  6,  4,   1,   1,   18,  20,  26,  13,  35,  8,   19,  6,   28,  15,  54,  61,  25,  7
  665, 5 7 19,        radical,        2,  0,  0,  5,   2,   2,   0,   21,  27,  14,  36,  9,   20,  7,   29,  16,  55,  62,  26,  8
  666, 2 3² 37,       ,               0,  1,  1,  6,   3,   3,   1,   22,  28,  15,  0,   10,  21,  8,   30,  17,  56,  63,  27,  9
  667, 23 29,         radical,        1,  2,  2,  7,   4,   4,   2,   0,   0,   16,  1,   11,  22,  9,   31,  18,  57,  64,  28,  10
  668, 2² 167,        ,               2,  3,  3,  8,   5,   5,   3,   1,   1,   17,  2,   12,  23,  10,  32,  19,  58,  65,  29,  11
  669, 3 223,         radical,        0,  4,  4,  9,   6,   6,   4,   2,   2,   18,  3,   13,  24,  11,  33,  20,  59,  66,  30,  12
  670, 2 5 67,        radical,        1,  0,  5,  10,  7,   7,   5,   3,   3,   19,  4,   14,  25,  12,  34,  21,  60,  0,   31,  13
  671, 11 61,         radical,        2,  1,  6,  0,   8,   8,   6,   4,   4,   20,  5,   15,  26,  13,  35,  22,  0,   1,   32,  14
  672, 2⁵ 3 7,        ,               0,  2,  0,  1,   9,   9,   7,   5,   5,   21,  6,   16,  27,  14,  36,  23,  1,   2,   33,  15
  673, 673,           prime,          1,  3,  1,  2,   10,  10,  8,   6,   6,   22,  7,   17,  28,  15,  37,  24,  2,   3,   34,  16
  674, 2 337,         radical,        2,  4,  2,  3,   11,  11,  9,   7,   7,   23,  8,   18,  29,  16,  38,  25,  3,   4,   35,  17
  675, 3³ 5²,         ,               0,  0,  3,  4,   12,  12,  10,  8,   8,   24,  9,   19,  30,  17,  39,  26,  4,   5,   36,  18
  676, 2² 13²,        radical power,  1,  1,  4,  5,   0,   13,  11,  9,   9,   25,  10,  20,  31,  18,  40,  27,  5,   6,   37,  19
  677, 677,           prime,          2,  2,  5,  6,   1,   14,  12,  10,  10,  26,  11,  21,  32,  19,  41,  28,  6,   7,   38,  20
  678, 2 3 113,       radical,        0,  3,  6,  7,   2,   15,  13,  11,  11,  27,  12,  22,  33,  20,  42,  29,  7,   8,   39,  21
  679, 7 97,          radical,        1,  4,  0,  8,   3,   16,  14,  12,  12,  28,  13,  23,  34,  21,  43,  30,  8,   9,   40,  22
  680, 2³ 5 17,       ,               2,  0,  1,  9,   4,   0,   15,  13,  13,  29,  14,  24,  35,  22,  44,  31,  9,   10,  41,  23
  681, 3 227,         radical,        0,  1,  2,  10,  5,   1,   16,  14,  14,  30,  15,  25,  36,  23,  45,  32,  10,  11,  42,  24
  682, 2 11 31,       radical,        1,  2,  3,  0,   6,   2,   17,  15,  15,  0,   16,  26,  37,  24,  46,  33,  11,  12,  43,  25
  683, 683,           prime,          2,  3,  4,  1,   7,   3,   18,  16,  16,  1,   17,  27,  38,  25,  47,  34,  12,  13,  44,  26
  684, 2² 3² 19,      ,               0,  4,  5,  2,   8,   4,   0,   17,  17,  2,   18,  28,  39,  26,  48,  35,  13,  14,  45,  27
  685, 5 137,         radical,        1,  0,  6,  3,   9,   5,   1,   18,  18,  3,   19,  29,  40,  27,  49,  36,  14,  15,  46,  28
  686, 2 7³,          ,               2,  1,  0,  4,   10,  6,   2,   19,  19,  4,   20,  30,  41,  28,  50,  37,  15,  16,  47,  29
  687, 3 229,         radical,        0,  2,  1,  5,   11,  7,   3,   20,  20,  5,   21,  31,  42,  29,  51,  38,  16,  17,  48,  30
  688, 2⁴ 43,         ,               1,  3,  2,  6,   12,  8,   4,   21,  21,  6,   22,  32,  0,   30,  52,  39,  17,  18,  49,  31
  689, 13 53,         radical,        2,  4,  3,  7,   0,   9,   5,   22,  22,  7,   23,  33,  1,   31,  0,   40,  18,  19,  50,  32
  690, 2 3 5 23,      radical,        0,  0,  4,  8,   1,   10,  6,   0,   23,  8,   24,  34,  2,   32,  1,   41,  19,  20,  51,  33
  691, 691,           prime,          1,  1,  5,  9,   2,   11,  7,   1,   24,  9,   25,  35,  3,   33,  2,   42,  20,  21,  52,  34
  692, 2² 173,        ,               2,  2,  6,  10,  3,   12,  8,   2,   25,  10,  26,  36,  4,   34,  3,   43,  21,  22,  53,  35
  693, 3² 7 11,       ,               0,  3,  0,  0,   4,   13,  9,   3,   26,  11,  27,  37,  5,   35,  4,   44,  22,  23,  54,  36
  694, 2 347,         radical,        1,  4,  1,  1,   5,   14,  10,  4,   27,  12,  28,  38,  6,   36,  5,   45,  23,  24,  55,  37
  695, 5 139,         radical,        2,  0,  2,  2,   6,   15,  11,  5,   28,  13,  29,  39,  7,   37,  6,   46,  24,  25,  56,  38
  696, 2³ 3 29,       ,               0,  1,  3,  3,   7,   16,  12,  6,   0,   14,  30,  40,  8,   38,  7,   47,  25,  26,  57,  39
  697, 17 41,         radical,        1,  2,  4,  4,   8,   0,   13,  7,   1,   15,  31,  0,   9,   39,  8,   48,  26,  27,  58,  40
  698, 2 349,         radical,        2,  3,  5,  5,   9,   1,   14,  8,   2,   16,  32,  1,   10,  40,  9,   49,  27,  28,  59,  41
  699, 3 233,         radical,        0,  4,  6,  6,   10,  2,   15,  9,   3,   17,  33,  2,   11,  41,  10,  50,  28,  29,  60,  42
  700, 2² 5² 7,       ,               1,  0,  0,  7,   11,  3,   16,  10,  4,   18,  34,  3,   12,  42,  11,  51,  29,  30,  61,  43
  701, 701,           prime,          2,  1,  1,  8,   12,  4,   17,  11,  5,   19,  35,  4,   13,  43,  12,  52,  30,  31,  62,  44
  702, 2 3³ 13,       ,               0,  2,  2,  9,   0,   5,   18,  12,  6,   20,  36,  5,   14,  44,  13,  53,  31,  32,  63,  45
  703, 19 37,         radical,        1,  3,  3,  10,  1,   6,   0,   13,  7,   21,  0,   6,   15,  45,  14,  54,  32,  33,  64,  46
  704, 2⁶ 11,         ,               2,  4,  4,  0,   2,   7,   1,   14,  8,   22,  1,   7,   16,  46,  15,  55,  33,  34,  65,  47
  705, 3 5 47,        radical,        0,  0,  5,  1,   3,   8,   2,   15,  9,   23,  2,   8,   17,  0,   16,  56,  34,  35,  66,  48
  706, 2 353,         radical,        1,  1,  6,  2,   4,   9,   3,   16,  10,  24,  3,   9,   18,  1,   17,  57,  35,  36,  67,  49
  707, 7 101,         radical,        2,  2,  0,  3,   5,   10,  4,   17,  11,  25,  4,   10,  19,  2,   18,  58,  36,  37,  68,  50
  708, 2² 3 59,       ,               0,  3,  1,  4,   6,   11,  5,   18,  12,  26,  5,   11,  20,  3,   19,  0,   37,  38,  69,  51
  709, 709,           prime,          1,  4,  2,  5,   7,   12,  6,   19,  13,  27,  6,   12,  21,  4,   20,  1,   38,  39,  70,  52
  710, 2 5 71,        radical,        2,  0,  3,  6,   8,   13,  7,   20,  14,  28,  7,   13,  22,  5,   21,  2,   39,  40,  0,   53
  711, 3² 79,         ,               0,  1,  4,  7,   9,   14,  8,   21,  15,  29,  8,   14,  23,  6,   22,  3,   40,  41,  1,   54
  712, 2³ 89,         ,               1,  2,  5,  8,   10,  15,  9,   22,  16,  30,  9,   15,  24,  7,   23,  4,   41,  42,  2,   55
  713, 23 31,         radical,        2,  3,  6,  9,   11,  16,  10,  0,   17,  0,   10,  16,  25,  8,   24,  5,   42,  43,  3,   56
  714, 2 3 7 17,      radical,        0,  4,  0,  10,  12,  0,   11,  1,   18,  1,   11,  17,  26,  9,   25,  6,   43,  44,  4,   57
  715, 5 11 13,       radical,        1,  0,  1,  0,   0,   1,   12,  2,   19,  2,   12,  18,  27,  10,  26,  7,   44,  45,  5,   58
  716, 2² 179,        ,               2,  1,  2,  1,   1,   2,   13,  3,   20,  3,   13,  19,  28,  11,  27,  8,   45,  46,  6,   59
  717, 3 239,         radical,        0,  2,  3,  2,   2,   3,   14,  4,   21,  4,   14,  20,  29,  12,  28,  9,   46,  47,  7,   60
  718, 2 359,         radical,        1,  3,  4,  3,   3,   4,   15,  5,   22,  5,   15,  21,  30,  13,  29,  10,  47,  48,  8,   61
  719, 719,           prime,          2,  4,  5,  4,   4,   5,   16,  6,   23,  6,   16,  22,  31,  14,  30,  11,  48,  49,  9,   62
  720, 2⁴ 3² 5,       ,               0,  0,  6,  5,   5,   6,   17,  7,   24,  7,   17,  23,  32,  15,  31,  12,  49,  50,  10,  63
  721, 7 103,         radical,        1,  1,  0,  6,   6,   7,   18,  8,   25,  8,   18,  24,  33,  16,  32,  13,  50,  51,  11,  64
  722, 2 19²,         ,               2,  2,  1,  7,   7,   8,   0,   9,   26,  9,   19,  25,  34,  17,  33,  14,  51,  52,  12,  65
  723, 3 241,         radical,        0,  3,  2,  8,   8,   9,   1,   10,  27,  10,  20,  26,  35,  18,  34,  15,  52,  53,  13,  66
  724, 2² 181,        ,               1,  4,  3,  9,   9,   10,  2,   11,  28,  11,  21,  27,  36,  19,  35,  16,  53,  54,  14,  67
  725, 5² 29,         ,               2,  0,  4,  10,  10,  11,  3,   12,  0,   12,  22,  28,  37,  20,  36,  17,  54,  55,  15,  68
  726, 2 3 11²,       ,               0,  1,  5,  0,   11,  12,  4,   13,  1,   13,  23,  29,  38,  21,  37,  18,  55,  56,  16,  69
  727, 727,           prime,          1,  2,  6,  1,   12,  13,  5,   14,  2,   14,  24,  30,  39,  22,  38,  19,  56,  57,  17,  70
  728, 2³ 7 13,       ,               2,  3,  0,  2,   0,   14,  6,   15,  3,   15,  25,  31,  40,  23,  39,  20,  57,  58,  18,  71
  729, 3⁶,            prime power,    0,  4,  1,  3,   1,   15,  7,   16,  4,   16,  26,  32,  41,  24,  40,  21,  58,  59,  19,  72
  730, 2 5 73,        radical,        1,  0,  2,  4,   2,   16,  8,   17,  5,   17,  27,  33,  42,  25,  41,  22,  59,  60,  20,  0
  731, 17 43,         radical,        2,  1,  3,  5,   3,   0,   9,   18,  6,   18,  28,  34,  0,   26,  42,  23,  60,  61,  21,  1
  732, 2² 3 61,       ,               0,  2,  4,  6,   4,   1,   10,  19,  7,   19,  29,  35,  1,   27,  43,  24,  0,   62,  22,  2
  733, 733,           prime,          1,  3,  5,  7,   5,   2,   11,  20,  8,   20,  30,  36,  2,   28,  44,  25,  1,   63,  23,  3
  734, 2 367,         radical,        2,  4,  6,  8,   6,   3,   12,  21,  9,   21,  31,  37,  3,   29,  45,  26,  2,   64,  24,  4
  735, 3 5 7²,        ,               0,  0,  0,  9,   7,   4,   13,  22,  10,  22,  32,  38,  4,   30,  46,  27,  3,   65,  25,  5
  736, 2⁵ 23,         ,               1,  1,  1,  10,  8,   5,   14,  0,   11,  23,  33,  39,  5,   31,  47,  28,  4,   66,  26,  6
  737, 11 67,         radical,        2,  2,  2,  0,   9,   6,   15,  1,   12,  24,  34,  40,  6,   32,  48,  29,  5,   0,   27,  7
  738, 2 3² 41,       ,               0,  3,  3,  1,   10,  7,   16,  2,   13,  25,  35,  0,   7,   33,  49,  30,  6,   1,   28,  8
  739, 739,           prime,          1,  4,  4,  2,   11,  8,   17,  3,   14,  26,  36,  1,   8,   34,  50,  31,  7,   2,   29,  9
  740, 2² 5 37,       ,               2,  0,  5,  3,   12,  9,   18,  4,   15,  27,  0,   2,   9,   35,  51,  32,  8,   3,   30,  10
  741, 3 13 19,       radical,        0,  1,  6,  4,   0,   10,  0,   5,   16,  28,  1,   3,   10,  36,  52,  33,  9,   4,   31,  11
  742, 2 7 53,        radical,        1,  2,  0,  5,   1,   11,  1,   6,   17,  29,  2,   4,   11,  37,  0,   34,  10,  5,   32,  12
  743, 743,           prime,          2,  3,  1,  6,   2,   12,  2,   7,   18,  30,  3,   5,   12,  38,  1,   35,  11,  6,   33,  13
  744, 2³ 3 31,       ,               0,  4,  2,  7,   3,   13,  3,   8,   19,  0,   4,   6,   13,  39,  2,   36,  12,  7,   34,  14
