# `n`         a positive integer
# `factors`   the prime factorization of n
# `psym`      the symmetric primes at equal offsets around n
# `primeness` notes if n is a prime, prime power, prime twin, radical, radical power, primorial, or primorial power

n,      factors,       psym,                        primeness
3787,   7 541,         [60 90],                     radical
3788,   2² 947,        [9],                         
3789,   3² 421,        [62 88 92],                  
3790,   2 5 379,       [57 63 99],                  radical
3791,   17 223,        [12 30 72 90],               radical
3792,   2⁴ 3 79,       [31 59],                     
3793,   3793,          [54 60 84 96],               prime
3794,   2 7 271,       [27],                        radical
3795,   3 5 11 23,     [2 26 28 56 68 86 94],       radical
3796,   2² 13 73,      [27 57],                     
3797,   3797,          [36],                        prime
3798,   2 3² 211,      [5 65 79],                   
3799,   29 131,        [90],                        radical
3800,   2³ 5² 19,      [3 21 33 81],                
3801,   3 7 181,       [22 32 62],                  radical
3802,   2 1901,        [75],                        radical
3803,   3803,          [],                          prime
3804,   2² 3 317,      [43 77 85],                  
3805,   5 761,         [72],                        radical
3806,   2 11 173,      [27 45],                     radical
3807,   3⁴ 47,         [14 40 46 74],               
3808,   2⁵ 7 17,       [15 39 69 81 99],            
3809,   13 293,        [12 42],                     radical
3810,   2 3 5 127,     [13 41 43 71],               radical
3811,   37 103,        [42 78],                     radical
3812,   2² 953,        [9 51],                      
3813,   3 31 41,       [10 20 34 94],               radical
3814,   2 1907,        [75],                        radical
3815,   5 7 109,       [18 36 48 96],               radical
3816,   2³ 3² 53,      [37 47],                     
3817,   11 347,        [90],                        radical
3818,   2 23 83,       [15 99],                     radical
3819,   3 19 67,       [58 92 100],                 radical
3820,   2² 5 191,      [27 87],                     
3821,   3821,          [42 60],                     prime twin
3822,   2 3 7² 13,     [1 25 29 55 89 95],          
3823,   3823,          [30 54 84 96],               prime twin
3824,   2⁴ 239,        [27 57],                     
3825,   3² 5² 17,      [22 28 56 64 86 92 98],      
3826,   2 1913,        [93],                        radical
3827,   43 89,         [6 24],                      radical
3828,   2² 3 11 29,    [5 25 35 49 61 89 95],       
3829,   7 547,         [60 90],                     radical
3830,   2 5 383,       [33 51],                     radical
3831,   3 1277,        [92 98],                     radical
3832,   2³ 479,        [99],                        
3833,   3833,          [30],                        prime
3834,   2 3³ 71,       [13 55 73 95],               
3835,   5 13 59,       [12 42 96],                  radical
3836,   2² 7 137,      [15 75],                     
3837,   3 1279,        [14 16 40 44 70],            radical
3838,   2 19 101,      [15 69],                     radical
3839,   11 349,        [42 72 78],                  radical
3840,   2⁸ 3 5,        [7 37 71 79],                
3841,   23 167,        [48],                        radical
3842,   2 17 113,      [9 21 39 75 81],             radical
3843,   3² 7 61,       [10 20 46 64 74 76],         
3844,   2² 31²,        [75],                        radical power
3845,   5 769,         [66 78 84],                  radical
3846,   2 3 641,       [43 77 85],                  radical
3847,   3847,          [],                          prime
3848,   2³ 13 37,      [15 69 81],                  
3849,   3 1283,        [2 28 70 80 82],             radical
3850,   2 5² 7 11,     [3 27 57 81],                
3851,   3851,          [30 72],                     prime twin
3852,   2² 3² 107,     [1 29 55 59 91],             
3853,   3853,          [],                          prime twin
3854,   2 41 47,       [57 75 93],                  radical
3855,   3 5 257,       [8 22 34 52 62 76 88],       radical
3856,   2⁴ 241,        [33 63 87],                  
3857,   7 19 29,       [6 24 54 60 90],             radical
3858,   2 3 643,       [5 61 65 89],                radical
3859,   17 227,        [],                          radical
3860,   2² 5 193,      [57 63],                     
3861,   3³ 11 13,      [28 58 68 82],               
3862,   2 1931,        [15 69],                     radical
3863,   3863,          [60 66 84],                  prime
3864,   2³ 3 7 23,     [13 17 43 67],               
3865,   5 773,         [12 42],                     radical
3866,   2 1933,        [15 45 63],                  radical
3867,   3 1289,        [14 44 64 100],              radical
3868,   2² 967,        [21 75 99],                  
3869,   53 73,         [48],                        radical
3870,   2 3² 5 43,     [7 19 37 47 49 73 77],       
3871,   7² 79,         [18 48],                     
3872,   2⁵ 11²,        [9 39 51 75],                
3873,   3 1291,        [50 70 94],                  radical
3874,   2 13 149,      [],                          radical
3875,   5³ 31,         [42 54 72],                  
3876,   2² 3 17 19,    [13 43 53 55],               
3877,   3877,          [30 54],                     prime
3878,   2 7 277,       [45],                        radical
3879,   3² 431,        [2 28 32],                   
3880,   2³ 5 97,       [27 87],                     
3881,   3881,          [30 48],                     prime
3882,   2 3 647,       [29 35 49 61 85],            radical
3883,   11 353,        [6 36 60],                   radical
3884,   2² 971,        [33 63],                     
3885,   3 5 7 37,      [4 22 32 34 38 62 82],       radical
3886,   2 29 67,       [33],                        radical
3887,   13² 23,        [24 36],                     
3888,   2⁴ 3⁵,         [35 41 55],                  
3889,   3889,          [42],                        prime
3890,   2 5 389,       [27 39 57],                  radical
3891,   3 1297,        [28 38 40 98],               radical
3892,   2² 7 139,      [15 39],                     
3893,   17 229,        [30 96],                     radical
3894,   2 3 11 59,     [13 17 73],                  radical
3895,   5 19 41,       [48 72],                     radical
3896,   2³ 487,        [15 33 93],                  
3897,   3² 433,        [20 34 46 50],               
3898,   2 1949,        [9 21 45],                   radical
3899,   7 557,         [18 48],                     radical
3900,   2² 3 5² 13,    [11 19 23 47 67],            
3901,   47 83,         [],                          radical
3902,   2 1951,        [21 99],                     radical
3903,   3 1301,        [14 26 40 100],              radical
3904,   2⁶ 61,         [15 27],                     
3905,   5 11 71,       [24 42 84],                  radical
3906,   2 3² 7 31,     [17 25 83],                  
3907,   3907,          [60],                        prime
3908,   2² 977,        [],                          
3909,   3 1303,        [2 20 58],                   radical
3910,   2 5 17 23,     [21 33 57],                  radical
3911,   3911,          [78 90],                     prime
3912,   2³ 3 163,      [5 31 35 89 91],             
3913,   7 13 43,       [6 90],                      radical
3914,   2 19 103,      [3 33 93],                   radical
3915,   3³ 5 29,       [4 8 52 92],                 
3916,   2² 11 89,      [27],                        
3917,   3917,          [6 84 96],                   prime twin
3918,   2 3 653,       [1 11 29 71 85 95],          radical
3919,   3919,          [12],                        prime twin
3920,   2⁴ 5 7²,       [3 9 69 87 99],              
3921,   3 1307,        [2 10 68 98 100],            radical
3922,   2 37 53,       [45 99],                     radical
3923,   3923,          [6 90],                      prime
3924,   2² 3² 109,     [5 7 43 77],                 
3925,   5² 157,        [6 18 78],                   
3926,   2 13 151,      [3 63 75 93],                radical
3927,   3 7 11 17,     [4 16 20 74 76 80 94],       radical
3928,   2³ 491,        [39 75],                     
3929,   3929,          [18 78],                     prime twin
3930,   2 3 5 131,     [1 13 77 83 97],             radical
3931,   3931,          [12],                        prime twin
3932,   2² 983,        [15 69 81],                  
3933,   3² 19 23,      [10 14 56 70 80 86],         
3934,   2 7 281,       [87],                        radical
3935,   5 787,         [12 54 72 84],               radical
3936,   2⁵ 3 41,       [7 83 85],                   
3937,   31 127,        [6 30 84 90],                radical
3938,   2 11 179,      [9 75],                      radical
3939,   3 13 101,      [8 28 50 62 88],             radical
3940,   2² 5 197,      [63 87],                     
3941,   7 563,         [60 78],                     radical
3942,   2 3³ 73,       [25 61 65 79],               
3943,   3943,          [24],                        prime
3944,   2³ 17 29,      [63],                        
3945,   3 5 263,       [2 22 56 68 82],             radical
3946,   2 1973,        [57],                        radical
3947,   3947,          [66],                        prime
3948,   2² 3 7 47,     [19 41 59 71],               
3949,   11 359,        [18 72],                     radical
3950,   2 5² 79,       [39 69 99],                  
3951,   3² 439,        [62 70 98 100],              
3952,   2⁴ 13 19,      [75 99],                     
3953,   59 67,         [36],                        radical
3954,   2 3 659,       [35 47 65 73],               radical
3955,   5 7 113,       [12 48 66],                  radical
3956,   2² 23 43,      [33 45 93],                  
3957,   3 1319,        [10 46 50 94],               radical
3958,   2 1979,        [69],                        radical
3959,   37 107,        [30 42 48],                  radical
3960,   2³ 3² 5 11,    [29 41 43 53 97],            
3961,   17 233,        [42],                        radical
3962,   2 7 283,       [39 45 51],                  radical
3963,   3 1321,        [40 44 56 86],               radical
3964,   2² 991,        [57 87],                     
3965,   5 13 61,       [36 42 48 54 84],            radical
3966,   2 3 661,       [23 35 37 47 55 85],         radical
3967,   3967,          [36 60 90],                  prime
3968,   2⁷ 31,         [21 39 45 51],               
3969,   3⁴ 7²,         [38 50 52 58 80 88],         
3970,   2 5 397,       [51 81],                     radical
3971,   11 19²,        [42 48],                     
3972,   2² 3 331,      [29 41 49 55],               
3973,   29 137,        [30 54 84],                  radical
3974,   2 1987,        [27 45],                     radical
3975,   3 5² 53,       [28 32 44 46 52 98],         
3976,   2³ 7 71,       [45],                        
3977,   41 97,         [30 96],                     radical
3978,   2 3² 13 17,    [11 35 49 71],               
3979,   23 173,        [48 72],                     radical
3980,   2² 5 199,      [33 69 99],                  
3981,   3 1327,        [38 70 92],                  radical
3982,   2 11 181,      [39 75],                     radical
3983,   7 569,         [36 66],                     radical
3984,   2⁴ 3 83,       [17 37 65 67 73 95],         
3985,   5 797,         [18 42 66],                  radical
3986,   2 1993,        [63],                        radical
3987,   3² 443,        [20 40 64 70],               
3988,   2² 997,        [69],                        
3989,   3989,          [60],                        prime
3990,   2 3 5 7 19,    [23 59 61 67 83],            radical
3991,   13 307,        [60],                        radical
3992,   2³ 499,        [81],                        
3993,   3 11³,         [26 64 86],                  
3994,   2 1997,        [27 63],                     radical
3995,   5 17 47,       [6 78 84],                   radical
3996,   2² 3³ 37,      [7 53 77],                   
3997,   7 571,         [30 54],                     radical
3998,   2 1999,        [9 51 75 81],                radical
3999,   3 31 43,       [52 80 92],                  radical
4000,   2⁵ 5³,         [57 93],                     
4001,   4001,          [12 72 78 90],               prime twin
4002,   2 3 23 29,     [1 55 71 91],                radical
4003,   4003,          [96],                        prime twin
4004,   2² 7 11 13,    [3 15 75 87],                
4005,   3² 5 89,       [2 16 74 86 88 94],          
4006,   2 2003,        [87],                        radical
4007,   4007,          [6 84],                      prime
4008,   2³ 3 167,      [5 19 41 65 85 91],          
4009,   19 211,        [42 90],                     radical
4010,   2 5 401,       [3 9 63 81],                 radical
4011,   3 7 191,       [8 10 68 80 82 88 100],      radical
4012,   2² 17 59,      [9 45 81],                   
4013,   4013,          [6 66],                      prime
4014,   2 3² 223,      [7 13 85 97],                
4015,   5 11 73,       [12 84 96],                  radical
4016,   2⁴ 251,        [3],                         
4017,   3 13 103,      [4 10 74 94],                radical
4018,   2 7² 41,       [75],                        
4019,   4019,          [30 72],                     prime twin
4020,   2² 3 5 67,     [1 7 31 53 73 91],           
4021,   4021,          [78 90],                     prime twin
4022,   2 2011,        [],                          radical
4023,   3³ 149,        [4 34 56 76],                
4024,   2³ 503,        [3],                         
4025,   5² 7 23,       [24],                        
4026,   2 3 11 61,     [23 25],                     radical
4027,   4027,          [24 84],                     prime
4028,   2² 19 53,      [21 99],                     
4029,   3 17 79,       [22 28 62 82 98 100],        radical
4030,   2 5 13 31,     [27 63 99],                  radical
4031,   29 139,        [18 42],                     radical
4032,   2⁶ 3² 7,       [19 25],                     
4033,   37 109,        [66],                        radical
4034,   2 2017,        [15 45],                     radical
4035,   3 5 269,       [14 16 22 92],               radical
4036,   2² 1009,       [15 93],                     
4037,   11 367,        [36 90],                     radical
4038,   2 3 673,       [11 19 35 91 95],            radical
4039,   7 577,         [12 18 72],                  radical
4040,   2³ 5 101,      [33 39 51 93],               
4041,   3² 449,        [38 52 98],                  
4042,   2 43 47,       [15],                        radical
4043,   13 311,        [30 36 96],                  radical
4044,   2² 3 337,      [55],                        
4045,   5 809,         [],                          radical
4046,   2 7 17²,       [27 33 45],                  
4047,   3 19 71,       [26 44 46 80],               radical
4048,   2⁴ 11 23,      [45 81],                     
4049,   4049,          [30 42],                     prime twin
4050,   2 3⁴ 5²,       [1 23 29 43 49 61 83],       
4051,   4051,          [48],                        prime twin
4052,   2² 1013,       [39],                        
4053,   3 7 193,       [4 26 40 46 86],             radical
4054,   2 2027,        [3],                         radical
4055,   5 811,         [36],                        radical
4056,   2³ 3 13²,      [35 37 43 55],               
4057,   4057,          [36 54],                     prime
4058,   2 2029,        [69],                        radical
4059,   3² 11 41,      [32 40 52 70],               
4060,   2² 5 7 29,     [33 39 93],                  
4061,   31 131,        [12 72],                     radical
4062,   2 3 677,       [11 49 95],                  radical
4063,   17 239,        [36 96],                     radical
4064,   2⁵ 127,        [15 63 75],                  
4065,   3 5 271,       [8 14 46 62 64],             radical
4066,   2 19 107,      [45 63],                     radical
4067,   7² 83,         [60 66],                     
4068,   2² 3² 113,     [11 61 65],                  
4069,   13 313,        [42],                        radical
4070,   2 5 11 37,     [21 57 63 69],               radical
4071,   3 23 59,       [20 22 58 68 82],            radical
4072,   2³ 509,        [21],                        
4073,   4073,          [54 60 66 84],               prime
4074,   2 3 7 97,      [17 25 53 55 85],            radical
4075,   5² 163,        [18 24 54],                  
4076,   2² 1019,       [3 57 63],                   
4077,   3³ 151,        [50 56 76],                  
4078,   2 2039,        [21 51 75],                  radical
4079,   4079,          [60 78],                     prime
4080,   2⁴ 3 5 17,     [31 53 59 73 77 79],         
4081,   7 11 53,       [30 78],                     radical
4082,   2 13 157,      [9 75],                      radical
4083,   3 1361,        [10 56 70 76 94],            radical
4084,   2² 1021,       [27],                        
4085,   5 19 43,       [6 72],                      radical
4086,   2 3² 227,      [7 13 67 73],                
4087,   61 67,         [66],                        radical
4088,   2³ 7 73,       [39 69],                     
4089,   3 29 47,       [10 38 40 68 70 88],         radical
4090,   2 5 409,       [39 63 69 87],               radical
4091,   4091,          [42],                        prime twin
4092,   2² 3 11 31,    [1 19 35 41 65 85],          
4093,   4093,          [36 66],                     prime twin
4094,   2 23 89,       [45],                        radical
4095,   3² 5 7 13,     [4 16 38 44 82],             
4096,   2¹²,           [3],                         prime power
4097,   17 241,        [],                          radical
4098,   2 3 683,       [41 79],                     radical
4099,   4099,          [78],                        prime
4100,   2² 5² 41,      [27],                        
4101,   3 1367,        [10 28 52 100],              radical
4102,   2 7 293,       [9 51 75 99],                radical
4103,   11 373,        [24 30 54],                  radical
4104,   2³ 3³ 19,      [25 53 55 97],               
4105,   5 821,         [6 48 54],                   radical
4106,   2 2053,        [27 33],                     radical
4107,   3 37²,         [50 94],                     
4108,   2² 13 79,      [51],                        
4109,   7 587,         [18 30],                     radical
4110,   2 3 5 137,     [17 19 91],                  radical
4111,   4111,          [18 90],                     prime
4112,   2⁴ 257,        [21 99],                     
4113,   3² 457,        [14 20 40 64],               
4114,   2 11² 17,      [15 63 87],                  
4115,   5 823,         [24 42 96],                  radical
4116,   2² 3 7³,       [17 23 37 43 95],            
4117,   23 179,        [60],                        radical
4118,   2 29 71,       [39 99],                     radical
4119,   3 1373,        [8 20 40 92 98 100],         radical
4120,   2³ 5 103,      [9 99],                      
4121,   13 317,        [],                          radical
4122,   2 3² 229,      [11 31 95],                  
4123,   7 19 31,       [30 96],                     radical
4124,   2² 1031,       [33],                        
4125,   3 5³ 11,       [14 32 34 52 76],            
4126,   2 2063,        [27 33 75],                  radical
4127,   4127,          [],                          prime twin
4128,   2⁵ 3 43,       [1 29 49],                   
4129,   4129,          [30 72],                     prime twin
4130,   2 5 7 59,      [3 81],                      radical
4131,   3⁵ 17,         [2 80],                      
4132,   2² 1033,       [21],                        
4133,   4133,          [6 84],                      prime
4134,   2 3 13 53,     [5 23 43 77 83 85],          radical
4135,   5 827,         [24 42 84],                  radical
4136,   2³ 11 47,      [3],                         
4137,   3 7 197,       [64 80],                     radical
4138,   2 2069,        [39 81],                     radical
4139,   4139,          [90],                        prime
4140,   2² 3² 5 23,    [13 61 89 91],               
4141,   41 101,        [12 90],                     radical
4142,   2 19 109,      [15 69],                     radical
4143,   3 1381,        [10 14 16 86],               radical
4144,   2⁴ 7 37,       [15 33 87],                  
4145,   5 829,         [12 66 72 96],               radical
4146,   2 3 691,       [7 13 55 73 95 97],          radical
4147,   11 13 29,      [54 96],                     radical
4148,   2² 17 61,      [9 69],                      
4149,   3² 461,        [10 70 92],                  
4150,   2 5² 83,       [51 93],                     
4151,   7 593,         [60 78],                     radical
4152,   2³ 3 173,      [25 59 79],                  
4153,   4153,          [24],                        prime
4154,   2 31 67,       [63 75],                     radical
4155,   3 5 277,       [2 22 56 62 64 76 98],       radical
4156,   2² 1039,       [3 45 63],                   
4157,   4157,          [84],                        prime twin
4158,   2 3³ 7 11,     [1 19 59 85],                
4159,   4159,          [60],                        prime twin
4160,   2⁶ 5 13,       [69 81],                     
4161,   3 19 73,       [50 68 70 82],               radical
4162,   2 2081,        [69],                        radical
4163,   23 181,        [90],                        radical
4164,   2² 3 347,      [37 53 65],                  
4165,   5 7² 17,       [12 36 54 66],               
4166,   2 2083,        [75 87 93],                  radical
4167,   3² 463,        [10 34 74 76 94],            
4168,   2³ 521,        [9 75],                      
4169,   11 379,        [42 90],                     radical
4170,   2 3 5 139,     [31 41 59 71 91],            radical
4171,   43 97,         [60 72],                     radical
4172,   2² 7 149,      [39 45 81 99],               
4173,   3 13 107,      [44 46 80 100],              radical
4174,   2 2087,        [45],                        radical
4175,   5² 167,        [36 42 84 96],               
4176,   2⁴ 3² 29,      [43 65 77 83 85 97],         
4177,   4177,          [24 66 84],                  prime
4178,   2 2089,        [39 51],                     radical
4179,   3 7 199,       [22 40 50 52 80],            radical
4180,   2² 5 11 19,    [21 51 81],                  
4181,   37 113,        [48 90],                     radical
4182,   2 3 17 41,     [29 49 71 89 91],            radical
4183,   47 89,         [90],                        radical
4184,   2³ 523,        [27 45 57],                  
4185,   3³ 5 31,       [26 32 46 56 58 74 86],      
4186,   2 7 13 23,     [33 57 75 87],               radical
4187,   53 79,         [30 54 96],                  radical
4188,   2² 3 349,      [29 31 55 95],               
4189,   59 71,         [12 30],                     radical
4190,   2 5 419,       [51 63 99],                  radical
4191,   3 11 127,      [38 52 62 80 92 98],         radical
4192,   2⁵ 131,        [39 81],                     
4193,   7 599,         [36 60 66],                  radical
4194,   2 3² 233,      [17 35 37 65 67 95],         
4195,   5 839,         [36 66],                     radical
4196,   2² 1049,       [57 63],                     
4197,   3 1399,        [20 44 64 86],               radical
4198,   2 2099,        [21 45 99],                  radical
4199,   13 17 19,      [42 60 72],                  radical
4200,   2³ 3 5² 7,     [41 43 61 71 73 89],         
4201,   4201,          [42 72],                     prime
4202,   2 11 191,      [69],                        radical
4203,   3² 467,        [26 50 70],                  
4204,   2² 1051,       [27 93],                     
4205,   5 29²,         [48 66 78],                  
4206,   2 3 701,       [5 47 53 67 77],             radical
4207,   7 601,         [54],                        radical
4208,   2⁴ 263,        [51 75 81],                  
4209,   3 23 61,       [8 32 50 52 80],             radical
4210,   2 5 421,       [9 33 51],                   radical
4211,   4211,          [72 78],                     prime
4212,   2² 3⁴ 13,      [59 85],                     
4213,   11 383,        [60 84],                     radical
4214,   2 7² 43,       [3 57 75],                   
4215,   3 5 281,       [4 14 38 56 58 82],          radical
4216,   2³ 17 31,      [15 57],                     
4217,   4217,          [],                          prime twin
4218,   2 3 19 37,     [1 41 65 79],                radical
4219,   4219,          [42],                        prime twin
4220,   2² 5 211,      [9 63],                      
4221,   3² 7 67,       [10 20 62 68],               
4222,   2 2111,        [21],                        radical
4223,   41 103,        [6 66],                      radical
4224,   2⁷ 3 11,       [5 7 47 65],                 
4225,   5² 13²,        [6 48 72],                   radical power
4226,   2 2113,        [15],                        radical
4227,   3 1409,        [16 26 70 100],              radical
4228,   2² 7 151,      [69 99],                     
4229,   4229,          [12],                        prime twin
4230,   2 3² 5 47,     [1 11 13 29 53 97],          
4231,   4231,          [12 30],                     prime twin
4232,   2³ 23²,        [21],                        
4233,   3 17 83,       [56 94],                     radical
4234,   2 29 73,       [],                          radical
4235,   5 7 11²,       [6 18 24],                   
4236,   2² 3 353,      [5 7 17 25 35],              
4237,   19 223,        [6 36 60],                   radical
4238,   2 13 163,      [21 99],                     radical
4239,   3³ 157,        [20 22 100],                 
4240,   2⁴ 5 53,       [21 87],                     
4241,   4241,          [12 30],                     prime twin
4242,   2 3 7 101,     [1 11 31 41 85],             radical
4243,   4243,          [84],                        prime twin
4244,   2² 1061,       [15 27],                     
4245,   3 5 283,       [14 16 26 28 44 92],         radical
4246,   2 11 193,      [15 27 93],                  radical
4247,   31 137,        [6 36 90],                   radical
4248,   2³ 3² 59,      [5 89 91],                   
4249,   7 607,         [48 90],                     radical
4250,   2 5³ 17,       [9 21 33 39],                
4251,   3 13 109,      [8 10 20 22 32 98],          radical
4252,   2² 1063,       [9 21 75],                   
4253,   4253,          [36 96],                     prime
4254,   2 3 709,       [35 43 95],                  radical
4255,   5 23 37,       [],                          radical
4256,   2⁵ 7 19,       [3 15 27],                   
4257,   3² 11 43,      [4 14 16 26 40 80 100],      
4258,   2 2129,        [15 39 81 99],               radical
4259,   4259,          [30],                        prime twin
4260,   2² 3 5 71,     [1 29],                      
4261,   4261,          [],                          prime twin
4262,   2 2131,        [9 21],                      radical
4263,   3 7² 29,       [10 20 34 86],               
4264,   2³ 13 41,      [33 63],                     
4265,   5 853,         [6 24],                      radical
4266,   2 3³ 79,       [5 7 23],                    
4267,   17 251,        [6 90],                      radical
4268,   2² 11 97,      [15],                        
4269,   3 1423,        [28 58 68],                  radical
4270,   2 5 7 61,      [27 69 93],                  radical
4271,   4271,          [12 18],                     prime twin
4272,   2⁴ 3 89,       [1 11 55],                   
4273,   4273,          [54],                        prime twin
4274,   2 2137,        [15 63],                     radical
4275,   3² 5² 19,      [14 22 64 74 98],            
4276,   2² 1069,       [],                          
4277,   7 13 47,       [6 60],                      radical
4278,   2 3 23 31,     [5 19 49 59 61],             radical
4279,   11 389,        [18 48 60 78],               radical
4280,   2³ 5 107,      [9 69],                      
4281,   3 1427,        [8],                         radical
4282,   2 2141,        [81],                        radical
4283,   4283,          [54 66],                     prime
4284,   2² 3² 7 17,    [13 43 53 55 65 73],         
4285,   5 857,         [12 42 54],                  radical
4286,   2 2143,        [3],                         radical
4287,   3 1429,        [70 76 86],                  radical
4288,   2⁶ 67,         [69],                        
4289,   4289,          [48 60],                     prime
4290,   2 3 5 11 13,   [7 37 47 49 59 73],          radical
4291,   7 613,         [48 72],                     radical
4292,   2² 29 37,      [81],                        
4293,   3⁴ 53,         [4 34 64],                   
4294,   2 19 113,      [33 63],                     radical
4295,   5 859,         [42 54 78],                  radical
4296,   2³ 3 179,      [43 53 67 77 95],            
4297,   4297,          [66],                        prime
4298,   2 7 307,       [39],                        radical
4299,   3 1433,        [28 38 40 58 98],            radical
4300,   2² 5² 43,      [27 39 57],                  
4301,   11 17 23,      [48 72 90],                  radical
4302,   2 3² 239,      [61 71],                     
4303,   13 331,        [60],                        radical
4304,   2⁴ 269,        [33 45 87 93],               
4305,   3 5 7 41,      [22 32 34 44 52 86],         radical
4306,   2 2153,        [33],                        radical
4307,   59 73,         [66 90],                     radical
4308,   2² 3 359,      [19 49 55 65 89],            
4309,   31 139,        [48],                        radical
4310,   2 5 431,       [27 39 81 99],               radical
4311,   3² 479,        [28 38 52 80],               
4312,   2³ 7² 11,      [15 51],                     
4313,   19 227,        [24 60 84 96],               radical
4314,   2 3 719,       [25 43 83 95],               radical
4315,   5 863,         [42],                        radical
4316,   2² 13 83,      [33 57 75],                  
4317,   3 1439,        [20 46 56 74],               radical
4318,   2 17 127,      [21 45],                     radical
4319,   7 617,         [30 78 90],                  radical
4320,   2⁵ 3³ 5,       [37 77 89],                  
4321,   29 149,        [],                          radical
4322,   2 2161,        [51 69],                     radical
4323,   3 11 131,      [26 34 40 50],               radical
4324,   2² 23 47,      [],                          
4325,   5² 173,        [66 72 84 96],               
4326,   2 3 7 103,     [37 65 83 95 97],            radical
4327,   4327,          [30 96],                     prime
4328,   2³ 541,        [45 69],                     
4329,   3² 13 37,      [68],                        
4330,   2 5 433,       [33],                        radical
4331,   61 71,         [42 60 78 90],               radical
4332,   2² 3 19²,      [5 59 89 91],                
4333,   7 619,         [6 90],                      radical
4334,   2 11 197,      [63 75],                     radical
4335,   3 5 17²,       [38 62 74],                  
4336,   2⁴ 271,        [],                          
4337,   4337,          [54 84],                     prime twin
4338,   2 3² 241,      [1 11 85],                   
4339,   4339,          [],                          prime twin
4340,   2² 5 7 31,     [51 57 69 81],               
4341,   3 1447,        [68 80 82 100],              radical
4342,   2 13 167,      [15 81 99],                  radical
4343,   43 101,        [6 54],                      radical
4344,   2³ 3 181,      [5 47],                      
4345,   5 11 79,       [18],                        radical
4346,   2 41 53,       [63 75],                     radical
4347,   3³ 7 23,       [10 50 74 76 94],            
4348,   2² 1087,       [9 75],                      
4349,   4349,          [60],                        prime
4350,   2 3 5² 29,     [13 23 91 97],               
4351,   19 229,        [12 90],                     radical
4352,   2⁸ 17,         [69 99],                     
4353,   3 1451,        [4 56 70 94],                radical
4354,   2 7 311,       [93],                        radical
4355,   5 13 67,       [18 66 96],                  radical
4356,   2² 3² 11²,     [7 17 67 85 95],             radical power
4357,   4357,          [84],                        prime
4358,   2 2179,        [99],                        radical
4359,   3 1453,        [32 62 88 98],               radical
4360,   2³ 5 109,      [3 63 87],                   
4361,   7² 89,         [12 90],                     
4362,   2 3 727,       [35 79 89],                  radical
4363,   4363,          [],                          prime
4364,   2² 1091,       [27 93],                     
4365,   3² 5 97,       [8 26 76 82 92],             
4366,   2 37 59,       [],                          radical
4367,   11 397,        [30 84 96],                  radical
4368,   2⁴ 3 7 13,     [5 29 41 79 95],             
4369,   17 257,        [72],                        radical
4370,   2 5 19 23,     [21 81 87],                  radical
4371,   3 31 47,       [],                          radical
4372,   2² 1093,       [75],                        
4373,   4373,          [24 36 84 90],               prime
4374,   2 3⁷,          [17 35 47 77],               
4375,   5⁴ 7,          [48],                        
4376,   2³ 547,        [87],                        
4377,   3 1459,        [14 20 80],                  radical
4378,   2 11 199,      [],                          radical
4379,   29 151,        [30 42],                     radical
4380,   2² 3 5 73,     [17 41 43 83],               
4381,   13 337,        [42],                        radical
4382,   2 7 313,       [9 99],                      radical
4383,   3² 487,        [26 100],                    
4384,   2⁵ 137,        [57],                        
4385,   5 877,         [12 36 96],                  radical
4386,   2 3 17 43,     [23 37 97],                  radical
4387,   41 107,        [60],                        radical
4388,   2² 1097,       [],                          
4389,   3 7 11 19,     [32 52 62 92],               radical
4390,   2 5 439,       [33 51 93],                  radical
4391,   4391,          [18],                        prime
4392,   2³ 3² 61,      [29 55 65],                  
4393,   23 191,        [30 54],                     radical
4394,   2 13³,         [3 57],                      
4395,   3 5 293,       [46 56 68 98],               radical
4396,   2² 7 157,      [],                          
4397,   4397,          [24 60],                     prime
4398,   2 3 733,       [25 49 59],                  radical
4399,   53 83,         [42],                        radical
4400,   2⁴ 5² 11,      [9 51 63],                   
4401,   3³ 163,        [62],                        
4402,   2 31 71,       [39 45],                     radical
4403,   7 17 37,       [6 54],                      radical
4404,   2² 3 367,      [47 77],                     
4405,   5 881,         [42 78],                     radical
4406,   2 2203,        [15 57],                     radical
4407,   3 13 113,      [16 34 44 50],               radical
4408,   2³ 19 29,      [],                          
4409,   4409,          [12 72],                     prime
4410,   2 3² 5 7²,     [13 37 47 53 71 73 83],      
4411,   11 401,        [72],                        radical
4412,   2² 1103,       [39],                        
4413,   3 1471,        [50],                        radical
4414,   2 2207,        [],                          radical
4415,   5 883,         [6 42 66 78],                radical
4416,   2⁶ 3 23,       [7 25 67 77],                
4417,   7 631,         [90],                        radical
4418,   2 47²,         [45],                        
4419,   3² 491,        [22 28 62],                  
4420,   2² 5 13 17,    [63 93],                     
4421,   4421,          [30 72],                     prime twin
4422,   2 3 11 67,     [1 25 59 85 95],             radical
4423,   4423,          [60 84 96],                  prime twin
4424,   2³ 7 79,       [27 33],                     
4425,   3 5² 59,       [16 68 88 98],               
4426,   2 2213,        [87],                        radical
4427,   19 233,        [30 36 54 90],               radical
4428,   2² 3³ 41,      [19 55 65 79 89 91],         
4429,   43 103,        [90],                        radical
4430,   2 5 443,       [21 33 93],                  radical
4431,   3 7 211,       [10 82 92],                  radical
4432,   2⁴ 277,        [9 75],                      
