# Orbit of 6171

This is well studied Collatz sequence 6171, given in odd-to-odd Collatz order.
Every n is represented by a group of 7 lines that forms a small tree, with n in the center.
The "children" of n are defined as the 2-adic odd cores of its even neighbors, n-1 and n+1.
They have their own children in turn, and for every n this hierarchy is shown.

## Collatz orbit of 6171
oc,k,dist,base3,base2,m3,m5,m7,m11,m13,m17,m19,m23,m29,m31,m37,m41,m43,m47,m53,m59,m61,m67,m71
15035,1,19,202121212,11101010111011,2,0,6,9,7,7,6,16,13,0,13,29,28,42,36,49,29,27,54 # oc(oc(60139-1)+1)
60139,0,75,10001111101,1110101011101011,1,4,2,2,1,10,4,17,22,30,14,33,25,26,37,18,54,40,2 # 60139 -> 90209
7517,1,29,101022102,1110101011101,2,2,6,4,3,3,12,19,6,15,6,14,35,44,44,24,14,13,62 # oc(oc(60139+1)-1)
15035,2,19,202121212,11101010111011,2,0,6,9,7,7,6,16,13,0,13,29,28,42,36,49,29,27,54 # oc(60139+1)
3759,2,29,12011020,111010101111,0,4,0,8,2,2,16,10,18,8,22,28,18,46,49,42,38,7,67 # oc(oc(60139+1)+1)

1409,1,28,1221012,10110000001,2,4,2,1,5,15,3,6,17,14,3,15,33,46,31,52,6,2,60 # oc(oc(90209-1)-1)
2819,5,28,10212102,101100000011,2,4,5,3,11,14,7,13,6,29,7,31,24,46,10,46,13,5,50 # oc(90209-1)
705,2,9,222010,1011000001,0,0,5,1,3,8,2,15,9,23,2,8,17,0,16,56,34,35,66 # oc(oc(90209-1)+1)
90209,0,74,11120202002,10110000001100001,2,4,0,9,2,7,16,3,19,30,3,9,38,16,3,57,51,27,39 # 90209 -> 67657
2819,4,28,10212102,101100000011,2,4,5,3,11,14,7,13,6,29,7,31,24,46,10,46,13,5,50 # oc(oc(90209+1)-1)
45105,1,18,2021212120,1011000000110001,0,0,4,5,8,4,18,2,10,0,2,5,41,32,2,29,26,14,20 # oc(90209+1)
22553,1,18,1010221022,101100000011001,2,3,6,3,11,11,0,13,20,16,20,3,21,40,28,15,44,41,46 # oc(oc(90209+1)+1)

1057,3,27,1110011,10000100001,1,2,0,1,4,3,12,22,13,3,21,32,25,23,50,54,20,52,63 # oc(oc(67657-1)-1)
8457,3,17,102121020,10000100001001,0,2,1,9,7,8,2,16,18,25,21,11,29,44,30,20,39,15,8 # oc(67657-1)
4229,1,27,12210122,1000010000101,2,4,1,5,4,13,11,20,24,13,11,6,15,46,42,40,20,8,40 # oc(oc(67657-1)+1)
67657,0,73,10102210211,10000100001001001,1,2,2,7,5,14,17,14,0,15,21,7,18,24,29,43,8,54,65 # 67657 -> 50743
8457,2,17,102121020,10000100001001,0,2,1,9,7,8,2,16,18,25,21,11,29,44,30,20,39,15,8 # oc(oc(67657+1)-1)
33829,1,17,1201101221,1000010000100101,1,4,5,4,3,16,9,19,15,8,11,4,31,36,15,22,35,61,33 # oc(67657+1)
16915,1,17,212012111,100001000010011,1,0,3,8,2,0,5,10,8,20,6,23,16,42,8,41,18,31,17 # oc(oc(67657+1)+1)

12685,1,26,122101211,11000110001101,1,0,1,2,10,3,12,12,12,6,31,16,0,42,18,0,58,22,47 # oc(oc(50743-1)-1)
25371,1,72,1021210200,110001100011011,0,1,3,5,8,7,6,2,25,13,26,33,1,38,37,1,56,45,24 # oc(50743-1)
6343,2,16,22200221,1100011000111,1,3,1,7,12,2,16,18,21,19,16,29,22,45,36,30,60,45,24 # oc(oc(50743-1)+1)
50743,0,72,2120121101,1100011000110111,1,3,0,0,4,15,13,5,22,27,16,26,3,30,22,3,52,24,49 # 50743 -> 76115
3171,1,26,11100110,110001100011,0,1,0,3,12,9,17,20,10,9,26,14,32,22,44,44,60,22,47 # oc(oc(50743+1)-1)
6343,3,16,22200221,1100011000111,1,3,1,7,12,2,16,18,21,19,16,29,22,45,36,30,60,45,24 # oc(50743+1)
793,3,26,1002101,1100011001,1,3,2,1,0,11,14,11,10,18,16,14,19,41,51,26,0,56,12 # oc(oc(50743+1)+1)

4757,3,25,20112012,1001010010101,2,2,4,5,12,14,7,19,1,14,21,1,27,10,40,37,60,0,0 # oc(oc(76115-1)-1)
