# "Odd core neighbor" fingerprints by Collatz odd-to-odd stopping distance
#
# `dist`    the number of odd-to-odd Collatz for n steps to reach 1
# `n`       a positive odd integer
# `nl`      the odd core valuation of the even number n-1 to the left of odd n
# `nr`      the odd core valuation of the even number n+1 to the right of odd n
# `base2`   the binary representation of n
# `factors` the prime factors of n

dist,     n,        nl,        nr,           base2, factors
  51,   983,   (491 1),   (123 3),      1111010111, {983}
  51,  1001,   (125 3),   (501 1),      1111101001, {7 11 13}
  51,  1921,    (15 7),   (961 1),     11110000001, {17 113}
  51,  1931,   (965 1),   (483 2),     11110001011, {1931}
  51,  1935,   (967 1),   (121 4),     11110001111, {3 5 43}
  51,  1949,   (487 2),   (975 1),     11110011101, {1949}
  51,  1965,   (491 2),   (983 1),     11110101101, {3 5 131}
  51,  1977,   (247 3),   (989 1),     11110111001, {3 659}
  51,  1979,   (989 1),   (495 2),     11110111011, {1979}
  51,  2003,  (1001 1),   (501 2),     11111010011, {2003}
  51,  3843,  (1921 1),   (961 2),    111100000011, {3 7 61}
  51,  3847,  (1923 1),   (481 3),    111100000111, {3847}
  51,  3851,  (1925 1),   (963 2),    111100001011, {3851}
  51,  3863,  (1931 1),   (483 3),    111100010111, {3863}
  51,  3865,   (483 3),  (1933 1),    111100011001, {5 773}
  51,  3869,   (967 2),  (1935 1),    111100011101, {53 73}
  51,  3879,  (1939 1),   (485 3),    111100100111, {3 431}
  51,  3881,   (485 3),  (1941 1),    111100101001, {3881}
  51,  3897,   (487 3),  (1949 1),    111100111001, {3 433}
  51,  3899,  (1949 1),   (975 2),    111100111011, {7 557}
  51,  3901,   (975 2),  (1951 1),    111100111101, {47 83}
  51,  3913,   (489 3),  (1957 1),    111101001001, {7 13 43}
  51,  3933,   (983 2),  (1967 1),    111101011101, {3 19 23}
  51,  3955,  (1977 1),   (989 2),    111101110011, {5 7 113}
  51,  3959,  (1979 1),   (495 3),    111101110111, {37 107}
  51,  3969,    (31 7),  (1985 1),    111110000001, {3 7}
  51,  3977,   (497 3),  (1989 1),    111110001001, {41 97}
  51,  4005,  (1001 2),  (2003 1),    111110100101, {3 5 89}
  51,  4039,  (2019 1),   (505 3),    111111000111, {7 577}
  51,  4041,   (505 3),  (2021 1),    111111001001, {3 449}
  51,  7359,  (3679 1),   (115 6),   1110010111111, {3 11 223}
  51,  7685,  (1921 2),  (3843 1),   1111000000101, {5 29 53}
  51,  7691,  (3845 1),  (1923 2),   1111000001011, {7691}
  51,  7695,  (3847 1),   (481 4),   1111000001111, {3 5 19}
  51,  7703,  (3851 1),   (963 3),   1111000010111, {7703}
  51,  7705,   (963 3),  (3853 1),   1111000011001, {5 23 67}
  51,  7725,  (1931 2),  (3863 1),   1111000101101, {3 5 103}
  51,  7729,   (483 4),  (3865 1),   1111000110001, {59 131}
  51,  7731,  (3865 1),  (1933 2),   1111000110011, {3 859}
  51,  7739,  (3869 1),  (1935 2),   1111000111011, {71 109}
  51,  7741,  (1935 2),  (3871 1),   1111000111101, {7741}
  51,  7753,   (969 3),  (3877 1),   1111001001001, {7753}
  51,  7759,  (3879 1),   (485 4),   1111001001111, {7759}
  51,  7761,   (485 4),  (3881 1),   1111001010001, {3 13 199}
  51,  7763,  (3881 1),  (1941 2),   1111001010011, {7 1109}
  51,  7795,  (3897 1),  (1949 2),   1111001110011, {5 1559}
