# Odd core environment

This is a list of the first 5000 integers in consecutive order. For every integer n:
- `oc` is the 2-adic "odd core" of the number, after removing all factors of 2. For odd numbers, oc is the number itself.
- `k` is the 2-adic exponent, the number of halvings (n = oc * 2^k). For odd numbers, k is always 0.
- `dist` is the odd-to-odd Collatz stopping distance of oc.
- ternary and binary representations of the oc are given.
- residues of oc modulo a set of small primes then follow (`m3`, `m5`, etc).

oc,k,dist,base3,base2,m3,m5,m7,m11,m13,m17,m19,m23,m29,m31
1455,0,50,1222220,10110101111,0,0,6,3,12,10,11,6,5,29
91,4,33,10101,1011011,1,1,0,3,0,6,15,22,4,29
1457,0,9,1222222,10110110001,2,2,1,5,1,12,13,8,7,0
729,1,9,1000000,1011011001,0,4,1,3,1,15,7,16,4,16
1459,0,9,2000001,10110110011,1,4,3,7,3,14,15,10,9,2
365,2,33,111112,101101101,2,0,1,2,1,8,4,20,17,24
1461,0,33,2000010,10110110101,0,1,5,9,5,16,17,12,11,4
731,1,50,1000002,1011011011,2,1,3,5,3,0,9,18,6,18
1463,0,50,2000012,10110110111,2,3,0,0,7,1,0,14,13,6
183,3,33,20210,10110111,0,3,1,7,1,13,12,22,9,28
1465,0,9,2000021,10110111001,1,0,2,2,9,3,2,16,15,8
733,1,33,1000011,1011011101,1,3,5,7,5,2,11,20,8,20
1467,0,50,2000100,10110111011,0,2,4,4,11,5,4,18,17,10
367,2,14,111121,101101111,1,2,3,4,3,10,6,22,19,26
1469,0,14,2000102,10110111101,2,4,6,6,0,7,6,20,19,12
735,1,14,1000020,1011011111,0,0,0,9,7,4,13,22,10,22
1471,0,62,2000111,10110111111,1,1,1,8,2,9,8,22,21,14
23,6,4,212,10111,2,3,2,1,10,6,4,0,23,23
1473,0,33,2000120,10111000001,0,3,3,10,4,11,10,1,23,16
737,1,50,1000022,1011100001,2,2,2,0,9,6,15,1,12,24
1475,0,50,2000122,10111000011,2,0,5,1,6,13,12,3,25,18
369,2,4,111200,101110001,0,4,5,6,5,12,8,1,21,28
1477,0,4,2000201,10111000101,1,2,0,3,8,15,14,5,27,20
739,1,4,1000101,1011100011,1,4,4,2,11,8,17,3,14,26
1479,0,33,2000210,10111000111,0,4,2,5,10,0,16,7,0,22
185,3,14,20212,10111001,2,0,3,9,3,15,14,1,11,30
1481,0,9,2000212,10111001001,2,1,4,7,12,2,18,9,2,24
741,1,14,1000110,1011100101,0,1,6,4,0,10,0,5,16,28
1483,0,50,2000221,10111001011,1,3,6,9,1,4,1,11,4,26
371,2,14,111202,101110011,2,1,0,8,7,14,10,3,23,30
1485,0,14,2001000,10111001101,0,0,1,0,3,6,3,13,6,28
743,1,33,1000112,1011100111,2,3,1,6,2,12,2,7,18,30
1487,0,33,2001002,10111001111,2,2,3,2,5,8,5,15,8,30
93,4,4,10110,1011101,0,3,2,5,2,8,17,1,6,0
1489,0,14,2001011,10111010001,1,4,5,4,7,10,7,17,10,1
745,1,31,1000121,1011101001,1,0,3,8,4,14,4,9,20,1
1491,0,31,2001020,10111010011,0,1,0,6,9,12,9,19,12,3
373,2,4,111211,101110101,1,3,2,10,9,16,12,5,25,1
1493,0,4,2001022,10111010101,2,3,2,8,11,14,11,21,14,5
747,1,14,1000200,1011101011,0,2,5,10,6,16,6,11,22,3
1495,0,14,2001101,10111010111,1,0,4,10,0,16,13,0,16,7
187,3,14,20221,10111011,1,2,5,0,5,0,16,3,13,1
1497,0,14,2001110,10111011001,0,2,6,1,2,1,15,2,18,9
749,1,14,1000202,1011101101,2,4,0,1,8,1,8,13,24,5
1499,0,14,2001112,10111011011,2,4,1,3,4,3,17,4,20,11
375,2,14,111220,101110111,0,0,4,1,11,1,14,7,27,3
1501,0,14,2001121,10111011101,1,1,3,5,6,5,0,6,22,13
751,1,50,1000211,1011101111,1,1,2,3,10,3,10,15,26,7
1503,0,50,2001200,10111011111,0,3,5,7,8,7,2,8,24,15
47,5,38,1202,101111,2,2,5,3,8,13,9,1,18,16
1505,0,11,2001202,10111100001,2,0,0,9,10,9,4,10,26,17
753,1,4,1000220,1011110001,0,3,4,5,12,5,12,17,28,9
1507,0,4,2001211,10111100011,1,2,2,0,12,11,6,12,28,19
377,2,21,111222,101111001,2,2,6,3,0,3,16,9,0,5
1509,0,21,2001220,10111100101,0,4,4,2,1,13,8,14,1,21
755,1,21,1000222,1011110011,2,0,6,7,1,7,14,19,1,11
1511,0,31,2001222,10111100111,2,1,6,4,3,15,10,16,3,23
189,3,38,21000,10111101,0,4,0,2,7,2,18,5,15,3
1513,0,21,2002001,10111101001,1,3,1,6,5,0,12,18,5,25
757,1,38,1001001,1011110101,1,2,1,9,3,9,16,21,3,13
1515,0,50,2002010,10111101011,0,0,3,8,7,2,14,20,7,27
379,2,19,112001,101111011,1,4,1,5,2,5,18,11,2,7
1517,0,19,2002012,10111101101,2,2,5,10,9,4,16,22,9,29
759,1,19,1001010,1011110111,0,4,3,0,5,11,18,0,5,15
1519,0,55,2002021,10111101111,1,4,0,1,11,6,18,1,11,0
95,4,38,10112,1011111,2,0,4,7,4,10,0,3,8,2
1521,0,38,2002100,10111110001,0,1,2,3,0,8,1,3,13,2
761,1,9,1001012,1011111001,2,1,5,2,7,13,1,2,7,17
1523,0,9,2002102,10111110011,2,3,4,5,2,10,3,5,15,4
381,2,38,112010,101111101,0,1,3,7,4,7,1,13,4,9
1525,0,38,2002111,10111110101,1,0,6,7,4,12,5,7,17,6
763,1,55,1001021,1011111011,1,3,0,4,9,15,3,4,9,19
1527,0,55,2002120,10111110111,0,2,1,9,6,14,7,9,19,8
191,3,14,21002,10111111,2,1,2,4,9,4,1,7,17,5
1529,0,19,2002122,10111111001,2,4,3,0,8,16,9,11,21,10
765,1,14,1001100,1011111101,0,0,2,6,11,0,5,6,11,21
1531,0,19,2002201,10111111011,1,1,5,2,10,1,11,13,23,12
383,2,14,112012,101111111,2,3,5,9,6,9,3,15,6,11
1533,0,14,2002210,10111111101,0,3,0,4,12,3,13,15,25,14
767,1,19,1001102,1011111111,2,2,4,8,0,2,7,8,13,23
1535,0,19,2002212,10111111111,2,0,2,6,1,5,15,17,27,16
3,9,2,10,11,0,3,3,3,3,3,3,3,3,3
1537,0,55,2002221,11000000001,1,2,4,8,3,7,17,19,0,18
769,1,9,1001111,1100000001,1,4,6,10,2,4,9,10,15,25
1539,0,9,2010000,11000000011,0,4,6,10,5,9,0,21,2,20
385,2,9,112021,110000001,1,0,0,0,8,11,5,17,8,13
1541,0,9,2010002,11000000101,2,1,1,1,7,11,2,0,4,22
771,1,9,1001120,1100000011,0,1,1,1,4,6,11,12,17,27
1543,0,38,2010011,11000000111,1,3,3,3,9,13,4,2,6,24
193,3,43,21011,11000001,1,3,4,6,11,6,3,9,19,7
1545,0,19,2010020,11000001001,0,0,5,5,11,15,6,4,8,26
773,1,43,1001122,1100000101,2,3,3,3,6,8,13,14,19,29
1547,0,9,2010022,11000001011,2,2,0,7,0,0,8,6,10,28
387,2,43,112100,110000011,0,2,2,2,10,13,7,19,10,15
1549,0,43,2010101,11000001101,1,4,2,9,2,2,10,8,12,30
775,1,55,1001201,1100000111,1,0,5,5,8,10,15,16,21,0
1551,0,55,2010110,11000001111,0,1,4,0,4,4,12,10,14,1
97,4,43,10121,1100001,1,2,6,9,6,12,2,5,10,4
1553,0,43,2010112,11000010001,2,3,6,2,6,6,14,12,16,3
777,1,9,1001210,1100001001,0,2,0,7,10,12,17,18,23,2
1555,0,9,2010121,11000010011,1,0,1,4,8,8,16,14,18,5
389,2,43,112102,110000101,2,4,4,4,12,15,9,21,12,17
1557,0,43,2010200,11000010101,0,2,3,6,10,10,18,16,20,7
779,1,19,1001212,1100001011,2,4,2,9,12,14,0,20,25,4
1559,0,19,2010202,11000010111,2,4,5,8,12,12,1,18,22,9
195,3,43,21020,11000011,0,0,6,8,0,8,5,11,21,9
1561,0,19,2010211,11000011001,1,1,0,10,1,14,3,20,24,11
781,1,43,1001221,1100001101,1,1,4,0,1,16,2,22,27,6
1563,0,55,2010220,11000011011,0,3,2,1,3,16,5,22,26,13
391,2,43,112111,110000111,1,1,6,6,1,0,11,0,14,19
1565,0,43,2010222,11000011101,2,0,4,3,5,1,7,1,28,15
783,1,43,1002000,1100001111,0,3,6,2,3,1,4,1,0,8
1567,0,19,2011001,11000011111,1,2,6,5,7,3,9,3,1,17
49,5,7,1211,110001,1,4,0,5,10,15,11,3,20,18
1569,0,9,2011010,11000100001,0,4,1,7,9,5,11,5,3,19
785,1,43,1002002,1100010001,2,0,1,4,5,3,6,3,2,10
1571,0,43,2011012,11000100011,2,1,3,9,11,7,13,7,5,21
393,2,19,112120,110001001,0,3,1,8,3,2,13,2,16,21
1573,0,19,2011021,11000100101,1,3,5,0,0,9,15,9,7,23
787,1,19,1002011,1100010011,1,2,3,6,7,5,8,5,4,12
1575,0,19,2011100,11000100111,0,0,0,2,2,11,17,11,9,25
197,3,7,21022,11000101,2,2,1,10,2,10,7,13,23,11
1577,0,31,2011102,11000101001,2,2,2,4,4,13,0,13,11,27
789,1,7,1002020,1100010101,0,4,5,8,9,7,10,7,6,14
1579,0,43,2011111,11000101011,1,4,4,6,6,15,2,15,13,29
395,2,26,112122,110001011,2,0,3,10,5,4,15,4,18,23
1581,0,26,2011120,11000101101,0,1,6,8,8,0,4,17,15,0
791,1,26,1002022,1100010111,2,1,0,10,11,9,12,9,8,16
1583,0,60,2011122,11000101111,2,3,1,10,10,2,6,19,17,2
99,4,7,10200,1100011,0,4,1,0,8,14,4,7,12,6
1585,0,26,2011201,11000110001,1,0,3,1,12,4,8,21,19,4
793,1,26,1002101,1100011001,1,3,2,1,0,11,14,11,10,18
1587,0,26,2011210,11000110011,0,2,5,3,1,6,10,0,21,6
397,2,7,112201,110001101,1,2,5,1,7,6,17,6,20,25
1589,0,7,2011212,11000110101,2,4,0,5,3,8,12,2,23,8
795,1,36,1002110,1100011011,0,0,4,3,2,13,16,13,12,20
1591,0,36,2011221,11000110111,1,1,2,7,5,10,14,4,25,10
199,3,43,21101,11000111,1,4,3,1,4,12,9,15,25,13
1593,0,43,2012000,11000111001,0,3,4,9,7,12,16,6,27,12
797,1,43,1002112,1100011101,2,2,6,5,4,15,18,15,14,22
1595,0,24,2012002,11000111011,2,0,6,0,9,14,18,8,0,14
399,2,43,112210,110001111,0,4,0,3,9,8,0,8,22,27
1597,0,43,2012011,11000111101,1,2,1,2,11,16,1,10,2,16
799,1,24,1002121,1100011111,1,4,1,7,6,0,1,17,16,24
1599,0,24,2012020,11000111111,0,4,3,4,0,1,3,12,4,18
25,6,7,221,11001,1,0,4,3,12,8,6,2,25,25
1601,0,19,2012022,11001000001,2,1,5,6,2,3,5,14,6,20
801,1,19,1002200,1100100001,0,1,3,9,8,2,3,19,18,26
1603,0,19,2012101,11001000011,1,3,0,8,4,5,7,16,8,22
401,2,4,112212,110010001,2,1,2,5,11,10,2,10,24,29
1605,0,4,2012110,11001000101,0,0,2,10,6,7,9,18,10,24
803,1,4,1002202,1100100011,2,3,5,0,10,4,5,21,20,28
1607,0,60,2012112,11001000111,2,2,4,1,8,9,11,20,12,26
201,3,4,21110,11001001,0,1,5,3,6,14,11,17,27,15
1609,0,24,2012121,11001001001,1,4,6,3,10,11,13,22,14,28
805,1,4,1002211,1100100101,1,0,0,2,12,6,7,0,22,30
1611,0,4,2012200,11001001011,0,1,1,5,12,13,15,1,16,30
403,2,4,112221,110010011,1,3,4,7,0,12,4,12,26,0
1613,0,4,2012202,11001001101,2,3,3,7,1,15,17,3,18,1
807,1,24,1002220,1100100111,0,2,2,4,1,8,9,2,24,1
1615,0,24,2012211,11001001111,1,0,5,9,3,0,0,5,20,3
101,4,7,10202,1100101,2,1,3,2,10,16,6,9,14,8
1617,0,14,2012220,11001010001,0,2,0,0,5,2,2,7,22,5
809,1,14,1002222,1100101001,2,4,4,6,3,10,11,4,26,3
1619,0,14,2012222,11001010011,2,4,2,2,7,4,4,9,24,7
405,2,7,120000,110010101,0,0,6,9,2,14,6,14,28,2
1621,0,7,2020001,11001010101,1,1,4,4,9,6,6,11,26,9
811,1,48,1010001,1100101011,1,1,6,8,5,12,13,6,28,5
1623,0,48,2020010,11001010111,0,3,6,6,11,8,8,13,28,11
203,3,12,21112,11001011,2,3,0,5,8,16,13,19,0,17
1625,0,48,2020012,11001011001,2,0,1,8,0,10,10,15,1,13
813,1,12,1010010,1100101101,0,3,1,10,7,14,15,8,1,7
1627,0,24,2020021,11001011011,1,2,3,10,2,12,12,17,3,15
407,2,12,120002,110010111,2,2,1,0,4,16,8,16,1,4
1629,0,12,2020100,11001011101,0,4,5,1,4,14,14,19,5,17
815,1,48,1010012,1100101111,2,0,3,1,9,16,17,10,3,9
1631,0,48,2020102,11001011111,2,1,0,3,6,16,16,21,7,19
51,5,7,1220,110011,0,1,2,7,12,0,13,5,22,20
1633,0,48,2020111,11001100001,1,3,2,5,8,1,18,0,9,21
817,1,12,1010021,1100110001,1,2,5,3,11,1,0,12,5,11
1635,0,12,2020120,11001100011,0,0,4,7,10,3,1,2,11,23
409,2,12,120011,110011001,1,4,3,2,6,1,10,18,3,6
1637,0,12,2020122,11001100101,2,2,6,9,12,5,3,4,13,25
819,1,12,1010100,1100110011,0,4,0,5,0,3,2,14,7,13
1639,0,36,2020201,11001100111,1,4,1,0,1,7,5,6,15,27
205,3,7,21121,11001101,1,0,2,7,10,1,15,21,2,19
1641,0,24,2020210,11001101001,0,1,3,2,3,9,7,8,17,29
821,1,7,1010102,1100110101,2,1,2,7,2,5,4,16,9,15
1643,0,24,2020212,11001101011,2,3,5,4,5,11,9,10,19,0
411,2,48,120020,110011011,0,1,5,4,8,3,12,20,5,8
1645,0,48,2020221,11001101101,1,0,0,6,7,13,11,12,21,2
823,1,48,1010111,1100110111,1,3,4,9,4,7,6,18,11,17
1647,0,48,2021000,11001101111,0,2,2,8,9,15,13,14,23,4
103,4,31,10211,1100111,1,3,5,4,12,1,8,11,16,10
1649,0,7,2021002,11001110001,2,4,4,10,11,0,15,16,25,6
825,1,48,1010120,1100111001,0,0,6,0,6,9,8,20,13,19
1651,0,48,2021011,11001110011,1,1,6,1,0,2,17,18,27,8
413,2,31,120022,110011101,2,3,0,6,10,5,14,22,7,10
1653,0,31,2021020,11001110101,0,3,1,3,2,4,0,20,0,10
827,1,12,1010122,1100111011,2,2,1,2,8,11,10,22,15,21
1655,0,12,2021022,11001110111,2,0,3,5,4,6,2,22,2,12
207,3,31,21200,11001111,0,2,4,9,12,3,17,0,4,21
1657,0,24,2021101,11001111001,1,2,5,7,6,8,4,1,4,14
829,1,31,1010201,1100111101,1,4,3,4,10,13,12,1,17,23
1659,0,12,2021110,11001111011,0,4,0,9,8,10,6,3,6,16
415,2,48,120101,110011111,1,0,2,8,12,7,16,1,9,12
1661,0,48,2021112,11001111101,2,1,2,0,10,12,8,5,8,18
831,1,48,1010210,1100111111,0,1,5,6,12,15,14,3,19,25
1663,0,24,2021121,11001111111,1,3,4,2,12,14,10,7,10,20
13,7,2,111,1101,1,3,6,2,0,13,13,13,13,13
1665,0,65,2021200,11010000001,0,0,6,4,1,16,12,9,12,22
833,1,7,1010212,1101000001,2,3,0,8,1,0,16,5,21,27
1667,0,7,2021202,11010000011,2,2,1,6,3,1,14,11,14,24
417,2,48,120110,110100001,0,2,4,10,1,9,18,3,11,14
1669,0,48,2021211,11010000101,1,4,3,8,5,3,16,13,16,26
835,1,48,1010221,1101000011,1,0,2,10,3,2,18,7,23,29
1671,0,12,2021220,11010000111,0,1,5,10,7,5,18,15,18,28
209,3,12,21202,11010001,2,4,6,0,1,5,0,2,6,23
1673,0,31,2021222,11010001001,2,3,0,1,9,7,1,17,20,30
837,1,12,1011000,1101000101,0,2,4,1,5,4,1,9,25,0
1675,0,48,2022001,11010001011,1,0,2,3,11,9,3,19,22,1
419,2,12,120112,110100011,2,4,6,1,3,11,1,5,13,16
1677,0,12,2022010,11010001101,0,2,4,5,0,11,5,21,24,3
839,1,29,1011002,1101000111,2,4,6,3,7,6,3,11,27,2
1679,0,29,2022012,11010001111,2,4,6,7,2,13,7,0,26,5
105,4,12,10220,1101001,0,0,0,6,1,3,10,13,18,12
1681,0,12,2022021,11010010001,1,1,1,9,4,15,9,2,28,7
841,1,12,1011011,1101001001,1,1,1,5,9,8,5,13,0,4
1683,0,12,2022100,11010010011,0,3,3,0,6,0,11,4,1,9
421,2,12,120121,110100101,1,1,1,3,5,13,3,7,15,18
1685,0,12,2022102,11010010101,2,0,5,2,8,2,13,6,3,11
843,1,12,1011020,1101001011,0,3,3,7,11,10,7,15,2,6
1687,0,12,2022111,11010010111,1,2,0,4,10,4,15,8,5,13
211,3,12,21211,11010011,1,1,1,2,3,7,2,4,8,25
1689,0,9,2022120,11010011001,0,4,2,6,12,6,17,10,7,15
845,1,12,1011022,1101001101,2,0,5,9,0,12,9,17,4,8
1691,0,48,2022122,11010011011,2,1,4,8,1,8,0,12,9,17
423,2,9,120200,110100111,0,3,3,5,7,15,5,9,17,20
1693,0,9,2022201,11010011101,1,3,6,10,3,10,2,14,11,19
847,1,9,1011101,1101001111,1,2,0,0,2,14,11,19,6,10
1695,0,65,2022210,11010011111,0,0,1,1,5,12,4,16,13,21
53,5,2,1222,110101,2,3,4,9,1,2,15,7,24,22
1697,0,9,2022212,11010100001,2,2,3,3,7,14,6,18,15,23
849,1,19,1011110,1101010001,0,4,2,2,4,16,13,21,8,12
1699,0,19,2022221,11010100011,1,4,5,5,9,16,8,20,17,25
425,2,19,120202,110101001,2,0,5,7,9,0,7,11,19,22
1701,0,19,2100000,11010100101,0,1,0,7,11,1,10,22,19,27
851,1,19,1011112,1101010011,2,1,4,4,6,1,15,0,10,14
1703,0,19,2100002,11010100111,2,3,2,9,0,3,12,1,21,29
213,3,2,21220,11010101,0,3,3,4,5,9,4,6,10,27
1705,0,48,2100011,11010101001,1,0,4,0,2,5,14,3,23,0
853,1,2,1011121,1101010101,1,3,6,6,8,3,17,2,12,16
1707,0,53,2100020,11010101011,0,2,6,2,4,7,16,5,25,2
427,2,17,120211,110101011,1,2,0,9,11,2,9,13,21,24
1709,0,17,2100022,11010101101,2,4,1,4,6,9,18,7,27,4
855,1,17,1011200,1101010111,0,0,1,8,10,5,0,4,14,18
1711,0,53,2100101,11010101111,1,1,3,6,8,11,1,9,0,6
107,4,36,10222,1101011,2,2,2,8,3,5,12,15,20,14
1713,0,7,2100110,11010110001,0,3,5,8,10,13,3,11,2,8
857,1,7,1011202,1101011001,2,2,3,10,12,7,2,6,16,20
1715,0,7,2100112,11010110011,2,0,0,10,12,15,5,13,4,10
429,2,36,120220,110101101,0,4,2,0,0,4,11,15,23,26
1717,0,36,2100121,11010110101,1,2,2,1,1,0,7,15,6,12
859,1,53,1011211,1101011011,1,4,5,1,1,9,4,8,18,22
1719,0,53,2100200,11010110111,0,4,4,3,3,2,9,17,8,14
215,3,36,21222,11010111,2,0,5,6,7,11,6,8,12,29
1721,0,17,2100202,11010111001,2,1,6,5,5,4,11,19,10,16
861,1,36,1011220,1101011101,0,1,0,3,3,11,6,10,20,24
1723,0,17,2100211,11010111011,1,3,1,7,7,6,13,21,12,18
431,2,12,120222,110101111,2,1,4,2,2,6,13,17,25,28
1725,0,12,2100220,11010111101,0,0,3,9,9,8,15,0,14,20
863,1,12,1011222,1101011111,2,3,2,5,5,13,8,12,22,26
1727,0,17,2100222,11010111111,2,2,5,0,11,10,17,2,16,22
27,6,41,1000,11011,0,2,6,5,1,10,8,4,27,27
1729,0,36,2101001,11011000001,1,4,0,2,0,12,0,4,18,24
865,1,53,1012001,1101100001,1,0,4,7,7,15,10,14,24,28
1731,0,53,2101010,11011000011,0,1,2,4,2,14,2,6,20,26
433,2,7,121001,110110001,1,3,6,4,4,8,15,19,27,30
1733,0,7,2101012,11011000101,2,3,4,6,4,16,4,8,22,28
867,1,7,1012010,1101100011,0,2,6,9,9,0,12,16,26,30
1735,0,36,2101021,11011000111,1,0,6,8,6,1,6,10,24,30
217,3,7,22001,11011001,1,2,0,8,9,13,8,10,14,0
1737,0,36,2101100,11011001001,0,2,1,10,8,3,8,12,26,1
869,1,7,1012012,1101100101,2,4,1,0,11,2,14,18,28,1
1739,0,17,2101102,11011001011,2,4,3,1,10,5,10,14,28,3
435,2,7,121010,110110011,0,0,1,6,6,10,17,21,0,1
1741,0,7,2101111,11011001101,1,1,5,3,12,7,12,16,1,5
871,1,65,1012021,1101100111,1,1,3,2,0,4,16,20,1,3
1743,0,65,2101120,11011001111,0,3,0,5,1,9,14,18,3,7
109,4,41,11001,1101101,1,4,4,10,5,7,14,17,22,16
1745,0,53,2101122,11011010001,2,0,2,7,3,11,16,20,5,9
873,1,53,1012100,1101101001,0,3,5,4,2,6,18,22,3,5
1747,0,53,2101201,11011010011,1,2,4,9,5,13,18,22,7,11
437,2,41,121012,110110101,2,2,3,8,8,12,0,0,2,3
1749,0,41,2101210,11011010101,0,4,6,0,7,15,1,1,9,13
875,1,7,1012102,1101101011,2,0,0,6,4,8,1,1,5,7
1751,0,7,2101212,11011010111,2,1,1,2,9,0,3,3,11,15
219,3,17,22010,11011011,0,4,2,10,11,15,10,12,16,2
1753,0,17,2101221,11011011001,1,3,3,4,11,2,5,5,13,17
877,1,17,1012111,1101101101,1,2,2,8,6,10,3,3,7,9
1755,0,12,2102000,11011011011,0,0,5,6,0,4,7,7,15,19
439,2,17,121021,110110111,1,4,5,10,10,14,2,2,4,5
1757,0,17,2102002,11011011101,2,2,0,8,2,6,9,9,17,21
879,1,53,1012120,1101101111,0,4,4,10,8,12,5,5,9,11
1759,0,53,2102011,11011011111,1,4,2,10,4,8,11,11,19,23
55,5,41,2001,110111,1,0,6,0,3,4,17,9,26,24
1761,0,36,2102020,11011100001,0,1,4,1,6,10,13,13,21,25
881,1,41,1012122,1101110001,2,1,6,1,10,14,7,7,11,13
1763,0,41,2102022,11011100011,2,3,6,3,8,12,15,15,23,27
441,2,7,121100,110111001,0,1,0,1,12,16,4,4,6,7
1765,0,7,2102101,11011100101,1,0,1,5,10,14,17,17,25,29
883,1,7,1012201,1101110011,1,3,1,3,12,16,9,9,13,15
1767,0,53,2102110,11011100111,0,2,3,7,12,16,0,19,27,0
221,3,41,22012,11011101,2,1,4,1,0,0,12,14,18,4
1769,0,17,2102112,11011101001,2,4,5,9,1,1,2,21,0,2
885,1,41,1012210,1101110101,0,0,3,5,1,1,11,11,15,17
1771,0,17,2102121,11011101011,1,1,0,0,3,3,4,0,2,4
443,2,17,121102,110111011,2,3,2,3,1,1,6,6,8,9
1773,0,17,2102200,11011101101,0,3,2,2,5,5,6,2,4,6
887,1,17,1012212,1101110111,2,2,5,7,3,3,13,13,17,19
1775,0,29,2102202,11011101111,2,0,4,4,7,7,8,4,6,8
111,4,24,11010,1101111,0,1,6,1,7,9,16,19,24,18
1777,0,41,2102211,11011110001,1,2,6,6,9,9,10,6,8,10
889,1,53,1012221,1101111001,1,4,0,9,5,5,15,15,19,21
1779,0,53,2102220,11011110011,0,4,1,8,11,11,12,8,10,12
445,2,24,121111,110111101,1,0,4,5,3,3,8,8,10,11
1781,0,24,2102222,11011110101,2,1,3,10,0,13,14,10,12,14
891,1,14,1020000,1101111011,0,1,2,0,7,7,17,17,21,23
1783,0,14,2110001,11011110111,1,3,5,1,2,15,16,12,14,16
223,3,24,22021,11011111,1,3,6,3,2,2,14,16,20,6
1785,0,7,2110010,11011111001,0,0,0,3,4,0,18,14,16,18
893,1,24,1020002,1101111101,2,3,4,2,9,9,0,19,23,25
1787,0,14,2110012,11011111011,2,2,2,5,6,2,1,16,18,20
447,2,34,121120,110111111,0,2,6,7,5,5,10,10,12,13
1789,0,34,2110021,11011111101,1,4,4,7,8,4,3,18,20,22
895,1,34,1020011,1101111111,1,0,6,4,11,11,2,21,25,27
1791,0,34,2110100,11011111111,0,1,6,9,10,6,5,20,22,24
7,8,5,21,111,1,2,0,7,7,7,7,7,7,7
1793,0,41,2110102,11100000001,2,3,1,0,12,8,7,22,24,26
897,1,22,1020020,1110000001,0,2,1,6,0,13,4,0,27,29
1795,0,22,2110111,11100000011,1,0,3,2,1,10,9,1,26,28
449,2,41,121122,111000001,2,4,1,9,7,7,12,12,14,15
1797,0,41,2110120,11100000101,0,2,5,4,3,12,11,3,28,30
899,1,41,1020022,1110000011,2,4,3,8,2,15,6,2,0,0
1799,0,22,2110122,11100000111,2,4,0,6,5,14,13,5,1,1
225,3,17,22100,11100001,0,0,1,5,4,4,16,18,22,8
1801,0,58,2110201,11100001001,1,1,2,8,7,16,15,7,3,3
901,1,17,1020101,1110000101,1,1,5,10,4,0,8,4,2,2
1803,0,12,2110210,11100001011,0,3,4,10,9,1,17,9,5,5
451,2,17,121201,111000011,1,1,3,0,9,9,14,14,16,17
1805,0,17,2110212,11100001101,2,0,6,1,11,3,0,11,7,7
903,1,41,1020110,1110000111,0,3,0,1,6,2,10,6,4,4
1807,0,41,2110221,11100001111,1,2,1,3,0,5,2,13,9,9
113,4,2,11012,1110001,2,3,1,3,9,11,18,21,26,20
1809,0,17,2111000,11100010001,0,4,3,5,2,7,4,15,11,11
905,1,22,1020112,1110001001,2,0,2,3,8,4,12,8,6,6
1811,0,22,2111002,11100010011,2,1,5,7,4,9,6,17,13,13
453,2,2,121210,111000101,0,3,5,2,11,11,16,16,18,19
1813,0,2,2111011,11100010101,1,3,0,9,6,11,8,19,15,15
907,1,17,1020121,1110001011,1,2,4,5,10,6,14,10,8,8
1815,0,17,2111020,11100010111,0,0,2,0,8,13,10,21,17,17
227,3,2,22102,11100011,2,2,3,7,6,6,18,20,24,10
1817,0,22,2111022,11100011001,2,2,4,2,10,15,12,0,19,19
909,1,2,1020200,1110001101,0,4,6,7,12,8,16,12,10,10
1819,0,58,2111101,11100011011,1,4,6,4,12,0,14,2,21,21
455,2,12,121212,111000111,2,0,0,4,0,13,18,18,20,21
1821,0,12,2111110,11100011101,0,1,1,6,1,2,16,4,23,23
911,1,12,1020202,1110001111,2,1,1,9,1,10,18,14,12,12
1823,0,58,2111112,11100011111,2,3,3,8,3,4,18,6,25,25
57,5,10,2010,111001,0,2,1,2,5,6,0,11,28,26
1825,0,12,2111121,11100100001,1,0,5,10,5,6,1,8,27,27
913,1,46,1020211,1110010001,1,3,3,0,3,12,1,16,14,14
1827,0,46,2111200,11100100011,0,2,0,1,7,8,3,10,0,29
457,2,46,121221,111001001,1,2,2,6,2,15,1,20,22,23
1829,0,46,2111202,11100100101,2,4,2,3,9,10,5,12,2,0
915,1,46,1020220,1110010011,0,0,5,2,5,14,3,18,16,16
1831,0,22,2111211,11100100111,1,1,4,5,11,12,7,14,4,2
229,3,10,22111,11100101,1,4,5,9,8,8,1,22,26,12
1833,0,12,2111220,11100101001,0,3,6,7,0,14,9,16,6,4
917,1,10,1020222,1110010101,2,2,0,4,7,16,5,20,18,18
1835,0,46,2111222,11100101011,2,0,1,9,2,16,11,18,8,6
459,2,46,122000,111001011,0,4,4,8,4,0,3,22,24,25
1837,0,46,2112001,11100101101,1,2,3,0,4,1,13,20,10,8
919,1,46,1021001,1110010111,1,4,2,6,9,1,7,22,20,20
1839,0,58,2112010,11100101111,0,4,5,2,6,3,15,22,12,10
115,4,10,11021,1110011,1,0,3,5,11,13,1,0,28,22
1841,0,46,2112012,11100110001,2,1,0,4,8,5,17,1,14,12
921,1,46,1021010,1110011001,0,1,4,8,11,3,9,1,22,22
1843,0,46,2112021,11100110011,1,3,2,6,10,7,0,3,16,14
461,2,10,122002,111001101,2,1,6,10,6,2,5,1,26,27
1845,0,10,2112100,11100110101,0,0,4,8,12,9,2,5,18,16
923,1,22,1021012,1110011011,2,3,6,10,0,5,11,3,24,24
1847,0,22,2112102,11100110111,2,2,6,10,1,11,4,7,20,18
