# Goldbach partions

Every Goldbach pair represents a prime symmetry around n/2.

`n`       a positive integer
`factors` the prime factors of n
`gbpairs` the Goldbach prime pairs that sum to n, if n is even and greater than 4

```csv
n,     factors,    gbpairs
328,   2³⋅41,      11+317 17+311 47+281 59+269 71+257 89+239 101+227 131+197 137+191 149+179
329,   7⋅47,       
330,   2⋅3⋅5⋅11,   13+317 17+313 19+311 23+307 37+293 47+283 53+277 59+271 61+269 67+263 73+257 79+251 89+241 97+233 101+229 103+227 107+223 131+199 137+193 139+191 149+181 151+179 157+173 163+167
331,   331,        
332,   2²⋅83,      19+313 61+271 103+229 109+223 139+193 151+181
333,   3²⋅37,      
334,   2⋅167,      3+331 17+317 23+311 41+293 53+281 71+263 83+251 101+233 107+227 137+197 167+167
335,   5⋅67,       
336,   2⁴⋅3⋅7,     5+331 19+317 23+313 29+307 43+293 53+283 59+277 67+269 73+263 79+257 97+239 103+233 107+229 109+227 113+223 137+199 139+197 157+179 163+173
337,   337,        
338,   2⋅13²,      7+331 31+307 61+277 67+271 97+241 109+229 127+211 139+199 157+181
339,   3⋅113,      
340,   2²⋅5⋅17,    3+337 23+317 29+311 47+293 59+281 71+269 83+257 89+251 101+239 107+233 113+227 149+191 167+173
341,   11⋅31,      
342,   2⋅3²⋅19,    5+337 11+331 29+313 31+311 59+283 61+281 71+271 73+269 79+263 101+241 103+239 109+233 113+229 131+211 149+193 151+191 163+179
343,   7³,         
344,   2³⋅43,      7+337 13+331 31+313 37+307 61+283 67+277 73+271 103+241 151+193 163+181
345,   3⋅5⋅23,     
346,   2⋅173,      29+317 53+293 83+263 89+257 107+239 113+233 149+197 167+179 173+173
347,   347,        
348,   2²⋅3⋅29,    11+337 17+331 31+317 37+311 41+307 67+281 71+277 79+269 97+251 107+241 109+239 137+211 149+199 151+197 157+191 167+181
349,   349,        
350,   2⋅5²⋅7,     3+347 13+337 19+331 37+313 43+307 67+283 73+277 79+271 109+241 127+223 139+211 151+199 157+193
351,   3³⋅13,      
352,   2⁵⋅11,      3+349 5+347 41+311 59+293 71+281 83+269 89+263 101+251 113+239 173+179
353,   353,        
354,   2⋅3⋅59,     5+349 7+347 17+337 23+331 37+317 41+313 43+311 47+307 61+293 71+283 73+281 83+271 97+257 103+251 113+241 127+227 131+223 157+197 163+191 173+181
355,   5⋅71,       
356,   2²⋅89,      3+353 7+349 19+337 43+313 73+283 79+277 127+229 157+199 163+193
357,   3⋅7⋅17,     
358,   2⋅179,      5+353 11+347 41+317 47+311 89+269 101+257 107+251 131+227 167+191 179+179
359,   359,        
360,   2³⋅3²⋅5,    7+353 11+349 13+347 23+337 29+331 43+317 47+313 53+307 67+293 79+281 83+277 89+271 97+263 103+257 109+251 127+233 131+229 137+223 149+211 163+197 167+193 179+181
361,   19²,        
362,   2⋅181,      3+359 13+349 31+331 79+283 139+223 151+211 163+199 181+181
363,   3⋅11²,      
364,   2²⋅7⋅13,    5+359 11+353 17+347 47+317 53+311 71+293 83+281 101+263 107+257 113+251 131+233 137+227 167+197 173+191
365,   5⋅73,       
366,   2⋅3⋅61,     7+359 13+353 17+349 19+347 29+337 53+313 59+307 73+293 83+283 89+277 97+269 103+263 109+257 127+239 137+229 139+227 167+199 173+193
367,   367,        
368,   2⁴⋅23,      19+349 31+337 37+331 61+307 97+271 127+241 139+229 157+211
369,   3²⋅41,      
370,   2⋅5⋅37,     3+367 11+359 17+353 23+347 53+317 59+311 89+281 101+269 107+263 113+257 131+239 137+233 173+197 179+191
371,   7⋅53,       
372,   2²⋅3⋅31,    5+367 13+359 19+353 23+349 41+331 59+313 61+311 79+293 89+283 101+271 103+269 109+263 131+241 139+233 149+223 173+199 179+193 181+191
373,   373,        
374,   2⋅11⋅17,    7+367 37+337 43+331 61+313 67+307 97+277 103+271 151+223 163+211 181+193
375,   3⋅5³,       
376,   2³⋅47,      3+373 17+359 23+353 29+347 59+317 83+293 107+269 113+263 137+239 149+227 179+197
377,   13⋅29,      
378,   2⋅3³⋅7,     5+373 11+367 19+359 29+349 31+347 41+337 47+331 61+317 67+311 71+307 97+281 101+277 107+271 109+269 127+251 137+241 139+239 149+229 151+227 167+211 179+199 181+197
379,   379,        
380,   2²⋅5⋅19,    7+373 13+367 31+349 43+337 67+313 73+307 97+283 103+277 109+271 139+241 151+229 157+223 181+199
381,   3⋅127,      
382,   2⋅191,      3+379 23+359 29+353 71+311 89+293 101+281 113+269 131+251 149+233 191+191
383,   383,        
384,   2⁷⋅3,       5+379 11+373 17+367 31+353 37+347 47+337 53+331 67+317 71+313 73+311 101+283 103+281 107+277 113+271 127+257 151+233 157+227 173+211 191+193
385,   5⋅7⋅11,     
386,   2⋅193,      3+383 7+379 13+373 19+367 37+349 73+313 79+307 103+283 109+277 157+229 163+223 193+193
387,   3²⋅43,      
388,   2²⋅97,      5+383 29+359 41+347 71+317 107+281 131+257 137+251 149+239 191+197
389,   389,        
390,   2⋅3⋅5⋅13,   7+383 11+379 17+373 23+367 31+359 37+353 41+349 43+347 53+337 59+331 73+317 79+311 83+307 97+293 107+283 109+281 113+277 127+263 139+251 149+241 151+239 157+233 163+227 167+223 179+211 191+199 193+197
391,   17⋅23,      
392,   2³⋅7²,      3+389 13+379 19+373 43+349 61+331 79+313 109+283 151+241 163+229 181+211 193+199
393,   3⋅131,      
394,   2⋅197,      5+389 11+383 41+353 47+347 83+311 101+293 113+281 131+263 137+257 167+227 197+197
395,   5⋅79,       
396,   2²⋅3²⋅11,   7+389 13+383 17+379 23+373 29+367 37+359 43+353 47+349 59+337 79+317 83+313 89+307 103+293 113+283 127+269 139+257 157+239 163+233 167+229 173+223 197+199
397,   397,        
398,   2⋅199,      19+379 31+367 61+337 67+331 127+271 157+241 199+199
399,   3⋅7⋅19,     
400,   2⁴⋅5²,      3+397 11+389 17+383 41+359 47+353 53+347 83+317 89+311 107+293 131+269 137+263 149+251 167+233 173+227
401,   401,        
402,   2⋅3⋅67,     5+397 13+389 19+383 23+379 29+373 43+359 53+349 71+331 89+313 109+293 131+271 139+263 151+251 163+239 173+229 179+223 191+211
403,   13⋅31,      
404,   2²⋅101,     3+401 7+397 31+373 37+367 67+337 73+331 97+307 127+277 163+241 181+223 193+211
405,   3⁴⋅5,       
406,   2⋅7⋅29,     5+401 17+389 23+383 47+359 53+353 59+347 89+317 113+293 137+269 149+257 167+239 173+233 179+227
407,   11⋅37,      
408,   2³⋅3⋅17,    7+401 11+397 19+389 29+379 41+367 59+349 61+347 71+337 97+311 101+307 127+281 131+277 137+271 139+269 151+257 157+251 167+241 179+229 181+227 197+211
409,   409,        
410,   2⋅5⋅41,     13+397 31+379 37+373 43+367 61+349 73+337 79+331 97+313 103+307 127+283 139+271 181+229 199+211
411,   3⋅137,      
412,   2²⋅103,     3+409 11+401 23+389 29+383 53+359 59+353 101+311 131+281 149+263 173+239 179+233
413,   7⋅59,       
414,   2⋅3²⋅23,    5+409 13+401 17+397 31+383 41+373 47+367 61+353 67+347 83+331 97+317 101+313 103+311 107+307 131+283 137+277 151+263 157+257 163+251 173+241 181+233 191+223
415,   5⋅83,       
416,   2⁵⋅13,      7+409 19+397 37+379 43+373 67+349 79+337 103+313 109+307 139+277 193+223
417,   3⋅139,      
418,   2⋅11⋅19,    17+401 29+389 59+359 71+347 101+317 107+311 137+281 149+269 167+251 179+239 191+227
419,   419,        
420,   2²⋅3⋅5⋅7,   11+409 19+401 23+397 31+389 37+383 41+379 47+373 53+367 61+359 67+353 71+349 73+347 83+337 89+331 103+317 107+313 109+311 113+307 127+293 137+283 139+281 149+271 151+269 157+263 163+257 179+241 181+239 191+229 193+227 197+223
421,   421,        
422,   2⋅211,      3+419 13+409 43+379 73+349 109+313 139+283 151+271 181+241 193+229 199+223 211+211
423,   3²⋅47,      
424,   2³⋅53,      3+421 5+419 23+401 41+383 71+353 107+317 113+311 131+293 167+257 173+251 191+233 197+227
425,   5²⋅17,      
426,   2⋅3⋅71,     5+421 7+419 17+409 29+397 37+389 43+383 47+379 53+373 59+367 67+359 73+353 79+347 89+337 109+317 113+313 149+277 157+269 163+263 193+233 197+229 199+227
427,   7⋅61,       
428,   2²⋅107,     7+421 19+409 31+397 61+367 79+349 97+331 151+277 157+271 199+229
429,   3⋅11⋅13,    
430,   2⋅5⋅43,     11+419 29+401 41+389 47+383 71+359 83+347 113+317 137+293 149+281 167+263 173+257 179+251 191+239 197+233
431,   431,        
432,   2⁴⋅3³,      11+421 13+419 23+409 31+401 43+389 53+379 59+373 73+359 79+353 83+349 101+331 139+293 149+283 151+281 163+269 181+251 191+241 193+239 199+233
433,   433,        
434,   2⋅7⋅31,     3+431 13+421 37+397 61+373 67+367 97+337 103+331 127+307 151+283 157+277 163+271 193+241 211+223
435,   3⋅5⋅29,     
436,   2²⋅109,     3+433 5+431 17+419 47+389 53+383 83+353 89+347 167+269 173+263 179+257 197+239
437,   19⋅23,      
438,   2⋅3⋅73,     5+433 7+431 17+421 19+419 29+409 37+401 41+397 59+379 71+367 79+359 89+349 101+337 107+331 127+311 131+307 157+281 167+271 181+257 197+241 199+239 211+227
439,   439,        
440,   2³⋅5⋅11,    7+433 19+421 31+409 43+397 61+379 67+373 73+367 103+337 109+331 127+313 157+283 163+277 199+241 211+229
441,   3²⋅7²,      
442,   2⋅13⋅17,    3+439 11+431 23+419 41+401 53+389 59+383 83+359 89+353 131+311 149+293 173+269 179+263 191+251
443,   443,        
444,   2²⋅3⋅37,    5+439 11+433 13+431 23+421 43+401 47+397 61+383 71+373 97+347 107+337 113+331 127+317 131+313 137+307 151+293 163+281 167+277 173+271 181+263 193+251 211+233
445,   5⋅89,       
446,   2⋅223,      3+443 7+439 13+433 37+409 67+379 73+373 79+367 97+349 109+337 139+307 163+283 223+223
447,   3⋅149,      
448,   2⁶⋅7,       5+443 17+431 29+419 47+401 59+389 89+359 101+347 131+317 137+311 167+281 179+269 191+257 197+251
449,   449,        
