# Odd number information

# `n`       a positive odd integer
# `base3`   the ternary representation of n
# `base2`   the binary representation of n
# `dist`    the number of odd-to-odd Collatz for n steps to reach 1
# `nl`      the odd core valuation of the even number n-1 to the left of odd n
# `nr`      the odd core valuation of the even number n+1 to the right of odd n
# `m*`      the prime residues of n modulo a set of primes
# `factors` the prime factors of n

   n,    base3,       base2, dist,       nl,       nr, m3, m5, m7, m11, m13, m17, factors
 391,   112111,   110000111,   43,  (195 1),   (49 3), 1,  1,  6,  6,   1,   0,   {17 23}
 393,   112120,   110001001,   19,   (49 3),  (197 1), 0,  3,  1,  8,   3,   2,   {3 131}
 395,   112122,   110001011,   26,  (197 1),   (99 2), 2,  0,  3,  10,  5,   4,   {5 79}
 397,   112201,   110001101,    7,   (99 2),  (199 1), 1,  2,  5,  1,   7,   6,   {397}
 399,   112210,   110001111,   43,  (199 1),   (25 4), 0,  4,  0,  3,   9,   8,   {3 7 19}
 401,   112212,   110010001,    4,   (25 4),  (201 1), 2,  1,  2,  5,   11,  10,  {401}
 403,   112221,   110010011,    4,  (201 1),  (101 2), 1,  3,  4,  7,   0,   12,  {13 31}
 405,   120000,   110010101,    7,  (101 2),  (203 1), 0,  0,  6,  9,   2,   14,  {3 5}
 407,   120002,   110010111,   12,  (203 1),   (51 3), 2,  2,  1,  0,   4,   16,  {11 37}
 409,   120011,   110011001,   12,   (51 3),  (205 1), 1,  4,  3,  2,   6,   1,   {409}
 411,   120020,   110011011,   48,  (205 1),  (103 2), 0,  1,  5,  4,   8,   3,   {3 137}
 413,   120022,   110011101,   31,  (103 2),  (207 1), 2,  3,  0,  6,   10,  5,   {7 59}
 415,   120101,   110011111,   48,  (207 1),   (13 5), 1,  0,  2,  8,   12,  7,   {5 83}
 417,   120110,   110100001,   48,   (13 5),  (209 1), 0,  2,  4,  10,  1,   9,   {3 139}
 419,   120112,   110100011,   12,  (209 1),  (105 2), 2,  4,  6,  1,   3,   11,  {419}
 421,   120121,   110100101,   12,  (105 2),  (211 1), 1,  1,  1,  3,   5,   13,  {421}
 423,   120200,   110100111,    9,  (211 1),   (53 3), 0,  3,  3,  5,   7,   15,  {3 47}
 425,   120202,   110101001,   19,   (53 3),  (213 1), 2,  0,  5,  7,   9,   0,   {5 17}
 427,   120211,   110101011,   17,  (213 1),  (107 2), 1,  2,  0,  9,   11,  2,   {7 61}
 429,   120220,   110101101,   36,  (107 2),  (215 1), 0,  4,  2,  0,   0,   4,   {3 11 13}
 431,   120222,   110101111,   12,  (215 1),   (27 4), 2,  1,  4,  2,   2,   6,   {431}
 433,   121001,   110110001,    7,   (27 4),  (217 1), 1,  3,  6,  4,   4,   8,   {433}
 435,   121010,   110110011,    7,  (217 1),  (109 2), 0,  0,  1,  6,   6,   10,  {3 5 29}
 437,   121012,   110110101,   41,  (109 2),  (219 1), 2,  2,  3,  8,   8,   12,  {19 23}
 439,   121021,   110110111,   17,  (219 1),   (55 3), 1,  4,  5,  10,  10,  14,  {439}
 441,   121100,   110111001,    7,   (55 3),  (221 1), 0,  1,  0,  1,   12,  16,  {3 7}
 443,   121102,   110111011,   17,  (221 1),  (111 2), 2,  3,  2,  3,   1,   1,   {443}
 445,   121111,   110111101,   24,  (111 2),  (223 1), 1,  0,  4,  5,   3,   3,   {5 89}
 447,   121120,   110111111,   34,  (223 1),    (7 6), 0,  2,  6,  7,   5,   5,   {3 149}
 449,   121122,   111000001,   41,    (7 6),  (225 1), 2,  4,  1,  9,   7,   7,   {449}
 451,   121201,   111000011,   17,  (225 1),  (113 2), 1,  1,  3,  0,   9,   9,   {11 41}
 453,   121210,   111000101,    2,  (113 2),  (227 1), 0,  3,  5,  2,   11,  11,  {3 151}
 455,   121212,   111000111,   12,  (227 1),   (57 3), 2,  0,  0,  4,   0,   13,  {5 7 13}
 457,   121221,   111001001,   46,   (57 3),  (229 1), 1,  2,  2,  6,   2,   15,  {457}
 459,   122000,   111001011,   46,  (229 1),  (115 2), 0,  4,  4,  8,   4,   0,   {3 17}
 461,   122002,   111001101,   10,  (115 2),  (231 1), 2,  1,  6,  10,  6,   2,   {461}
 463,   122011,   111001111,   46,  (231 1),   (29 4), 1,  3,  1,  1,   8,   4,   {463}
 465,   122020,   111010001,   10,   (29 4),  (233 1), 0,  0,  3,  3,   10,  6,   {3 5 31}
 467,   122022,   111010011,   29,  (233 1),  (117 2), 2,  2,  5,  5,   12,  8,   {467}
 469,   122101,   111010101,    5,  (117 2),  (235 1), 1,  4,  0,  7,   1,   10,  {7 67}
 471,   122110,   111010111,   46,  (235 1),   (59 3), 0,  1,  2,  9,   3,   12,  {3 157}
 473,   122112,   111011001,   10,   (59 3),  (237 1), 2,  3,  4,  0,   5,   14,  {11 43}
 475,   122121,   111011011,    7,  (237 1),  (119 2), 1,  0,  6,  2,   7,   16,  {5 19}
 477,   122200,   111011101,   10,  (119 2),  (239 1), 0,  2,  1,  4,   9,   1,   {3 53}
 479,   122202,   111011111,   17,  (239 1),   (15 5), 2,  4,  3,  6,   11,  3,   {479}
 481,   122211,   111100001,   15,   (15 5),  (241 1), 1,  1,  5,  8,   0,   5,   {13 37}
 483,   122220,   111100011,    5,  (241 1),  (121 2), 0,  3,  0,  10,  2,   7,   {3 7 23}
 485,   122222,   111100101,   34,  (121 2),  (243 1), 2,  0,  2,  1,   4,   9,   {5 97}
 487,   200001,   111100111,   51,  (243 1),   (61 3), 1,  2,  4,  3,   6,   11,  {487}
 489,   200010,   111101001,   15,   (61 3),  (245 1), 0,  4,  6,  5,   8,   13,  {3 163}
 491,   200012,   111101011,   51,  (245 1),  (123 2), 2,  1,  1,  7,   10,  15,  {491}
 493,   200021,   111101101,   15,  (123 2),  (247 1), 1,  3,  3,  9,   12,  0,   {17 29}
 495,   200100,   111101111,   34,  (247 1),   (31 4), 0,  0,  5,  0,   1,   2,   {3 5 11}
 497,   200102,   111110001,    5,   (31 4),  (249 1), 2,  2,  0,  2,   3,   4,   {7 71}
 499,   200111,   111110011,   15,  (249 1),  (125 2), 1,  4,  2,  4,   5,   6,   {499}
 501,   200120,   111110101,   39,  (125 2),  (251 1), 0,  1,  4,  6,   7,   8,   {3 167}
 503,   200122,   111110111,   22,  (251 1),   (63 3), 2,  3,  6,  8,   9,   10,  {503}
 505,   200201,   111111001,   20,   (63 3),  (253 1), 1,  0,  1,  10,  11,  12,  {5 101}
 507,   200210,   111111011,   10,  (253 1),  (127 2), 0,  2,  3,  1,   0,   14,  {3 13}
 509,   200212,   111111101,   15,  (127 2),  (255 1), 2,  4,  5,  3,   2,   16,  {509}
 511,   200221,   111111111,   20,  (255 1),    (1 9), 1,  1,  0,  5,   4,   1,   {7 73}
 513,   201000,  1000000001,   10,    (1 9),  (257 1), 0,  3,  2,  7,   6,   3,   {3 19}
